single,run_M,reserve_M,reserve_mode,topup_thr_M,topup_amt,labor_1988,labor_total,starts_with_labor,saved_1988,fails,ruin_total,terminal_median_M,min_total_floor_M
sc2.2,12,28,sofr,6.000,4M,14,422,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,sofr,6.000,5M,14,417,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,sofr,6.000,6M,14,408,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,sofr,6.000,8M,14,384,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,sofr,6.000,ALL,0,15,1,1,1986,1,5748.300,0.000
sc2.2,12,28,sofr,8.000,3M,14,421,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,sofr,8.000,4M,14,418,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,sofr,8.000,5M,14,407,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,sofr,8.000,6M,14,385,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,sofr,8.000,8M,14,331,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,sofr,8.000,ALL,0,11,1,1,1989,1,6408.400,0.000
sc2.2,12,28,sofr,10.000,3M,14,421,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,sofr,10.000,4M,14,416,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,sofr,10.000,5M,14,401,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,sofr,10.000,6M,14,358,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,sofr,10.000,8M,14,256,26,0,1975;1976;1979;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,26,597.300,0.000
sc2.2,12,28,sofr,10.000,ALL,0,23,2,1,1989;1998,2,6941.600,0.000
sc2.2,12,28,sofr,12.000,3M,14,416,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,sofr,12.000,4M,14,405,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,sofr,12.000,5M,14,370,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,sofr,12.000,6M,14,308,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,sofr,12.000,8M,13,179,20,0,1975;1976;1981;1984;1985;1986;1987;1988;1989;1990;1994;1997;1998;1999;2000;2001;2002;2003;2004;2005,20,377.500,0.000
sc2.2,12,28,sofr,12.000,ALL,0,24,2,1,1987;1989,2,5949.000,0.000
sc2.2,12,28,sofr,14.000,3M,14,372,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,sofr,14.000,4M,14,279,26,0,1975;1976;1977;1978;1979;1980;1981;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1998;1999;2000;2001;2002;2003;2004;2005,26,194.600,0.000
sc2.2,12,28,sofr,14.000,5M,14,176,21,0,1980;1981;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1997;1998;1999;2000;2001;2002;2003;2004;2005,21,31.200,0.000
sc2.2,12,28,sofr,14.000,6M,13,134,17,0,1975;1983;1984;1986;1987;1988;1989;1990;1992;1993;1999;2000;2001;2002;2003;2004;2005,17,302.800,0.000
sc2.2,12,28,sofr,14.000,8M,13,76,9,0,1986;1987;1988;1990;2000;2001;2002;2004;2005,9,756.600,0.000
sc2.2,12,28,sofr,14.000,ALL,14,34,3,0,1988;2000;2004,3,12737.100,0.000
sc2.2,12,28,bond75gold25,6.000,3M,14,407,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,bond75gold25,6.000,4M,14,404,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,bond75gold25,6.000,5M,14,402,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,bond75gold25,6.000,6M,14,393,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,bond75gold25,6.000,8M,14,365,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,bond75gold25,6.000,ALL,5,28,3,0,1986;1987;1988,3,7218.700,0.000
sc2.2,12,28,bond75gold25,8.000,3M,14,408,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,bond75gold25,8.000,4M,14,403,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,bond75gold25,8.000,5M,14,394,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,bond75gold25,8.000,6M,14,368,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,bond75gold25,8.000,8M,14,305,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,bond75gold25,8.000,ALL,5,23,3,0,1987;1988;1989,3,6825.300,0.000
sc2.2,12,28,bond75gold25,10.000,3M,14,408,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
