start_year,strategy,survived,ruin_year_elapsed,asset_y10_yen,asset_y20_yen
1987,P09_STR_sc1.8,1,,95774927,2756486971
1988,P09_STR_sc1.8,0,8,0,0
1989,P09_STR_sc1.8,1,,139091621,2180641197
1990,P09_STR_sc1.8,1,,94581904,709131022
1991,P09_STR_sc1.8,1,,537975741,12344484421
1992,P09_STR_sc1.8,1,,300080193,7072402905
1993,P09_STR_sc1.8,1,,171349817,5237332232
1994,P09_STR_sc1.8,1,,658316095,8810329910
1995,P09_STR_sc1.8,1,,968372548,14782976609
1996,P09_STR_sc1.8,1,,365811569,3931053010
1997,P09_STR_sc1.8,1,,532289666,3415223372
1998,P09_STR_sc1.8,1,,470929377,3930117876
1999,P09_STR_sc1.8,1,,243942265,1609698886
2000,P09_STR_sc1.8,0,11,4519553,0
2001,P09_STR_sc1.8,1,,205921020,1596012080
2002,P09_STR_sc1.8,1,,323483354,3544582121
2003,P09_STR_sc1.8,1,,529769862,3890275345
2004,P09_STR_sc1.8,1,,51095877,157922251
2005,P09_STR_sc1.8,1,,152141361,1560163109
1975,P09_STR_sc2.0,1,,255681212,2969290743
1976,P09_STR_sc2.0,1,,790056119,10532322744
1977,P09_STR_sc2.0,1,,250712959,3268505193
1978,P09_STR_sc2.0,1,,1586502760,15631931197
1979,P09_STR_sc2.0,1,,399416827,9852247799
1980,P09_STR_sc2.0,1,,633387510,29176992957
1981,P09_STR_sc2.0,1,,311025448,16284434499
1982,P09_STR_sc2.0,1,,676068918,22960238093
1983,P09_STR_sc2.0,1,,371586671,8826982576
1984,P09_STR_sc2.0,1,,139291863,9196315068
1985,P09_STR_sc2.0,1,,192494999,13508375015
1986,P09_STR_sc2.0,1,,131797445,3714834482
1987,P09_STR_sc2.0,1,,130036540,5100331470
1988,P09_STR_sc2.0,0,8,0,0
1989,P09_STR_sc2.0,1,,194437527,3729433377
1990,P09_STR_sc2.0,1,,144511611,1415338272
1991,P09_STR_sc2.0,1,,771319224,21676359377
1992,P09_STR_sc2.0,1,,415985863,11853888001
1993,P09_STR_sc2.0,1,,224898665,8658254619
1994,P09_STR_sc2.0,1,,971474071,15023547367
1995,P09_STR_sc2.0,1,,1400426658,25011101509
1996,P09_STR_sc2.0,1,,489340097,6056860817
1997,P09_STR_sc2.0,1,,726634166,5020117499
1998,P09_STR_sc2.0,1,,611667406,5791246460
1999,P09_STR_sc2.0,1,,305620089,2291467503
2000,P09_STR_sc2.0,0,12,5434126,0
2001,P09_STR_sc2.0,1,,266549576,2391128701
2002,P09_STR_sc2.0,1,,403775938,5267403562
2003,P09_STR_sc2.0,1,,683684013,5750624763
2004,P09_STR_sc2.0,1,,57017529,240973660
2005,P09_STR_sc2.0,1,,184262683,2251978845
1975,P09_STR_sc2.2,1,,351463926,4795354110
1976,P09_STR_sc2.2,1,,1127845334,17735589512
1977,P09_STR_sc2.2,1,,336867003,5344456207
1978,P09_STR_sc2.2,1,,2345938567,26797886499
1979,P09_STR_sc2.2,1,,536011409,16681758231
1980,P09_STR_sc2.2,1,,902645360,55251490249
1981,P09_STR_sc2.2,1,,413736718,29046056708
1982,P09_STR_sc2.2,1,,911763244,39852399624
1983,P09_STR_sc2.2,1,,500005353,14852794997
1984,P09_STR_sc2.2,1,,175119558,16348669305
1985,P09_STR_sc2.2,1,,234171169,22613336566
1986,P09_STR_sc2.2,1,,166978935,6016296561
1987,P09_STR_sc2.2,1,,169991718,8732918235
1988,P09_STR_sc2.2,0,8,0,0
1989,P09_STR_sc2.2,1,,261154681,5916862206
1990,P09_STR_sc2.2,1,,204192465,2388947292
1991,P09_STR_sc2.2,1,,1071134733,36058264091
1992,P09_STR_sc2.2,1,,559354623,18789280990
1993,P09_STR_sc2.2,1,,286129761,13467908721
1994,P09_STR_sc2.2,1,,1390430706,24265953178
1995,P09_STR_sc2.2,1,,1971444433,40366797522
1996,P09_STR_sc2.2,1,,634857417,8860469876
1997,P09_STR_sc2.2,1,,962943226,7000882744
1998,P09_STR_sc2.2,1,,770223885,8103611636
1999,P09_STR_sc2.2,1,,370904414,3082289292
2000,P09_STR_sc2.2,0,11,4802116,0
2001,P09_STR_sc2.2,1,,334231779,3352414887
2002,P09_STR_sc2.2,1,,489688257,7393291787
2003,P09_STR_sc2.2,1,,855520561,8040587745
2004,P09_STR_sc2.2,1,,59797156,291402929
