strat,run0_M,reserve_mix,labor_total,worst_start_labor,n_fail,fails
X4eq_sc2.2,12,b70g20c10,103,14,11,1983;1987;1988;1989;1999;2009;2010;2011;2012;2013;2014
X4eq_sc2.2,12,cash,128,14,16,1983;1985;1986;1987;1988;1989;1992;1999;2000;2003;2004;2010;2011;2012;2013;2014
X4eq_sc2.2,14,bond,81,14,9,1987;1988;1989;2009;2010;2011;2012;2013;2014
X4eq_sc2.2,14,b70g20c10,78,14,8,1987;1988;1989;2010;2011;2012;2013;2014
X4eq_sc2.2,14,cash,109,14,12,1986;1987;1988;1989;1999;2000;2004;2010;2011;2012;2013;2014
X4eq_sc2.2,16,bond,77,13,10,1987;1988;1989;2009;2010;2011;2012;2013;2014;2015
X4eq_sc2.2,16,b70g20c10,75,13,9,1987;1988;1989;2010;2011;2012;2013;2014;2015
X4eq_sc2.2,16,cash,109,13,12,1985;1986;1987;1988;1989;2000;2004;2010;2011;2012;2013;2014
X4eq_sc2.2,18,bond,71,13,9,1987;1988;2009;2010;2011;2012;2013;2014;2015
X4eq_sc2.2,18,b70g20c10,79,13,11,1985;1987;1988;2000;2009;2010;2011;2012;2013;2014;2015
X4eq_sc2.2,18,cash,126,13,16,1982;1985;1986;1987;1988;1989;1991;2000;2004;2009;2010;2011;2012;2013;2014;2015
X4eq_sc2.2,20,bond,92,13,11,1986;1987;1988;2008;2009;2010;2011;2012;2013;2014;2015
X4eq_sc2.2,20,b70g20c10,94,13,11,1986;1987;1988;2000;2009;2010;2011;2012;2013;2014;2015
X4eq_sc2.2,20,cash,147,13,19,1982;1985;1986;1987;1988;1989;1997;2000;2002;2004;2007;2008;2009;2010;2011;2012;2013;2014;2015
N4,10,bond,101,15,11,1987;1988;1989;1999;2003;2009;2010;2011;2012;2013;2014
N4,10,b70g20c10,97,15,10,1987;1988;1989;1999;2003;2010;2011;2012;2013;2014
N4,10,cash,102,15,10,1987;1988;1989;1999;2003;2010;2011;2012;2013;2014
N4,12,bond,77,15,9,1987;1988;1989;2009;2010;2011;2012;2013;2014
N4,12,b70g20c10,75,14,8,1987;1988;1989;2010;2011;2012;2013;2014
N4,12,cash,80,14,8,1987;1988;1989;2010;2011;2012;2013;2014
N4,14,bond,71,14,8,1987;1988;1989;2010;2011;2012;2013;2014
N4,14,b70g20c10,74,14,8,1987;1988;1989;2010;2011;2012;2013;2014
N4,14,cash,77,14,8,1987;1988;1989;2010;2011;2012;2013;2014
N4,16,bond,70,12,8,1987;1988;1989;2009;2011;2012;2013;2014
N4,16,b70g20c10,74,13,9,1987;1988;1989;2009;2010;2011;2012;2013;2014
N4,16,cash,83,13,10,1987;1988;1989;2000;2009;2010;2011;2012;2013;2014
N4,18,bond,77,12,9,1986;1987;1988;2009;2010;2011;2012;2013;2014
N4,18,b70g20c10,76,13,9,1986;1987;1988;2009;2010;2011;2012;2013;2014
N4,18,cash,90,13,11,1985;1986;1987;1988;2000;2009;2010;2011;2012;2013;2014
N4,20,bond,78,13,9,1986;1987;1988;2009;2010;2011;2012;2013;2014
N4,20,b70g20c10,79,13,10,1986;1987;1988;2009;2010;2011;2012;2013;2014;2015
N4,20,cash,94,13,11,1983;1986;1987;1988;2000;2009;2010;2011;2012;2013;2014
