start_year,strategy,survived,ruin_year_elapsed,asset_y10_yen,asset_y20_yen,ever_below_15M,first_below_15M_elapsed,backfill_count,backfill_years
1996,P09_STR_sc1.6,1,,296236742,2731548602,0,,0,
1997,P09_STR_sc1.6,1,,416368914,2443328259,0,,0,
1998,P09_STR_sc1.6,1,,382490699,2776549439,0,,0,
1999,P09_STR_sc1.6,1,,213574231,1230753646,0,,0,
2000,P09_STR_sc1.6,1,,78465706,380638085,0,,1,3
2001,P09_STR_sc1.6,1,,196267260,1346518359,0,,0,
2002,P09_STR_sc1.6,1,,287864202,2632431611,0,,0,
2003,P09_STR_sc1.6,1,,436712495,2767953415,0,,0,
2004,P09_STR_sc1.6,1,,74758124,384234989,0,,0,
2005,P09_STR_sc1.6,1,,148924344,1336168838,0,,0,
1975,P09_STR_sc1.8,1,,224999784,2229042451,0,,0,
1976,P09_STR_sc1.8,1,,610379111,6841175818,0,,0,
1977,P09_STR_sc1.8,1,,399111149,4496158899,0,,1,2
1978,P09_STR_sc1.8,1,,1150168836,9674261150,0,,0,
1979,P09_STR_sc1.8,1,,341540948,6655440709,0,,0,
1980,P09_STR_sc1.8,1,,489614883,16761035042,0,,0,
1981,P09_STR_sc1.8,1,,258308920,9974902139,0,,0,
1982,P09_STR_sc1.8,1,,525060985,13661538703,0,,0,
1983,P09_STR_sc1.8,1,,299538561,5650542383,0,,0,
1984,P09_STR_sc1.8,1,,130024587,6158645039,0,,0,
1985,P09_STR_sc1.8,1,,170858762,8635543440,0,,0,
1986,P09_STR_sc1.8,1,,125414688,2798907860,0,,0,
1987,P09_STR_sc1.8,1,,121751017,3683092462,0,,0,
1988,P09_STR_sc1.8,1,,59818371,1350349598,1,3,2,4;8
1989,P09_STR_sc1.8,1,,187466161,3068297009,0,,0,
1990,P09_STR_sc1.8,1,,409518515,4177480208,0,,1,2
1991,P09_STR_sc1.8,1,,607269710,14051425463,0,,0,
1992,P09_STR_sc1.8,1,,350733781,8380781355,0,,0,
1993,P09_STR_sc1.8,1,,214716302,6728560425,0,,0,
1994,P09_STR_sc1.8,1,,754566976,10188857789,0,,0,
1995,P09_STR_sc1.8,1,,1033444266,15829117150,0,,0,
1996,P09_STR_sc1.8,1,,404514219,4383016007,0,,0,
1997,P09_STR_sc1.8,1,,580506526,3749994891,0,,0,
1998,P09_STR_sc1.8,1,,508531059,4273009714,0,,0,
1999,P09_STR_sc1.8,1,,272806912,1826621297,0,,0,
2000,P09_STR_sc1.8,1,,92741482,527125642,0,,1,3
2001,P09_STR_sc1.8,1,,257016771,2085420699,0,,0,
2002,P09_STR_sc1.8,1,,366100748,4086577019,0,,0,
2003,P09_STR_sc1.8,1,,576705897,4285995068,0,,0,
2004,P09_STR_sc1.8,1,,154839040,1273310236,0,,1,3
2005,P09_STR_sc1.8,1,,183702363,2015379427,0,,0,
1975,P09_STR_sc2.0,1,,309782530,3652619435,0,,0,
1976,P09_STR_sc2.0,1,,876280855,11740084578,0,,0,
1977,P09_STR_sc2.0,1,,536569551,7362951146,0,,1,2
1978,P09_STR_sc2.0,1,,1714334225,16952500045,0,,0,
1979,P09_STR_sc2.0,1,,461950405,11546074309,0,,0,
1980,P09_STR_sc2.0,1,,703265722,32669136304,0,,0,
1981,P09_STR_sc2.0,1,,345962237,18301482251,0,,0,
1982,P09_STR_sc2.0,1,,715794921,24409542026,0,,0,
1983,P09_STR_sc2.0,1,,407180978,9776402615,0,,0,
1984,P09_STR_sc2.0,1,,164473496,11219997589,0,,0,
1985,P09_STR_sc2.0,1,,210157687,14907965920,0,,0,
1986,P09_STR_sc2.0,1,,159669374,4644090396,0,,0,
1987,P09_STR_sc2.0,1,,159691940,6455394687,0,,0,
1988,P09_STR_sc2.0,1,,109083449,3412806146,0,,2,2;4
1989,P09_STR_sc2.0,1,,253423961,4989513364,0,,0,
1990,P09_STR_sc2.0,1,,572975411,6727117297,0,,1,2
1991,P09_STR_sc2.0,1,,859792752,24291522901,0,,0,
1992,P09_STR_sc2.0,1,,479070779,13773892272,0,,0,
1993,P09_STR_sc2.0,1,,277956980,10883596078,0,,0,
1994,P09_STR_sc2.0,1,,1100093912,17110194544,0,,0,
1995,P09_STR_sc2.0,1,,1483922226,26559640908,0,,0,
1996,P09_STR_sc2.0,1,,535462335,6664708432,0,,0,
1997,P09_STR_sc2.0,1,,785133741,5449356742,0,,0,
1998,P09_STR_sc2.0,1,,655112697,6232389913,0,,0,
1999,P09_STR_sc2.0,1,,337522167,2556710862,0,,0,
2000,P09_STR_sc2.0,1,,162948564,1111783951,0,,2,3;4
2001,P09_STR_sc2.0,1,,326536685,3025676449,0,,0,
2002,P09_STR_sc2.0,1,,452392111,5982520905,0,,0,
2003,P09_STR_sc2.0,1,,738065103,6262673717,0,,0,
2004,P09_STR_sc2.0,1,,178442198,1710197504,0,,1,3
2005,P09_STR_sc2.0,1,,220184830,2837017792,0,,0,
1975,P09_STR_sc2.2,1,,418055766,5759360739,0,,0,
1976,P09_STR_sc2.2,1,,1238704881,19540964347,0,,0,
1977,P09_STR_sc2.2,1,,711683498,11698288757,0,,1,2
1978,P09_STR_sc2.2,1,,2517201851,28821622775,0,,0,
1979,P09_STR_sc2.2,1,,614726452,19307382018,0,,0,
1980,P09_STR_sc2.2,1,,992075849,61061674015,0,,0,
1981,P09_STR_sc2.2,1,,455771626,32222048485,0,,0,
1982,P09_STR_sc2.2,1,,959913301,42075807836,0,,0,
1983,P09_STR_sc2.2,1,,542052193,16220298541,0,,0,
1984,P09_STR_sc2.2,1,,203318173,19425432168,0,,0,
1985,P09_STR_sc2.2,1,,253320411,24655500753,0,,0,
1986,P09_STR_sc2.2,1,,198289473,7300755798,0,,0,
1987,P09_STR_sc2.2,1,,203579261,10667346133,0,,0,
1988,P09_STR_sc2.2,1,,129055685,5000464643,0,,2,2;4
1989,P09_STR_sc2.2,1,,332392375,7660912923,0,,0,
1990,P09_STR_sc2.2,1,,778073533,10284148539,0,,1,2
1991,P09_STR_sc2.2,1,,1182725288,39956739968,0,,0,
1992,P09_STR_sc2.2,1,,637104859,21531817833,0,,0,
1993,P09_STR_sc2.2,1,,498617753,23993455473,0,,1,3
1994,P09_STR_sc2.2,1,,1560613466,27341415897,0,,0,
1995,P09_STR_sc2.2,1,,2077602736,42602609296,0,,0,
1996,P09_STR_sc2.2,1,,689231530,9657298738,0,,0,
1997,P09_STR_sc2.2,1,,1033158218,7536080457,0,,0,
1998,P09_STR_sc2.2,1,,819816583,8655889725,0,,0,
1999,P09_STR_sc2.2,1,,405791201,3397930155,0,,0,
2000,P09_STR_sc2.2,1,,183699005,1350316495,0,,2,3;4
2001,P09_STR_sc2.2,1,,403746380,4149219592,0,,0,
2002,P09_STR_sc2.2,1,,544428317,8306602474,0,,0,
2003,P09_STR_sc2.2,1,,917695049,8683235539,0,,0,
2004,P09_STR_sc2.2,1,,199925477,2159272983,0,,1,3
2005,P09_STR_sc2.2,1,,256897100,3756122304,0,,0,
1975,P09_STR_sc2.4,1,,554675939,8797832570,0,,0,
1976,P09_STR_sc2.4,1,,1727242160,31669747765,0,,0,
1977,P09_STR_sc2.4,1,,932448275,18096436151,0,,1,2
1978,P09_STR_sc2.4,1,,3647342450,47709342954,0,,0,
1979,P09_STR_sc2.4,1,,806480020,31269456588,0,,0,
1980,P09_STR_sc2.4,1,,1378350945,110028610509,0,,0,
1981,P09_STR_sc2.4,1,,592174400,54732349647,0,,0,
1982,P09_STR_sc2.4,1,,1269082837,70231334064,0,,0,
1983,P09_STR_sc2.4,1,,708967634,25963141857,0,,0,
1984,P09_STR_sc2.4,1,,246559274,32222815169,0,,0,
1985,P09_STR_sc2.4,1,,300077482,39239078280,0,,0,
1986,P09_STR_sc2.4,1,,241151796,10962474239,0,,0,
1987,P09_STR_sc2.4,1,,253429424,16777520486,0,,0,
1988,P09_STR_sc2.4,1,,149710646,6989003812,0,,2,2;4
1989,P09_STR_sc2.4,1,,424906738,11200174959,0,,0,
1990,P09_STR_sc2.4,1,,1028293982,15009144402,0,,1,2
1991,P09_STR_sc2.4,1,,1585348146,62802454202,0,,0,
1992,P09_STR_sc2.4,1,,827340144,32168401770,0,,0,
1993,P09_STR_sc2.4,1,,617027436,35182858665,0,,1,3
1994,P09_STR_sc2.4,1,,2160147695,41750449028,0,,0,
1995,P09_STR_sc2.4,1,,2841112524,65501207192,0,,0,
1996,P09_STR_sc2.4,1,,864684936,13382836390,0,,0,
1997,P09_STR_sc2.4,1,,1325369213,9945438384,0,,0,
1998,P09_STR_sc2.4,1,,998455605,11474245833,0,,0,
1999,P09_STR_sc2.4,1,,475249098,4303321779,0,,0,
2000,P09_STR_sc2.4,1,,202780454,1564128216,0,,2,3;4
2001,P09_STR_sc2.4,1,,486790622,5400043831,0,,0,
2002,P09_STR_sc2.4,1,,639094875,10962726131,0,,0,
2003,P09_STR_sc2.4,1,,1110374772,11447285958,0,,0,
2004,P09_STR_sc2.4,1,,217860441,2568616415,0,,1,3
2005,P09_STR_sc2.4,1,,292255744,4693831376,0,,0,
1975,NASDAQ_1x_BH,1,,18516044,15696342,0,,5,11;13;14;16;17
1976,NASDAQ_1x_BH,1,,22520558,24475086,0,,8,9;10;12;13;15;16;19;20
1977,NASDAQ_1x_BH,1,,17073878,20082793,1,14,8,7;9;11;12;13;15;17;19
1978,NASDAQ_1x_BH,1,,18051728,21778435,0,,7,8;10;11;13;14;17;18
1979,NASDAQ_1x_BH,1,,19001690,21024983,1,12,6,9;10;11;13;15;17
1980,NASDAQ_1x_BH,1,,20296620,31621636,1,11,7,6;9;10;12;13;16;18
1981,NASDAQ_1x_BH,1,,13789748,22539514,1,10,8,5;7;8;9;11;13;14;15
1982,NASDAQ_1x_BH,1,,23172855,15440282,0,,7,6;7;9;10;13;14;20
1983,NASDAQ_1x_BH,1,,22457222,11403522,1,20,8,5;6;8;9;13;15;19;20
1984,NASDAQ_1x_BH,1,,20238645,16338326,1,4,9,5;6;7;8;12;14;18;19;20
