scale,variant,cagr,mdd_ann,w5y,dcagr_vs_hybrid2b_pp
1.6,blanket x0.8273 (canon a),0.3151551606665006,-0.25095463441954746,0.044221723694223725,0.6493251133752542
1.6,single-bucket carryfwd (canon b),0.31348528014247723,-0.30334175561410315,0.04080401022528912,0.48233706097291495
1.6,hybrid 2-bucket phi_eq=0.85,0.3086619095327481,-0.30688195961280285,0.03803801290457365,0.0
1.6,hybrid 2-bucket phi_eq=1.00,0.30120394375633586,-0.30688195961280285,0.036317961268516274,-0.7457965776412223
1.6,ALL-k365 2-bucket (NDX leg futures),0.30898849769312364,-0.2852523337904377,0.05601172298480561,0.03265881603755627
1.6,ALL-k365 pre-tax ref (x0.8273),0.3254653692976808,-0.23598925574482899,0.06876857614984266,1.6803459764932693
2.6,blanket x0.8273 (canon a),0.4430898860238057,-0.39453830001591506,0.013363751482040387,1.922075540132151
2.6,single-bucket carryfwd (canon b),0.43620959389699365,-0.47500069605879347,0.00046779139603736475,1.234046327450944
2.6,hybrid 2-bucket phi_eq=0.85,0.4238691306224842,-0.47500069605879347,-0.008400757217938537,0.0
2.6,hybrid 2-bucket phi_eq=1.00,0.41700038156562225,-0.47500069605879336,-0.008400757217938537,-0.6868749056861967
2.6,ALL-k365 2-bucket (NDX leg futures),0.4451593427259133,-0.4387195108452103,0.031138828179211098,2.1290212103429074
2.6,ALL-k365 pre-tax ref (x0.8273),0.47540467837670475,-0.3629526513222425,0.05462766758220372,5.153554775422053
