label,lev_scale,v7_map,CAGR_IS_at,CAGR_OOS_at,min9_at,IS_OOS_gap_pp,Sharpe_FULL,Sharpe_OOS,MaxDD_FULL,Worst10Y_at,P10_5Y_at,Worst5Y_at,Trades_yr,Worst1D,Worst1D_date,max_eff_lev,wfa_WFE,wfa_CI95_lo,wfa_t_p,cpcv_p10_at,cpcv_worst_at,cpcv_med_at,regime_min_at,mm_v7_P_min,mm_v7_CI95_min,mm_v7_P_maxdd,mm_v7_P_w10y,mm_v7_P_sharpe,mm_b3a_P_min,mm_b3a_CI95_min,mm_b3a_P_maxdd,mm_b3a_P_w10y,mm_b3a_P_sharpe,s1_veto_maxdd,s1_veto_wfe,s1_veto_w10y,s1_veto_reg,VETO_s1,regime_trend_bull,regime_trend_bear,regime_vol_calm,regime_vol_highvol,regime_rate_rate_up,regime_rate_rate_down
Bext_str_sc1.80,1.800000,strong,0.328989,0.278068,0.278068,6.155100,1.040300,0.847700,-0.569995,0.202187,0.094069,-0.010304,35.230000,-0.253782,2016-06-24,8.640000,0.858265,0.336765,0.000000,0.203460,0.138956,0.310655,-0.095599,0.852900,-7.454000,0.000000,0.806500,0.402500,0.810800,-6.346200,0.000000,0.557300,0.102500,1,0,0,0,1,0.542633,-0.095599,0.271262,0.375725,0.259266,0.381095
Bext_str_sc2.00,2.000000,strong,0.353755,0.291102,0.291102,7.573100,1.027500,0.836800,-0.616342,0.208384,0.093776,-0.019311,35.230000,-0.283440,2016-06-24,9.600000,0.817792,0.367961,0.000000,0.212246,0.141888,0.330478,-0.114083,0.835400,-9.543300,0.000000,0.748600,0.365700,0.791400,-8.534100,0.000000,0.515400,0.095900,1,0,0,1,1,0.595859,-0.114083,0.291392,0.403289,0.276478,0.411244
