strat,runfrac,floor_real_M,top_wr,top_wr_late,g,labor_total,shortfall_years_total,worst_real_spend_M,median_total_real_M,median_terminal_nom_M,ruin,reserve_mix
sc2.6,0.5,6.0,0.16,0.24,0.0,0,140,6.0,140.4,5223.4,0,bond100
sc2.6,0.5,6.0,0.16,0.28,0.0,0,140,6.0,140.4,5223.4,0,bond100
sc2.6,0.5,6.0,0.18,,0.0,0,96,6.0,141.6,3667.3,0,bond100
sc2.6,0.5,6.0,0.18,0.24,0.0,0,90,6.0,141.6,3667.3,0,bond100
sc2.6,0.5,6.0,0.18,0.28,0.0,0,88,6.0,141.6,3667.3,0,bond100
sc2.6,0.5,6.0,0.2,,0.0,0,76,6.0,142.8,3939.1,0,bond100
sc2.6,0.5,6.0,0.2,0.24,0.0,0,72,6.0,142.8,3939.1,0,bond100
sc2.6,0.5,6.0,0.2,0.28,0.0,0,71,6.0,142.8,3939.1,0,bond100
sc2.6,0.5,6.37,0.16,,0.0,0,164,6.37,141.5,4074.7,0,bond100
sc2.6,0.5,6.37,0.16,0.24,0.0,0,156,6.37,141.5,4074.7,0,bond100
sc2.6,0.5,6.37,0.16,0.28,0.0,0,155,6.37,141.5,4074.7,0,bond100
sc2.6,0.5,6.37,0.18,,0.0,3,103,0.0,142.3,3417.5,1,bond100
sc2.6,0.5,6.37,0.18,0.24,0.0,3,98,0.0,142.3,3417.5,1,bond100
sc2.6,0.5,6.37,0.18,0.28,0.0,3,96,0.0,142.3,3417.5,1,bond100
sc2.6,0.5,6.37,0.2,,0.0,3,83,0.0,143.2,3468.5,1,bond100
sc2.6,0.5,6.37,0.2,0.24,0.0,3,80,0.0,143.2,3468.5,1,bond100
sc2.6,0.5,6.37,0.2,0.28,0.0,3,77,0.0,143.2,3468.5,1,bond100
sc2.6,0.5,6.6,0.16,,0.0,4,176,0.0,142.2,3517.4,1,bond100
sc2.6,0.5,6.6,0.16,0.24,0.0,4,169,0.0,142.2,3517.4,1,bond100
sc2.6,0.5,6.6,0.16,0.28,0.0,4,168,0.0,142.2,3517.4,1,bond100
sc2.6,0.5,6.6,0.18,,0.0,5,110,0.0,142.8,3660.6,1,bond100
sc2.6,0.5,6.6,0.18,0.24,0.0,5,108,0.0,142.8,3660.6,1,bond100
sc2.6,0.5,6.6,0.18,0.28,0.0,5,106,0.0,142.8,3660.6,1,bond100
sc2.6,0.5,6.6,0.2,,0.0,7,87,0.0,143.4,3430.9,2,bond100
sc2.6,0.5,6.6,0.2,0.24,0.0,7,85,0.0,143.4,3430.9,2,bond100
