label,scale,kind,CAGR_IS,CAGR_OOS,min9,IS_OOS_gap_pp,Sharpe_FULL,Sharpe_OOS,MaxDD,Worst1D,Worst1D_date,Worst10Y,Worst5Y,P10_5Y,Trades_yr,max_eff_lev,WFE,CI95_lo,Regime_min,in_gold_w,in_bond_w
P09_STR_sc1.0,1.000000,scale,0.215555,0.198240,0.198240,2.093000,1.122200,0.923700,-0.345148,-0.138186,2000-01-04,0.140533,0.007333,0.079617,35.230000,4.800000,1.005867,0.209508,-0.021655,,
P09_STR_sc1.4,1.400000,scale,0.274877,0.243414,0.243414,3.803000,1.073600,0.877300,-0.464781,-0.194465,2016-06-24,0.178682,0.002234,0.090545,35.230000,6.720000,0.935630,0.273458,-0.058589,,
P09_STR_sc1.6,1.600000,scale,0.302649,0.262127,0.262127,4.898000,1.055400,0.861000,-0.519521,-0.224123,2016-06-24,0.193613,-0.003115,0.093090,35.230000,7.680000,0.897643,0.305225,-0.077096,,
P09_STR_sc1.8,1.800000,scale,0.328989,0.278068,0.278068,6.155100,1.040300,0.847700,-0.569995,-0.253782,2016-06-24,0.202187,-0.010304,0.094069,35.230000,8.640000,0.858265,0.336765,-0.095599,,
P09_STR_sc2.0,2.000000,scale,0.353755,0.291102,0.291102,7.573100,1.027500,0.836800,-0.616342,-0.283440,2016-06-24,0.208384,-0.019311,0.093776,35.230000,9.600000,0.817792,0.367961,-0.114083,,
N4,2.850000,blend,0.339396,0.312910,0.312910,3.201483,1.047163,0.900062,-0.588201,-0.258666,,0.202838,-0.019843,0.087296,35.229099,13.680000,0.919290,0.351818,-0.102273,0.280000,0.070000
X4,3.000000,blend,0.344504,0.321472,0.321472,2.784018,1.045710,0.907092,-0.598517,-0.264987,,0.204010,-0.023149,0.085706,35.229099,14.400000,0.924895,0.358799,-0.106464,0.320000,0.050000
