target_dvol,fbar,MaxDD_FULL,CAGR_IS_at,CAGR_OOS_at,fbar_minus_a7,maxdd_minus_a7,a7_fbar,a7_maxdd,a7_cagr_oos
0.2,0.013422869758223521,-0.2868419535369726,0.19432301802778595,0.1721153614958243,-0.007799118865090925,-0.004380198029791504,0.021221988623314446,-0.2824617555071811,0.16605180170476797
0.19,0.01849594521236314,-0.28331314990431256,0.19317219476316735,0.17012481592778633,-0.002726043410951305,-0.0008513943971314442,0.021221988623314446,-0.2824617555071811,0.16605180170476797
0.185,0.02185983851752339,-0.285344295677065,0.19230625545396943,0.1696617991885641,0.0006378498942089458,-0.0028825401698838737,0.021221988623314446,-0.2824617555071811,0.16605180170476797
0.18,0.02568143737793011,-0.28730415644546037,0.19133080199617614,0.16942320781684964,0.004459448754615663,-0.0048424009382792566,0.021221988623314446,-0.2824617555071811,0.16605180170476797
0.16,0.047114624308692475,-0.289505301771243,0.187310121855025,0.16937536000486683,0.02589263568537803,-0.007043546264061895,0.021221988623314446,-0.2824617555071811,0.16605180170476797
0.14,0.08277960675741697,-0.27814538029883296,0.1829556679557063,0.1620508099375602,0.06155761813410252,0.0043163752083481555,0.021221988623314446,-0.2824617555071811,0.16605180170476797
0.12,0.13564892994340516,-0.2694793937989749,0.17916242877883493,0.15150167018865462,0.11442694132009071,0.012982361708206214,0.021221988623314446,-0.2824617555071811,0.16605180170476797
0.1,0.20821108217527046,-0.2431855854098487,0.17282378449326619,0.13601796808591074,0.186989093551956,0.03927617009733242,0.021221988623314446,-0.2824617555071811,0.16605180170476797
0.08,0.3035807705309003,-0.23649954958786557,0.16244860923465532,0.11618197213703,0.2823587819075859,0.045962205919315546,0.021221988623314446,-0.2824617555071811,0.16605180170476797
0.06,0.398962259466629,-0.22187314430238314,0.14938303571574435,0.10216176770485831,0.3777402708433146,0.06058861120479797,0.021221988623314446,-0.2824617555071811,0.16605180170476797
