start_year,strategy,elapsed_year,calendar_year,asset_yen,backfilled
1975,P09_STR_sc2.2,6,1980,93104089,0
1975,P09_STR_sc2.2,7,1981,89197736,0
1975,P09_STR_sc2.2,8,1982,211981493,0
1975,P09_STR_sc2.2,9,1983,433055373,0
1975,P09_STR_sc2.2,10,1984,418055766,0
1975,P09_STR_sc2.2,11,1985,914454511,0
1975,P09_STR_sc2.2,12,1986,1218247099,0
1975,P09_STR_sc2.2,13,1987,2680803218,0
1975,P09_STR_sc2.2,14,1988,2023285233,0
1975,P09_STR_sc2.2,15,1989,3158389496,0
1975,P09_STR_sc2.2,16,1990,2210245759,0
1975,P09_STR_sc2.2,17,1991,3709182068,0
1975,P09_STR_sc2.2,18,1992,6125691800,0
1975,P09_STR_sc2.2,19,1993,6344615301,0
1975,P09_STR_sc2.2,20,1994,5759360739,0
1975,P09_STR_sc2.4,1,1975,25619850,0
1975,P09_STR_sc2.4,2,1976,50647512,0
1975,P09_STR_sc2.4,3,1977,32220193,0
1975,P09_STR_sc2.4,4,1978,68682322,0
1975,P09_STR_sc2.4,5,1979,72731408,0
1975,P09_STR_sc2.4,6,1980,106168070,0
1975,P09_STR_sc2.4,7,1981,102969422,0
1975,P09_STR_sc2.4,8,1982,262096060,0
1975,P09_STR_sc2.4,9,1983,573924021,0
1975,P09_STR_sc2.4,10,1984,554675939,0
1975,P09_STR_sc2.4,11,1985,1288291979,0
1975,P09_STR_sc2.4,12,1986,1734146205,0
1975,P09_STR_sc2.4,13,1987,4069684556,0
1975,P09_STR_sc2.4,14,1988,2993195389,0
1975,P09_STR_sc2.4,15,1989,4806718794,0
1975,P09_STR_sc2.4,16,1990,3250621902,0
1975,P09_STR_sc2.4,17,1991,5631696887,0
1975,P09_STR_sc2.4,18,1992,9639388268,0
1975,P09_STR_sc2.4,19,1993,9841074877,0
1975,P09_STR_sc2.4,20,1994,8797832570,0
1975,NASDAQ_1x_BH,1,1975,31778100,0
1975,NASDAQ_1x_BH,2,1976,33167442,0
