start_year,strategy,survived,ruin_year_elapsed,asset_y10_yen,asset_y20_yen
1988,P09_C1_sc1.8,0,7,0,0
1989,P09_C1_sc1.8,1,,46108324,391355133
1990,P09_C1_sc1.8,0,14,17728105,0
1991,P09_C1_sc1.8,1,,278180629,4223160145
1992,P09_C1_sc1.8,1,,174714695,2682398038
1993,P09_C1_sc1.8,1,,97786183,1751020680
1994,P09_C1_sc1.8,1,,360048798,3137350288
1995,P09_C1_sc1.8,1,,611422977,5481856417
1996,P09_C1_sc1.8,1,,224626327,1503170959
1997,P09_C1_sc1.8,1,,345257144,1507789995
1998,P09_C1_sc1.8,1,,305472874,1621260147
1999,P09_C1_sc1.8,1,,174135969,668077545
2000,P09_C1_sc1.8,0,10,0,0
2001,P09_C1_sc1.8,1,,122056639,513562396
2002,P09_C1_sc1.8,1,,198800181,1217237787
2003,P09_C1_sc1.8,1,,303904255,1357543483
2004,P09_C1_sc1.8,0,15,24936192,0
2005,P09_C1_sc1.8,1,,63320808,234304912
1975,P09_C1_sc2.0,1,,192190094,1450978543
1976,P09_C1_sc2.0,1,,485940800,4514130267
1977,P09_C1_sc2.0,1,,201620695,1530386387
1978,P09_C1_sc2.0,1,,1044462786,6766122025
1979,P09_C1_sc2.0,1,,306472637,4183138671
1980,P09_C1_sc2.0,1,,449974852,12355116965
1981,P09_C1_sc2.0,1,,225501114,6666592047
1982,P09_C1_sc2.0,1,,461198184,9963036545
1983,P09_C1_sc2.0,1,,233691316,3597571392
1984,P09_C1_sc2.0,1,,77148777,2601548177
1985,P09_C1_sc2.0,1,,112053356,4836350951
1986,P09_C1_sc2.0,1,,80491784,1364561746
1987,P09_C1_sc2.0,1,,52672808,1104732237
1988,P09_C1_sc2.0,0,7,0,0
1989,P09_C1_sc2.0,1,,61068268,687212206
1990,P09_C1_sc2.0,0,19,29243189,0
1991,P09_C1_sc2.0,1,,375449263,6760858584
1992,P09_C1_sc2.0,1,,230942769,4158979189
1993,P09_C1_sc2.0,1,,122715754,2682403611
1994,P09_C1_sc2.0,1,,503598204,4894339376
1995,P09_C1_sc2.0,1,,844532717,8373662404
1996,P09_C1_sc2.0,1,,288438097,2130073621
1997,P09_C1_sc2.0,1,,451046527,2054485408
1998,P09_C1_sc2.0,1,,381527879,2198049157
1999,P09_C1_sc2.0,1,,211681815,878120970
2000,P09_C1_sc2.0,0,9,0,0
2001,P09_C1_sc2.0,1,,152298086,730755228
2002,P09_C1_sc2.0,1,,238364692,1662131469
2003,P09_C1_sc2.0,1,,373626109,1840053571
2004,P09_C1_sc2.0,0,15,26186788,0
2005,P09_C1_sc2.0,1,,71541298,324391360
1975,P09_C1_sc2.2,1,,255908218,2172929158
1976,P09_C1_sc2.2,1,,658630599,6931361463
1977,P09_C1_sc2.2,1,,260448760,2280739451
1978,P09_C1_sc2.2,1,,1468773656,10517877664
1979,P09_C1_sc2.2,1,,396927266,6433993810
1980,P09_C1_sc2.2,1,,613949256,21238944395
1981,P09_C1_sc2.2,1,,289106378,10835463927
1982,P09_C1_sc2.2,1,,593128672,15728786855
1983,P09_C1_sc2.2,1,,299990276,5566693273
1984,P09_C1_sc2.2,1,,93085898,4302518440
1985,P09_C1_sc2.2,1,,129982746,7413000254
1986,P09_C1_sc2.2,1,,97535148,2066246965
1987,P09_C1_sc2.2,1,,65938613,1829178161
1988,P09_C1_sc2.2,0,7,0,0
1989,P09_C1_sc2.2,1,,77107677,1055891406
1990,P09_C1_sc2.2,1,,40414292,83146498
1991,P09_C1_sc2.2,1,,491721000,10269336854
1992,P09_C1_sc2.2,1,,296563260,6104340557
1993,P09_C1_sc2.2,1,,149349440,3856621123
1994,P09_C1_sc2.2,1,,683490132,7242863065
1995,P09_C1_sc2.2,1,,1136367210,12243974322
1996,P09_C1_sc2.2,1,,359431552,2870441303
1997,P09_C1_sc2.2,1,,572730051,2668213620
1998,P09_C1_sc2.2,1,,462993370,2842821456
1999,P09_C1_sc2.2,1,,249779540,1094530913
2000,P09_C1_sc2.2,0,9,0,0
2001,P09_C1_sc2.2,1,,184469956,968189500
2002,P09_C1_sc2.2,1,,278614850,2152181008
2003,P09_C1_sc2.2,1,,447005996,2369991875
2004,P09_C1_sc2.2,0,15,25740747,0
2005,P09_C1_sc2.2,1,,78566277,406376106
1975,P09_C1_sc2.4,1,,334004573,3133572494
1976,P09_C1_sc2.4,1,,879931049,10352171966
1977,P09_C1_sc2.4,1,,330624464,3274727239
1978,P09_C1_sc2.4,1,,2037218977,15920081801
1979,P09_C1_sc2.4,1,,506312323,9568216666
1980,P09_C1_sc2.4,1,,823697758,35126333467
1981,P09_C1_sc2.4,1,,364866029,16939143954
1982,P09_C1_sc2.4,1,,751663485,24039726689
1983,P09_C1_sc2.4,1,,377751195,8276566717
1984,P09_C1_sc2.4,1,,109780154,6711537057
1985,P09_C1_sc2.4,1,,148127723,10905440461
1986,P09_C1_sc2.4,1,,115417876,2953417475
1987,P09_C1_sc2.4,1,,79902538,2789026589
1988,P09_C1_sc2.4,0,7,0,0
1989,P09_C1_sc2.4,1,,93703202,1487188441
1990,P09_C1_sc2.4,1,,49363299,169393651
1991,P09_C1_sc2.4,1,,626687449,14891494389
1992,P09_C1_sc2.4,1,,371133116,8545744278
1993,P09_C1_sc2.4,1,,176859201,5255374747
1994,P09_C1_sc2.4,1,,903188671,10235967259
1995,P09_C1_sc2.4,1,,1492690870,17199628912
1996,P09_C1_sc2.4,1,,436068642,3700514218
1997,P09_C1_sc2.4,1,,708797358,3318591041
1998,P09_C1_sc2.4,1,,547252892,3522525935
1999,P09_C1_sc2.4,1,,287026983,1302304213
2000,P09_C1_sc2.4,0,9,0,0
2001,P09_C1_sc2.4,1,,217689760,1210844335
2002,P09_C1_sc2.4,1,,318177604,2657383671
2003,P09_C1_sc2.4,1,,521606789,2914961047
2004,P09_C1_sc2.4,0,14,23343128,0
2005,P09_C1_sc2.4,1,,84035121,469911916
1975,NASDAQ_1x_BH,0,13,9527111,0
1976,NASDAQ_1x_BH,0,11,1836755,0
1977,NASDAQ_1x_BH,0,10,0,0
1978,NASDAQ_1x_BH,0,11,85422,0
1979,NASDAQ_1x_BH,0,11,1084058,0
1980,NASDAQ_1x_BH,0,9,0,0
1981,NASDAQ_1x_BH,0,8,0,0
1982,NASDAQ_1x_BH,0,9,0,0
1983,NASDAQ_1x_BH,0,8,0,0
1984,NASDAQ_1x_BH,0,7,0,0
1985,NASDAQ_1x_BH,0,9,0,0
1986,NASDAQ_1x_BH,0,7,0,0
1987,NASDAQ_1x_BH,0,8,0,0
1988,NASDAQ_1x_BH,0,9,0,0
1989,NASDAQ_1x_BH,0,9,0,0
1990,NASDAQ_1x_BH,0,9,0,0
1991,NASDAQ_1x_BH,0,16,31334465,0
1992,NASDAQ_1x_BH,0,11,2133259,0
1993,NASDAQ_1x_BH,0,11,1311261,0
1994,NASDAQ_1x_BH,0,10,0,0
1995,NASDAQ_1x_BH,0,12,8985519,0
1996,NASDAQ_1x_BH,0,10,0,0
1997,NASDAQ_1x_BH,0,9,0,0
1998,NASDAQ_1x_BH,0,8,0,0
1999,NASDAQ_1x_BH,0,7,0,0
2000,NASDAQ_1x_BH,0,4,0,0
2001,NASDAQ_1x_BH,0,5,0,0
2002,NASDAQ_1x_BH,0,7,0,0
2003,NASDAQ_1x_BH,0,9,0,0
2004,NASDAQ_1x_BH,0,7,0,0
2005,NASDAQ_1x_BH,0,7,0,0
