section,scenario,convention,config,seed,p_labor0,floor_M,term_real_med_M
1_shift,Sa_run-2pp,lagged,NC1_hold_thr20,20260632,0.732,,
1_shift,Sa_run-2pp,lookahead,FA1_F202020thr20,20260633,0.997,,
1_shift,Sa_run-2pp,lookahead,FA2_F202020thr26,20260633,0.9885,,
1_shift,Sa_run-2pp,lookahead,NB0_noHOLD_thr20,20260633,0.84,,
1_shift,Sa_run-2pp,lookahead,NC1_hold_thr20,20260633,0.8485,,
1_shift,Sa_run-2pp,lagged,FA1_F202020thr20,20260633,0.983,,
1_shift,Sa_run-2pp,lagged,FA2_F202020thr26,20260633,0.9865,,
1_shift,Sa_run-2pp,lagged,NB0_noHOLD_thr20,20260633,0.84,,
1_shift,Sa_run-2pp,lagged,NC1_hold_thr20,20260633,0.7145,,
1_shift,Sb_run-5pp,lookahead,FA1_F202020thr20,20260629,0.9945,,
1_shift,Sb_run-5pp,lookahead,FA2_F202020thr26,20260629,0.9915,,
1_shift,Sb_run-5pp,lookahead,NB0_noHOLD_thr20,20260629,0.803,,
1_shift,Sb_run-5pp,lookahead,NC1_hold_thr20,20260629,0.8115,,
1_shift,Sb_run-5pp,lagged,FA1_F202020thr20,20260629,0.974,,
1_shift,Sb_run-5pp,lagged,FA2_F202020thr26,20260629,0.97,,
1_shift,Sb_run-5pp,lagged,NB0_noHOLD_thr20,20260629,0.803,,
1_shift,Sb_run-5pp,lagged,NC1_hold_thr20,20260629,0.68,,
1_shift,Sb_run-5pp,lookahead,FA1_F202020thr20,20260630,0.9945,,
1_shift,Sb_run-5pp,lookahead,FA2_F202020thr26,20260630,0.9915,,
1_shift,Sb_run-5pp,lookahead,NB0_noHOLD_thr20,20260630,0.8155,,
1_shift,Sb_run-5pp,lookahead,NC1_hold_thr20,20260630,0.831,,
1_shift,Sb_run-5pp,lagged,FA1_F202020thr20,20260630,0.98,,
1_shift,Sb_run-5pp,lagged,FA2_F202020thr26,20260630,0.9745,,
1_shift,Sb_run-5pp,lagged,NB0_noHOLD_thr20,20260630,0.8155,,
1_shift,Sb_run-5pp,lagged,NC1_hold_thr20,20260630,0.692,,
1_shift,Sb_run-5pp,lookahead,FA1_F202020thr20,20260631,0.9935,,
1_shift,Sb_run-5pp,lookahead,FA2_F202020thr26,20260631,0.987,,
1_shift,Sb_run-5pp,lookahead,NB0_noHOLD_thr20,20260631,0.816,,
1_shift,Sb_run-5pp,lookahead,NC1_hold_thr20,20260631,0.8295,,
1_shift,Sb_run-5pp,lagged,FA1_F202020thr20,20260631,0.979,,
1_shift,Sb_run-5pp,lagged,FA2_F202020thr26,20260631,0.9725,,
1_shift,Sb_run-5pp,lagged,NB0_noHOLD_thr20,20260631,0.816,,
1_shift,Sb_run-5pp,lagged,NC1_hold_thr20,20260631,0.675,,
1_shift,Sb_run-5pp,lookahead,FA1_F202020thr20,20260632,0.9935,,
1_shift,Sb_run-5pp,lookahead,FA2_F202020thr26,20260632,0.989,,
1_shift,Sb_run-5pp,lookahead,NB0_noHOLD_thr20,20260632,0.8245,,
1_shift,Sb_run-5pp,lookahead,NC1_hold_thr20,20260632,0.837,,
1_shift,Sb_run-5pp,lagged,FA1_F202020thr20,20260632,0.9775,,
1_shift,Sb_run-5pp,lagged,FA2_F202020thr26,20260632,0.9705,,
1_shift,Sb_run-5pp,lagged,NB0_noHOLD_thr20,20260632,0.8245,,
1_shift,Sb_run-5pp,lagged,NC1_hold_thr20,20260632,0.683,,
1_shift,Sb_run-5pp,lookahead,FA1_F202020thr20,20260633,0.9915,,
1_shift,Sb_run-5pp,lookahead,FA2_F202020thr26,20260633,0.985,,
1_shift,Sb_run-5pp,lookahead,NB0_noHOLD_thr20,20260633,0.7925,,
1_shift,Sb_run-5pp,lookahead,NC1_hold_thr20,20260633,0.811,,
1_shift,Sb_run-5pp,lagged,FA1_F202020thr20,20260633,0.9745,,
1_shift,Sb_run-5pp,lagged,FA2_F202020thr26,20260633,0.96,,
1_shift,Sb_run-5pp,lagged,NB0_noHOLD_thr20,20260633,0.7925,,
1_shift,Sb_run-5pp,lagged,NC1_hold_thr20,20260633,0.6635,,
1_shift,Sc_run-2_bond-1,lookahead,FA1_F202020thr20,20260629,0.997,,
1_shift,Sc_run-2_bond-1,lookahead,FA2_F202020thr26,20260629,0.989,,
1_shift,Sc_run-2_bond-1,lookahead,NB0_noHOLD_thr20,20260629,0.8475,,
1_shift,Sc_run-2_bond-1,lookahead,NC1_hold_thr20,20260629,0.85,,
1_shift,Sc_run-2_bond-1,lagged,FA1_F202020thr20,20260629,0.986,,
1_shift,Sc_run-2_bond-1,lagged,FA2_F202020thr26,20260629,0.9865,,
1_shift,Sc_run-2_bond-1,lagged,NB0_noHOLD_thr20,20260629,0.8475,,
1_shift,Sc_run-2_bond-1,lagged,NC1_hold_thr20,20260629,0.719,,
1_shift,Sc_run-2_bond-1,lookahead,FA1_F202020thr20,20260630,0.999,,
1_shift,Sc_run-2_bond-1,lookahead,FA2_F202020thr26,20260630,0.9935,,
1_shift,Sc_run-2_bond-1,lookahead,NB0_noHOLD_thr20,20260630,0.8725,,
1_shift,Sc_run-2_bond-1,lookahead,NC1_hold_thr20,20260630,0.8775,,
1_shift,Sc_run-2_bond-1,lagged,FA1_F202020thr20,20260630,0.9875,,
1_shift,Sc_run-2_bond-1,lagged,FA2_F202020thr26,20260630,0.9905,,
1_shift,Sc_run-2_bond-1,lagged,NB0_noHOLD_thr20,20260630,0.8725,,
1_shift,Sc_run-2_bond-1,lagged,NC1_hold_thr20,20260630,0.728,,
1_shift,Sc_run-2_bond-1,lookahead,FA1_F202020thr20,20260631,0.9975,,
1_shift,Sc_run-2_bond-1,lookahead,FA2_F202020thr26,20260631,0.9925,,
1_shift,Sc_run-2_bond-1,lookahead,NB0_noHOLD_thr20,20260631,0.864,,
1_shift,Sc_run-2_bond-1,lookahead,NC1_hold_thr20,20260631,0.869,,
1_shift,Sc_run-2_bond-1,lagged,FA1_F202020thr20,20260631,0.983,,
1_shift,Sc_run-2_bond-1,lagged,FA2_F202020thr26,20260631,0.9885,,
1_shift,Sc_run-2_bond-1,lagged,NB0_noHOLD_thr20,20260631,0.864,,
1_shift,Sc_run-2_bond-1,lagged,NC1_hold_thr20,20260631,0.7105,,
1_shift,Sc_run-2_bond-1,lookahead,FA1_F202020thr20,20260632,0.9975,,
1_shift,Sc_run-2_bond-1,lookahead,FA2_F202020thr26,20260632,0.9915,,
1_shift,Sc_run-2_bond-1,lookahead,NB0_noHOLD_thr20,20260632,0.8635,,
1_shift,Sc_run-2_bond-1,lookahead,NC1_hold_thr20,20260632,0.868,,
1_shift,Sc_run-2_bond-1,lagged,FA1_F202020thr20,20260632,0.9845,,
1_shift,Sc_run-2_bond-1,lagged,FA2_F202020thr26,20260632,0.989,,
1_shift,Sc_run-2_bond-1,lagged,NB0_noHOLD_thr20,20260632,0.8635,,
1_shift,Sc_run-2_bond-1,lagged,NC1_hold_thr20,20260632,0.7245,,
1_shift,Sc_run-2_bond-1,lookahead,FA1_F202020thr20,20260633,0.9965,,
1_shift,Sc_run-2_bond-1,lookahead,FA2_F202020thr26,20260633,0.9885,,
1_shift,Sc_run-2_bond-1,lookahead,NB0_noHOLD_thr20,20260633,0.837,,
1_shift,Sc_run-2_bond-1,lookahead,NC1_hold_thr20,20260633,0.845,,
1_shift,Sc_run-2_bond-1,lagged,FA1_F202020thr20,20260633,0.9825,,
1_shift,Sc_run-2_bond-1,lagged,FA2_F202020thr26,20260633,0.9865,,
1_shift,Sc_run-2_bond-1,lagged,NB0_noHOLD_thr20,20260633,0.837,,
1_shift,Sc_run-2_bond-1,lagged,NC1_hold_thr20,20260633,0.709,,
2_floor_decay,S0_none,lookahead,,20260629,1.0,1.2,
2_floor_decay,S0_none,lookahead,,20260630,1.0,1.2,
2_floor_decay,S0_none,lookahead,,20260631,1.0,1.2,
2_floor_decay,S0_none,lookahead,,20260632,1.0,1.2,
