start_year,strategy,survived,ruin_year_elapsed,asset_y10_yen,asset_y20_yen,ever_below_15M,first_below_15M_elapsed
1990,P09_STR_sc1.8,0,7,0,0,1,4
1991,P09_STR_sc1.8,1,,399387802,8930602336,0,
1992,P09_STR_sc1.8,1,,198773017,4455646004,0,
1993,P09_STR_sc1.8,1,,84616847,2254875845,0,
1994,P09_STR_sc1.8,1,,465814334,6053274151,0,
1995,P09_STR_sc1.8,1,,838229111,12690695527,0,
1996,P09_STR_sc1.8,1,,288406269,3027127016,0,
1997,P09_STR_sc1.8,1,,435855945,2745680334,0,
1998,P09_STR_sc1.8,1,,395726013,3244334199,0,
1999,P09_STR_sc1.8,1,,186212972,1175854064,0,
2000,P09_STR_sc1.8,0,6,0,0,1,2
2001,P09_STR_sc1.8,1,,103729518,617194842,0,
2002,P09_STR_sc1.8,1,,238248567,2460592324,0,
2003,P09_STR_sc1.8,1,,435897794,3098835899,0,
2004,P09_STR_sc1.8,0,8,0,0,1,5
2005,P09_STR_sc1.8,1,,89019357,649730473,0,
1975,P09_STR_sc2.0,1,,147478575,1602633359,0,
1976,P09_STR_sc2.0,1,,617606649,8116799077,0,
1977,P09_STR_sc2.0,1,,93809961,978083255,0,
1978,P09_STR_sc2.0,1,,1330839831,12990793503,0,
1979,P09_STR_sc2.0,1,,274349671,6464594779,0,
1980,P09_STR_sc2.0,1,,493631086,22192706262,0,
1981,P09_STR_sc2.0,1,,241151870,12250338995,0,
1982,P09_STR_sc2.0,1,,596616913,20061630227,0,
1983,P09_STR_sc2.0,1,,300398056,6928142497,0,
1984,P09_STR_sc2.0,1,,88928596,5148950026,0,
1985,P09_STR_sc2.0,1,,157169624,10709193204,0,
1986,P09_STR_sc2.0,1,,76053586,1856322656,0,
1987,P09_STR_sc2.0,1,,70725741,2390205036,0,
1988,P09_STR_sc2.0,0,5,0,0,1,3
1989,P09_STR_sc2.0,1,,76464658,1209273403,0,
1990,P09_STR_sc2.0,0,7,0,0,1,4
1991,P09_STR_sc2.0,1,,594372169,16446032328,0,
1992,P09_STR_sc2.0,1,,289816033,8013879460,0,
1993,P09_STR_sc2.0,1,,118782035,4207571701,0,
1994,P09_STR_sc2.0,1,,714234391,10850253013,0,
1995,P09_STR_sc2.0,1,,1233435522,21914022711,0,
1996,P09_STR_sc2.0,1,,397095621,4841165587,0,
1997,P09_STR_sc2.0,1,,609635016,4161639013,0,
1998,P09_STR_sc2.0,1,,524776822,4908959554,0,
1999,P09_STR_sc2.0,1,,241815935,1760980787,0,
2000,P09_STR_sc2.0,0,6,0,0,1,2
2001,P09_STR_sc2.0,1,,146575359,1122033206,0,
2002,P09_STR_sc2.0,1,,306543590,3837168877,0,
2003,P09_STR_sc2.0,1,,574921835,4726526853,0,
2004,P09_STR_sc2.0,0,8,0,0,1,4
2005,P09_STR_sc2.0,1,,112418391,1081900951,0,
1975,P09_STR_sc2.2,1,,218280246,2867340851,0,
1976,P09_STR_sc2.2,1,,906126240,14124839844,0,
1977,P09_STR_sc2.2,1,,138495578,1932294913,0,
1978,P09_STR_sc2.2,1,,2003412001,22750413947,0,
1979,P09_STR_sc2.2,1,,378581324,11430510657,0,
1980,P09_STR_sc2.2,1,,723784382,43631122719,0,
1981,P09_STR_sc2.2,1,,329666903,22694073154,0,
1982,P09_STR_sc2.2,1,,815463131,35405583201,0,
1983,P09_STR_sc2.2,1,,415911673,12117787911,0,
1984,P09_STR_sc2.2,1,,118722327,10195143578,0,
1985,P09_STR_sc2.2,1,,195872686,18529008192,0,
1986,P09_STR_sc2.2,1,,104357861,3447378088,0,
1987,P09_STR_sc2.2,1,,102816633,4864062438,0,
1988,P09_STR_sc2.2,0,5,0,0,1,3
1989,P09_STR_sc2.2,1,,118679294,2428760773,0,
1990,P09_STR_sc2.2,0,7,0,0,1,4
1991,P09_STR_sc2.2,1,,847953624,28261312337,0,
1992,P09_STR_sc2.2,1,,403854151,13304207303,0,
1993,P09_STR_sc2.2,1,,157400403,7004645321,0,
1994,P09_STR_sc2.2,1,,1050065186,18115027739,0,
1995,P09_STR_sc2.2,1,,1759127827,35895173972,0,
1996,P09_STR_sc2.2,1,,526109190,7266812152,0,
1997,P09_STR_sc2.2,1,,822513241,5930487319,0,
1998,P09_STR_sc2.2,1,,671038488,6999055458,0,
1999,P09_STR_sc2.2,1,,301130839,2451007565,0,
2000,P09_STR_sc2.2,0,6,0,0,1,2
2001,P09_STR_sc2.2,1,,195202577,1758805476,0,
2002,P09_STR_sc2.2,1,,380208137,5566670412,0,
2003,P09_STR_sc2.2,1,,731171585,6755292158,0,
2004,P09_STR_sc2.2,0,7,0,0,1,2
2005,P09_STR_sc2.2,1,,135723178,1576865176,0,
1975,P09_STR_sc2.4,1,,309586249,4766375412,0,
1976,P09_STR_sc2.4,1,,1300854503,23669345297,0,
1977,P09_STR_sc2.4,1,,193693487,3376699366,0,
1978,P09_STR_sc2.4,1,,2960846790,38520615152,0,
1979,P09_STR_sc2.4,1,,510005741,19236843067,0,
1980,P09_STR_sc2.4,1,,1035494940,81525230005,0,
1981,P09_STR_sc2.4,1,,440541992,39980349022,0,
1982,P09_STR_sc2.4,1,,1094241651,60153717098,0,
1983,P09_STR_sc2.4,1,,560517570,20148847982,0,
1984,P09_STR_sc2.4,1,,152351290,18476755841,0,
1985,P09_STR_sc2.4,1,,238141335,30491381533,0,
1986,P09_STR_sc2.4,1,,136361233,5761140334,0,
1987,P09_STR_sc2.4,1,,140188121,8696067304,0,
1988,P09_STR_sc2.4,0,5,0,0,1,3
1989,P09_STR_sc2.4,1,,169306727,4145393498,0,
1990,P09_STR_sc2.4,0,7,0,0,1,4
1991,P09_STR_sc2.4,1,,1168414715,45859454130,0,
1992,P09_STR_sc2.4,1,,542996269,20742161972,0,
1993,P09_STR_sc2.4,1,,199699149,10749822324,0,
1994,P09_STR_sc2.4,1,,1492001127,28531400740,0,
