section,key,value,note,L,clearance_dist_A_pct,nasdaq_return_pct,regime,excess_L_minus3,margin_rate_pct,intraday_add_pct,threshold_drop_pct,loss_at_liq_pct_AUM,loss_at_liq_JPY,risk_level,scenario,worst_1d_pct,cumulative_pct,n_days,n_liquidations,final_nav_liq,final_nav_base,cagr_liq,cagr_base,cagr_gap_pp,min9_liq,min9_base,min9_gap_pp,maxdd_liq,maxdd_base,maxdd_gap_pp,account_model,scenario_key,date,excess_n_pct,nasdaq_drop_pct,eff_drop_pct,liq_loss_pct_AUM,liq_loss_JPY,max_excess_date,max_excess_pct,max_L,worst_drop_date,worst_drop_pct,worst_combined_loss_pct_AUM,worst_combined_loss_JPY
M2_threshold,,,,5.0,,,,2.0,4.24,10.0,3.8545,7.7091,2312727.0,DANGER,mar_4.24pct_id_10pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,5.0,,,,2.0,4.24,15.0,3.687,7.3739,2212174.0,DANGER,mar_4.24pct_id_15pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,5.0,,,,2.0,8.0,0.0,8.0,16.0,4800000.0,WARN,mar_8pct_id_0pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,5.0,,,,2.0,8.0,5.0,7.619,15.2381,4571429.0,WARN,mar_8pct_id_5pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,5.0,,,,2.0,8.0,10.0,7.2727,14.5455,4363636.0,WARN,mar_8pct_id_10pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,5.0,,,,2.0,8.0,15.0,6.9565,13.913,4173913.0,WARN,mar_8pct_id_15pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,5.0,,,,2.0,12.0,0.0,12.0,24.0,7200000.0,CLEAR,mar_12pct_id_0pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,5.0,,,,2.0,12.0,5.0,11.4286,22.8571,6857143.0,CLEAR,mar_12pct_id_5pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,5.0,,,,2.0,12.0,10.0,10.9091,21.8182,6545455.0,CLEAR,mar_12pct_id_10pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,5.0,,,,2.0,12.0,15.0,10.4348,20.8696,6260870.0,CLEAR,mar_12pct_id_15pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,6.0,,,,3.0,4.24,0.0,4.24,12.72,3816000.0,DANGER,mar_4.24pct_id_0pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,6.0,,,,3.0,4.24,5.0,4.0381,12.1143,3634286.0,DANGER,mar_4.24pct_id_5pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,6.0,,,,3.0,4.24,10.0,3.8545,11.5636,3469091.0,DANGER,mar_4.24pct_id_10pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,6.0,,,,3.0,4.24,15.0,3.687,11.0609,3318261.0,DANGER,mar_4.24pct_id_15pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,6.0,,,,3.0,8.0,0.0,8.0,24.0,7200000.0,WARN,mar_8pct_id_0pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,6.0,,,,3.0,8.0,5.0,7.619,22.8571,6857143.0,WARN,mar_8pct_id_5pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,6.0,,,,3.0,8.0,10.0,7.2727,21.8182,6545455.0,WARN,mar_8pct_id_10pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,6.0,,,,3.0,8.0,15.0,6.9565,20.8696,6260870.0,WARN,mar_8pct_id_15pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,6.0,,,,3.0,12.0,0.0,12.0,36.0,10800000.0,CLEAR,mar_12pct_id_0pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,6.0,,,,3.0,12.0,5.0,11.4286,34.2857,10285714.0,CLEAR,mar_12pct_id_5pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,6.0,,,,3.0,12.0,10.0,10.9091,32.7273,9818182.0,CLEAR,mar_12pct_id_10pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,6.0,,,,3.0,12.0,15.0,10.4348,31.3043,9391304.0,CLEAR,mar_12pct_id_15pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,6.48,,,,3.48,4.24,0.0,4.24,14.7552,4426560.0,DANGER,mar_4.24pct_id_0pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,6.48,,,,3.48,4.24,5.0,4.0381,14.0526,4215771.0,DANGER,mar_4.24pct_id_5pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,6.48,,,,3.48,4.24,10.0,3.8545,13.4138,4024145.0,DANGER,mar_4.24pct_id_10pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,6.48,,,,3.48,4.24,15.0,3.687,12.8306,3849183.0,DANGER,mar_4.24pct_id_15pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,6.48,,,,3.48,8.0,0.0,8.0,27.84,8352000.0,WARN,mar_8pct_id_0pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,6.48,,,,3.48,8.0,5.0,7.619,26.5143,7954286.0,WARN,mar_8pct_id_5pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,6.48,,,,3.48,8.0,10.0,7.2727,25.3091,7592727.0,WARN,mar_8pct_id_10pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,6.48,,,,3.48,8.0,15.0,6.9565,24.2087,7262609.0,WARN,mar_8pct_id_15pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,6.48,,,,3.48,12.0,0.0,12.0,41.76,12528000.0,CLEAR,mar_12pct_id_0pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,6.48,,,,3.48,12.0,5.0,11.4286,39.7714,11931429.0,CLEAR,mar_12pct_id_5pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,6.48,,,,3.48,12.0,10.0,10.9091,37.9636,11389091.0,CLEAR,mar_12pct_id_10pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,6.48,,,,3.48,12.0,15.0,10.4348,36.313,10893913.0,CLEAR,mar_12pct_id_15pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_crisis_drops,BlackMonday1987,,,,,,,,,,,,,,,-11.3463,-19.3207,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_crisis_drops,DotcomPeak2000,,,,,,,,,,,,,,,-9.6685,-27.369,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_crisis_drops,PostLehman2008,,,,,,,,,,,,,,,-5.8015,-11.4576,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_crisis_drops,COVID2020,,,,,,,,,,,,,,,-9.4347,-5.6251,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_crisis_drops,Rate2022,,,,,,,,,,,,,,,-5.1591,-27.4668,174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_top1d_drops,2020-03-16,-12.3213,NASDAQ 1d return%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_top1d_drops,1987-10-19,-11.3463,NASDAQ 1d return%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_top1d_drops,2000-04-14,-9.6685,NASDAQ 1d return%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_top1d_drops,2020-03-12,-9.4347,NASDAQ 1d return%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_top1d_drops,2008-09-29,-9.1424,NASDAQ 1d return%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_top1d_drops,1987-10-26,-9.0107,NASDAQ 1d return%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_top1d_drops,1987-10-20,-8.995,NASDAQ 1d return%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
