section,key,value,note,L,clearance_dist_A_pct,nasdaq_return_pct,regime,excess_L_minus3,margin_rate_pct,intraday_add_pct,threshold_drop_pct,loss_at_liq_pct_AUM,loss_at_liq_JPY,risk_level,scenario,worst_1d_pct,cumulative_pct,n_days,n_liquidations,final_nav_liq,final_nav_base,cagr_liq,cagr_base,cagr_gap_pp,min9_liq,min9_base,min9_gap_pp,maxdd_liq,maxdd_base,maxdd_gap_pp,account_model,scenario_key,date,excess_n_pct,nasdaq_drop_pct,eff_drop_pct,liq_loss_pct_AUM,liq_loss_JPY,max_excess_date,max_excess_pct,max_L,worst_drop_date,worst_drop_pct,worst_combined_loss_pct_AUM,worst_combined_loss_JPY
M3_mar800_id0_A,,,,,,,,,8.0,0.0,,,,,,,,,0.0,2027783.246607,2027783.246607,0.320353,0.320353,0.0,0.288071,0.288071,0.0,-0.450414,-0.450414,0.0,A,mar800_id0_A,,,,,,,,,,,,,
M3_mar800_id10_A,,,,,,,,,8.0,10.0,,,,,,,,,0.0,2027783.246607,2027783.246607,0.320353,0.320353,0.0,0.288071,0.288071,0.0,-0.450414,-0.450414,0.0,A,mar800_id10_A,,,,,,,,,,,,,
M3_mar1200_id0_A,,,,,,,,,12.0,0.0,,,,,,,,,0.0,2027783.246607,2027783.246607,0.320353,0.320353,0.0,0.288071,0.288071,0.0,-0.450414,-0.450414,0.0,A,mar1200_id0_A,,,,,,,,,,,,,
M3_mar424_id0_B,,,,,,,,,4.24,0.0,,,,,,,,,2.0,1911297.70557,2027783.246607,0.31886,0.320353,-0.1494,0.288071,0.288071,0.0,-0.450414,-0.450414,-0.0,B,mar424_id0_B,,,,,,,,,,,,,
M3_mar424_id0_B_event,,,,4.050000000000001,,,,,4.24,,,,,,,,,,,,,,,,,,,,,,,,2000-01-04,84.0,5.5544,5.5544,4.6657,1399705.0,,,,,,,
M3_mar424_id0_B_event,,,,3.63653100717878,,,,,4.24,,,,,,,,,,,,,,,,,,,,,,,,2020-06-11,49.2979,5.2655,5.2655,2.5958,778730.0,,,,,,,
M3_mar424_id10_B,,,,,,,,,4.24,10.0,,,,,,,,,3.0,1615113.596856,2027783.246607,0.314617,0.320353,-0.5736,0.288071,0.288071,0.0,-0.450414,-0.450414,-0.0,B,mar424_id10_B,,,,,,,,,,,,,
M3_mar424_id10_B_event,,,,4.050000000000001,,,,,4.24,,,,,,,,,,,,,,,,,,,,,,,,2000-01-04,84.0,5.5544,6.1098,5.1323,1539675.0,,,,,,,
M3_mar424_id10_B_event,,,,6.075000000000001,,,,,4.24,,,,,,,,,,,,,,,,,,,,,,,,2016-06-24,246.0,4.1152,4.5268,11.1358,3340754.0,,,,,,,
M3_mar424_id10_B_event,,,,3.63653100717878,,,,,4.24,,,,,,,,,,,,,,,,,,,,,,,,2020-06-11,49.2979,5.2655,5.792,2.8553,856603.0,,,,,,,
M3_worst_event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984-11-23,278.4,6.48,2020-03-16,12.3213,34.3026,10290776.0
