cap,mean_L,s_uniform,cagr,cagr_is,cagr_oos,sharpe,maxdd,worst_day,twin_cagr,twin_maxdd,twin_oos,beats_twin,taxb_cagr,taxb_maxdd,taxb_w5y,liq_thresh,v7_p_a,v7_p_a_min,v7_p_a_max,v7_p_b
6.0,5.627621701482788,0.7451913937579752,0.3925510899404281,0.40187476395019783,0.30497947099852474,1.0036287647237183,-0.6342583233175347,-0.2710224139667752,0.4106675421137802,-0.6008702225807863,0.33603407267012386,False,0.3433224381825404,-0.3844295886424197,0.014899920156051571,-0.14195496979681493,0.9977,0.9965,0.9995,0.9948
7.0,6.399284598446871,0.8473724891127801,0.42919812619170084,0.4403796904978372,0.32489287472633754,0.9906018638098626,-0.6728174468987893,-0.3162276707919256,0.44665048716638767,-0.6652514335555963,0.35691265139823036,False,0.37762851804149844,-0.4199856506479611,-0.002596335264581362,-0.11743939750529536,0.9961,0.994,0.999,0.9923
8.0,6.974511869936155,0.9235422167360411,0.4548063464415748,0.46803181678460426,0.33231809780776667,0.9857134592761445,-0.7095207060121482,-0.35239187625204593,0.47072555506618463,-0.7085357213858536,0.368216929897045,False,0.4019892371016234,-0.46538762916597365,-0.00852118735355678,-0.0990527182866557,0.9958,0.994,0.9985,0.9919
8.68,7.175245851492714,0.9501227588238838,0.4647595335669501,0.4785227830850187,0.3375136273193764,0.9877690973204365,-0.7314544471300168,-0.35239187625204593,0.4785392498402703,-0.7226959449308881,0.37127840771153475,False,0.4113520964775599,-0.4816704648398952,-0.00923570255912698,-0.08896970065062747,0.9960000000000001,0.9945,0.9985,0.9924
10.0,7.375805964356284,0.9766802777839235,0.47681768556481474,0.48998524715405756,0.35478604381770995,0.9915567411402282,-0.7398113046953811,-0.35239187625204593,0.4860314294094412,-0.736362760263967,0.37387342275045254,False,0.42244516039394564,-0.4681795547760955,-0.003990346361200214,-0.07331136738056013,0.9970000000000001,0.9955,0.9985,0.9939
inf,7.551914512998977,1.0,0.49234549714329523,0.5048933008854506,0.3757666581800352,0.9993250257617703,-0.7479708755875836,-0.37241613377544225,,,,,0.4362095938969939,-0.4750006960587939,0.0004677913960371427,-0.05285029358340726,0.9983000000000001,0.997,1.0,
