mu,n_paths,floor_median,floor_mean,floor_p25,floor_p05,floor_p01,floor_worst,floor_best
0.0,400,6.12,6.08,5.83,5.73,5.71,5.66,6.75
0.02,400,5.71,5.71,5.64,5.48,4.82,4.78,6.3
0.03,400,5.56,5.52,5.46,5.15,4.86,4.7,6.16
