strategy,run_M,reserve_M,topup_thr_M,topup_amt,labor_years_total,starts_with_labor,starts_with_labor_list,topup_events_total,ruin_total,terminal_median_M,terminal_min_M,min_total_floor_M
X4,30.0000,10.0000,15.0000,ALL,85,11,1977;1984;1986;1987;1988;1989;1990;2000;2001;2004;2005,13,11,3377.8886,33.3081,0.0000
X4,30.0000,10.0000,20.0000,10M,34,4,1986;1988;2000;2004,13,4,3317.4155,9.8960,0.0000
X4,30.0000,10.0000,20.0000,ALL,34,4,1986;1988;2000;2004,13,4,3317.4155,9.8960,0.0000
X4,30.0000,10.0000,25.0000,10M,25,2,1988;2000,16,2,3370.2307,4.1298,0.0000
X4,30.0000,10.0000,25.0000,ALL,25,2,1988;2000,16,2,3370.2307,4.1298,0.0000
X4,35.0000,5.0000,15.0000,10M,56,5,1988;1989;1990;2000;2004,5,5,4526.9373,817.4512,0.0000
X4,35.0000,5.0000,15.0000,ALL,56,5,1988;1989;1990;2000;2004,5,5,4526.9373,817.4512,0.0000
X4,35.0000,5.0000,20.0000,10M,44,4,1988;1990;2000;2004,5,4,4177.0097,475.9735,0.0000
X4,35.0000,5.0000,20.0000,ALL,44,4,1988;1990;2000;2004,5,4,4177.0097,475.9735,0.0000
X4,35.0000,5.0000,25.0000,10M,31,3,1988;2000;2004,9,3,4798.7997,172.5054,0.0000
X4,35.0000,5.0000,25.0000,ALL,31,3,1988;2000;2004,9,3,4798.7997,172.5054,0.0000
X4,40.0000,0.0000,,n/a,45,4,1988;1990;2000;2004,0,4,6436.3145,1675.4462,0.0000
X4eq_sc1.4,20.0000,20.0000,15.0000,10M,343,31,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,62,31,0.0000,0.0000,0.0000
X4eq_sc1.4,20.0000,20.0000,15.0000,ALL,188,20,1978;1979;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1997;1998;1999;2000;2003;2004,31,20,82.3118,11.3527,0.0000
X4eq_sc1.4,20.0000,20.0000,20.0000,10M,265,30,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1999;2000;2001;2002;2003;2004;2005,62,30,18.0289,18.0289,0.0000
X4eq_sc1.4,20.0000,20.0000,20.0000,ALL,151,16,1980;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1999;2000;2004,31,16,178.7963,10.5177,0.0000
X4eq_sc1.4,20.0000,20.0000,25.0000,10M,119,13,1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;2000;2004,58,13,129.9277,27.2471,0.0000
X4eq_sc1.4,20.0000,20.0000,25.0000,ALL,92,9,1984;1986;1987;1988;1989;1990;1993;2000;2004,31,9,418.0354,22.3127,0.0000
X4eq_sc1.4,25.0000,15.0000,15.0000,10M,333,31,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,62,31,0.0000,0.0000,0.0000
X4eq_sc1.4,25.0000,15.0000,15.0000,ALL,277,29,1975;1976;1977;1978;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1999;2000;2001;2002;2003;2004;2005,31,29,30.2721,26.2926,0.0000
X4eq_sc1.4,25.0000,15.0000,20.0000,10M,261,30,1975;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,61,30,49.8212,49.8212,0.0000
X4eq_sc1.4,25.0000,15.0000,20.0000,ALL,170,20,1978;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1995;1997;1999;2000;2002;2003;2004,31,20,102.7516,19.2999,0.0000
X4eq_sc1.4,25.0000,15.0000,25.0000,10M,173,22,1975;1977;1979;1980;1981;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1998;1999;2000;2001;2004;2005,57,22,47.8622,3.5354,0.0000
X4eq_sc1.4,25.0000,15.0000,25.0000,ALL,126,13,1983;1984;1985;1986;1987;1988;1989;1990;1992;1993;1999;2000;2004,31,13,207.3586,19.2999,0.0000
X4eq_sc1.4,30.0000,10.0000,15.0000,10M,269,26,1975;1976;1977;1979;1980;1981;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1996;1997;1999;2000;2001;2002;2004;2005,27,26,64.6154,17.0827,0.0000
X4eq_sc1.4,30.0000,10.0000,15.0000,ALL,269,26,1975;1976;1977;1979;1980;1981;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1996;1997;1999;2000;2001;2002;2004;2005,27,26,64.6154,17.0827,0.0000
X4eq_sc1.4,30.0000,10.0000,20.0000,10M,214,26,1975;1976;1977;1979;1980;1981;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1996;1997;1999;2000;2001;2002;2004;2005,27,26,64.6154,38.6669,0.0000
X4eq_sc1.4,30.0000,10.0000,20.0000,ALL,214,26,1975;1976;1977;1979;1980;1981;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1996;1997;1999;2000;2001;2002;2004;2005,27,26,64.6154,38.6669,0.0000
X4eq_sc1.4,30.0000,10.0000,25.0000,10M,119,13,1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;2000;2004,27,13,129.9277,27.2471,0.0000
X4eq_sc1.4,30.0000,10.0000,25.0000,ALL,119,13,1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;2000;2004,27,13,129.9277,27.2471,0.0000
X4eq_sc1.4,35.0000,5.0000,15.0000,10M,180,20,1975;1977;1980;1981;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;2000;2001;2004;2005,20,20,253.3787,25.4960,0.0000
X4eq_sc1.4,35.0000,5.0000,15.0000,ALL,180,20,1975;1977;1980;1981;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;2000;2001;2004;2005,20,20,253.3787,25.4960,0.0000
X4eq_sc1.4,35.0000,5.0000,20.0000,10M,176,20,1975;1977;1980;1981;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;2000;2001;2004;2005,20,20,253.3787,25.4960,0.0000
X4eq_sc1.4,35.0000,5.0000,20.0000,ALL,176,20,1975;1977;1980;1981;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;2000;2001;2004;2005,20,20,253.3787,25.4960,0.0000
X4eq_sc1.4,35.0000,5.0000,25.0000,10M,131,18,1975;1977;1980;1981;1983;1984;1986;1987;1988;1989;1990;1991;1993;1994;2000;2001;2004;2005,20,18,184.4877,25.4960,0.0000
X4eq_sc1.4,35.0000,5.0000,25.0000,ALL,131,18,1975;1977;1980;1981;1983;1984;1986;1987;1988;1989;1990;1991;1993;1994;2000;2001;2004;2005,20,18,184.4877,25.4960,0.0000
X4eq_sc1.4,40.0000,0.0000,,n/a,92,9,1984;1986;1987;1988;1989;1990;1993;2000;2004,0,9,418.0354,22.3127,0.0000
X4eq_sc1.6,20.0000,20.0000,15.0000,10M,274,30,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,62,30,11.9226,11.9226,0.0000
X4eq_sc1.6,20.0000,20.0000,15.0000,ALL,113,12,1982;1985;1986;1987;1988;1989;1990;1991;1992;1997;2000;2004,31,12,332.9151,19.0360,0.0000
X4eq_sc1.6,20.0000,20.0000,20.0000,10M,148,18,1977;1978;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1999;2000;2002;2003;2004;2005,60,18,123.8446,4.7538,0.0000
X4eq_sc1.6,20.0000,20.0000,20.0000,ALL,80,8,1985;1986;1987;1988;1989;1990;2000;2004,31,8,455.6557,36.7120,0.0000
X4eq_sc1.6,20.0000,20.0000,25.0000,10M,78,9,1983;1986;1987;1988;1989;1990;1999;2000;2004,54,9,537.4266,58.3424,0.0000
X4eq_sc1.6,20.0000,20.0000,25.0000,ALL,59,6,1987;1988;1989;1990;2000;2004,31,6,1225.6224,96.5212,0.0000
X4eq_sc1.6,25.0000,15.0000,15.0000,10M,255,27,1975;1976;1977;1980;1981;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,55,27,112.1333,24.5539,0.0000
X4eq_sc1.6,25.0000,15.0000,15.0000,ALL,172,21,1975;1976;1977;1980;1981;1983;1984;1985;1986;1987;1988;1989;1990;1996;1997;1998;2000;2002;2003;2004;2005,28,21,255.0186,97.7384,0.0000
X4eq_sc1.6,25.0000,15.0000,20.0000,10M,137,16,1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;2000;2001;2002;2003;2004;2005,50,16,118.2965,4.2118,0.0000
X4eq_sc1.6,25.0000,15.0000,20.0000,ALL,85,9,1985;1986;1987;1988;1989;1990;2000;2003;2004,28,9,324.1400,18.1942,0.0000
X4eq_sc1.6,25.0000,15.0000,25.0000,10M,99,11,1984;1985;1986;1987;1988;1989;1990;2000;2003;2004;2005,46,11,367.2787,2.0833,0.0000
X4eq_sc1.6,25.0000,15.0000,25.0000,ALL,83,9,1985;1986;1987;1988;1989;1990;2000;2003;2004,28,9,446.4456,105.9701,0.0000
X4eq_sc1.6,30.0000,10.0000,15.0000,10M,186,21,1975;1977;1979;1980;1981;1983;1984;1986;1987;1988;1989;1990;1991;1992;1993;1994;1999;2000;2001;2004;2005,23,21,342.7432,1.1203,0.0000
X4eq_sc1.6,30.0000,10.0000,15.0000,ALL,186,21,1975;1977;1979;1980;1981;1983;1984;1986;1987;1988;1989;1990;1991;1992;1993;1994;1999;2000;2001;2004;2005,23,21,342.7432,1.1203,0.0000
X4eq_sc1.6,30.0000,10.0000,20.0000,10M,109,14,1980;1981;1983;1984;1986;1987;1988;1989;1990;1994;1999;2000;2004;2005,23,14,273.9963,1.8836,0.0000
X4eq_sc1.6,30.0000,10.0000,20.0000,ALL,109,14,1980;1981;1983;1984;1986;1987;1988;1989;1990;1994;1999;2000;2004;2005,23,14,273.9963,1.8836,0.0000
X4eq_sc1.6,30.0000,10.0000,25.0000,10M,78,9,1983;1986;1987;1988;1989;1990;1999;2000;2004,23,9,537.4266,58.3424,0.0000
X4eq_sc1.6,30.0000,10.0000,25.0000,ALL,78,9,1983;1986;1987;1988;1989;1990;1999;2000;2004,23,9,537.4266,58.3424,0.0000
X4eq_sc1.6,35.0000,5.0000,15.0000,10M,114,13,1975;1977;1984;1986;1987;1988;1989;1990;1993;2000;2001;2004;2005,13,13,726.1419,260.1002,0.0000
X4eq_sc1.6,35.0000,5.0000,15.0000,ALL,114,13,1975;1977;1984;1986;1987;1988;1989;1990;1993;2000;2001;2004;2005,13,13,726.1419,260.1002,0.0000
X4eq_sc1.6,35.0000,5.0000,20.0000,10M,106,12,1977;1984;1986;1987;1988;1989;1990;1993;2000;2001;2004;2005,13,12,721.1682,5.5916,0.0000
X4eq_sc1.6,35.0000,5.0000,20.0000,ALL,106,12,1977;1984;1986;1987;1988;1989;1990;1993;2000;2001;2004;2005,13,12,721.1682,5.5916,0.0000
X4eq_sc1.6,35.0000,5.0000,25.0000,10M,79,8,1984;1986;1987;1988;1989;1990;2000;2004,13,8,694.3960,7.5624,0.0000
X4eq_sc1.6,35.0000,5.0000,25.0000,ALL,79,8,1984;1986;1987;1988;1989;1990;2000;2004,13,8,694.3960,7.5624,0.0000
X4eq_sc1.6,40.0000,0.0000,,n/a,59,6,1987;1988;1989;1990;2000;2004,0,6,1225.6224,96.5212,0.0000
X4eq_sc1.8,20.0000,20.0000,15.0000,10M,267,30,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,62,30,127.5158,127.5158,0.0000
X4eq_sc1.8,20.0000,20.0000,15.0000,ALL,119,13,1982;1985;1986;1987;1988;1989;1990;1991;1995;1997;2000;2003;2004,31,13,488.5220,50.4150,0.0000
X4eq_sc1.8,20.0000,20.0000,20.0000,10M,125,14,1980;1981;1983;1984;1985;1986;1987;1988;1989;1990;2000;2003;2004;2005,60,14,131.7161,2.5882,0.0000
X4eq_sc1.8,20.0000,20.0000,20.0000,ALL,73,8,1985;1986;1987;1988;1989;1990;2000;2004,31,8,638.2258,87.9738,0.0000
X4eq_sc1.8,20.0000,20.0000,25.0000,10M,74,7,1986;1987;1988;1989;1990;2000;2004,52,7,614.0773,53.7838,0.0000
X4eq_sc1.8,20.0000,20.0000,25.0000,ALL,55,5,1988;1989;1990;2000;2004,31,5,1505.7216,22.3660,0.0000
X4eq_sc1.8,25.0000,15.0000,15.0000,10M,246,26,1975;1976;1977;1979;1980;1981;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1996;1997;1999;2000;2001;2002;2004;2005,54,26,255.0593,12.3602,0.0000
X4eq_sc1.8,25.0000,15.0000,15.0000,ALL,152,18,1979;1980;1981;1983;1984;1985;1986;1987;1988;1989;1990;1996;1997;1999;2000;2002;2004;2005,27,18,247.2845,27.6597,0.0000
X4eq_sc1.8,25.0000,15.0000,20.0000,10M,111,13,1984;1985;1986;1987;1988;1989;1990;1992;1993;2000;2001;2002;2004,44,13,230.5315,9.4408,0.0000
X4eq_sc1.8,25.0000,15.0000,20.0000,ALL,74,8,1985;1986;1987;1988;1989;1990;2000;2004,27,8,466.1173,52.8713,0.0000
X4eq_sc1.8,25.0000,15.0000,25.0000,10M,90,9,1984;1985;1986;1987;1988;1989;1990;2000;2004,44,9,531.4084,46.6296,0.0000
X4eq_sc1.8,25.0000,15.0000,25.0000,ALL,74,8,1985;1986;1987;1988;1989;1990;2000;2004,27,8,616.8619,61.6652,0.0000
X4eq_sc1.8,30.0000,10.0000,15.0000,10M,165,18,1975;1977;1981;1983;1984;1986;1987;1988;1989;1990;1991;1992;1993;1994;2000;2001;2004;2005,18,18,380.1951,53.7838,0.0000
X4eq_sc1.8,30.0000,10.0000,15.0000,ALL,165,18,1975;1977;1981;1983;1984;1986;1987;1988;1989;1990;1991;1992;1993;1994;2000;2001;2004;2005,18,18,380.1951,53.7838,0.0000
X4eq_sc1.8,30.0000,10.0000,20.0000,10M,100,11,1981;1983;1984;1986;1987;1988;1989;1990;2000;2004;2005,18,11,356.5878,16.0750,0.0000
X4eq_sc1.8,30.0000,10.0000,20.0000,ALL,100,11,1981;1983;1984;1986;1987;1988;1989;1990;2000;2004;2005,18,11,356.5878,16.0750,0.0000
X4eq_sc1.8,30.0000,10.0000,25.0000,10M,74,7,1986;1987;1988;1989;1990;2000;2004,21,7,614.0773,53.7838,0.0000
X4eq_sc1.8,30.0000,10.0000,25.0000,ALL,74,7,1986;1987;1988;1989;1990;2000;2004,21,7,614.0773,53.7838,0.0000
X4eq_sc1.8,35.0000,5.0000,15.0000,10M,100,11,1975;1984;1986;1987;1988;1989;1990;1993;2000;2001;2004,11,11,939.7309,40.8302,0.0000
X4eq_sc1.8,35.0000,5.0000,15.0000,ALL,100,11,1975;1984;1986;1987;1988;1989;1990;1993;2000;2001;2004,11,11,939.7309,40.8302,0.0000
X4eq_sc1.8,35.0000,5.0000,20.0000,10M,98,11,1975;1984;1986;1987;1988;1989;1990;1993;2000;2001;2004,11,11,939.7309,40.8302,0.0000
X4eq_sc1.8,35.0000,5.0000,20.0000,ALL,98,11,1975;1984;1986;1987;1988;1989;1990;1993;2000;2001;2004,11,11,939.7309,40.8302,0.0000
X4eq_sc1.8,35.0000,5.0000,25.0000,10M,74,8,1984;1986;1987;1988;1989;1990;2000;2004,13,8,899.7485,76.0425,0.0000
X4eq_sc1.8,35.0000,5.0000,25.0000,ALL,74,8,1984;1986;1987;1988;1989;1990;2000;2004,13,8,899.7485,76.0425,0.0000
X4eq_sc1.8,40.0000,0.0000,,n/a,55,5,1988;1989;1990;2000;2004,0,5,1505.7216,22.3660,0.0000
X4eq_sc2.2,20.0000,20.0000,15.0000,10M,201,25,1975;1977;1978;1979;1980;1982;1983;1984;1985;1986;1987;1988;1989;1990;1993;1995;1996;1997;1998;1999;2000;2001;2003;2004;2005,58,25,233.3224,107.3675,0.0000
X4eq_sc2.2,20.0000,20.0000,15.0000,ALL,84,9,1982;1985;1986;1987;1988;1989;1997;2000;2004,31,9,814.1964,6.0098,0.0000
X4eq_sc2.2,20.0000,20.0000,20.0000,10M,119,15,1977;1980;1982;1983;1984;1985;1986;1987;1988;1989;1990;1998;2000;2004;2005,53,15,347.7006,41.0915,0.0000
X4eq_sc2.2,20.0000,20.0000,20.0000,ALL,65,7,1982;1986;1987;1988;1989;2000;2004,31,7,1176.4613,181.4232,0.0000
X4eq_sc2.2,20.0000,20.0000,25.0000,10M,65,7,1986;1987;1988;1989;1990;2000;2004,49,7,989.0224,180.2771,0.0000
X4eq_sc2.2,20.0000,20.0000,25.0000,ALL,47,4,1988;1990;2000;2004,31,4,2354.9622,29.1546,0.0000
X4eq_sc2.2,25.0000,15.0000,15.0000,10M,189,23,1975;1976;1977;1979;1980;1981;1983;1984;1985;1986;1987;1988;1989;1990;1993;1994;1996;1999;2000;2001;2002;2004;2005,49,23,320.1462,10.9186,0.0000
X4eq_sc2.2,25.0000,15.0000,15.0000,ALL,117,15,1977;1980;1983;1984;1985;1986;1987;1988;1989;1990;1999;2000;2002;2004;2005,25,15,432.2953,19.3988,0.0000
X4eq_sc2.2,25.0000,15.0000,20.0000,10M,99,11,1983;1984;1986;1987;1988;1989;1990;1992;1993;2000;2004,37,11,320.1462,29.9209,0.0000
X4eq_sc2.2,25.0000,15.0000,20.0000,ALL,73,8,1983;1986;1987;1988;1989;1990;2000;2004,25,8,970.8357,29.9209,0.0000
X4eq_sc2.2,25.0000,15.0000,25.0000,10M,75,8,1984;1986;1987;1988;1989;1990;2000;2004,40,8,1001.2183,109.6406,0.0000
X4eq_sc2.2,25.0000,15.0000,25.0000,ALL,58,7,1986;1987;1988;1989;1990;2000;2004,26,7,1099.1276,264.5452,0.0000
X4eq_sc2.2,30.0000,10.0000,15.0000,10M,132,13,1975;1977;1984;1986;1987;1988;1989;1990;1993;2000;2001;2004;2005,14,13,579.0410,51.6393,0.0000
X4eq_sc2.2,30.0000,10.0000,15.0000,ALL,132,13,1975;1977;1984;1986;1987;1988;1989;1990;1993;2000;2001;2004;2005,14,13,579.0410,51.6393,0.0000
X4eq_sc2.2,30.0000,10.0000,20.0000,10M,83,9,1984;1986;1987;1988;1989;1990;2000;2004;2005,14,9,678.3973,51.6393,0.0000
X4eq_sc2.2,30.0000,10.0000,20.0000,ALL,83,9,1984;1986;1987;1988;1989;1990;2000;2004;2005,14,9,678.3973,51.6393,0.0000
X4eq_sc2.2,30.0000,10.0000,25.0000,10M,65,7,1986;1987;1988;1989;1990;2000;2004,18,7,989.0224,180.2771,0.0000
X4eq_sc2.2,30.0000,10.0000,25.0000,ALL,65,7,1986;1987;1988;1989;1990;2000;2004,18,7,989.0224,180.2771,0.0000
X4eq_sc2.2,35.0000,5.0000,15.0000,10M,84,8,1984;1986;1987;1988;1989;1990;2000;2004,9,8,1410.6916,4.6330,0.0000
X4eq_sc2.2,35.0000,5.0000,15.0000,ALL,84,8,1984;1986;1987;1988;1989;1990;2000;2004,9,8,1410.6916,4.6330,0.0000
X4eq_sc2.2,35.0000,5.0000,20.0000,10M,78,8,1984;1986;1987;1988;1989;1990;2000;2004,9,8,1410.6916,9.0728,0.0000
X4eq_sc2.2,35.0000,5.0000,20.0000,ALL,78,8,1984;1986;1987;1988;1989;1990;2000;2004,9,8,1410.6916,9.0728,0.0000
X4eq_sc2.2,35.0000,5.0000,25.0000,10M,53,6,1986;1988;1989;1990;2000;2004,12,6,1556.0446,13.0535,0.0000
X4eq_sc2.2,35.0000,5.0000,25.0000,ALL,53,6,1986;1988;1989;1990;2000;2004,12,6,1556.0446,13.0535,0.0000
X4eq_sc2.2,40.0000,0.0000,,n/a,47,4,1988;1990;2000;2004,0,4,2354.9622,29.1546,0.0000
NASDAQ_1x,20.0000,20.0000,15.0000,10M,434,31,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,62,31,0.0000,0.0000,0.0000
NASDAQ_1x,20.0000,20.0000,15.0000,ALL,423,31,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,31,0.0000,0.0000,0.0000
NASDAQ_1x,20.0000,20.0000,20.0000,10M,424,31,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,62,31,0.0000,0.0000,0.0000
NASDAQ_1x,20.0000,20.0000,20.0000,ALL,418,31,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,31,0.0000,0.0000,0.0000
NASDAQ_1x,20.0000,20.0000,25.0000,10M,416,31,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,62,31,0.0000,0.0000,0.0000
NASDAQ_1x,20.0000,20.0000,25.0000,ALL,398,31,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,31,0.0000,0.0000,0.0000
NASDAQ_1x,25.0000,15.0000,15.0000,10M,432,31,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,62,31,0.0000,0.0000,0.0000
NASDAQ_1x,25.0000,15.0000,15.0000,ALL,428,31,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,31,0.0000,0.0000,0.0000
NASDAQ_1x,25.0000,15.0000,20.0000,10M,424,31,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,62,31,0.0000,0.0000,0.0000
NASDAQ_1x,25.0000,15.0000,20.0000,ALL,421,31,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,31,0.0000,0.0000,0.0000
NASDAQ_1x,25.0000,15.0000,25.0000,10M,418,31,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,62,31,0.0000,0.0000,0.0000
NASDAQ_1x,25.0000,15.0000,25.0000,ALL,415,31,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,31,0.0000,0.0000,0.0000
NASDAQ_1x,30.0000,10.0000,15.0000,10M,428,31,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,31,0.0000,0.0000,0.0000
NASDAQ_1x,30.0000,10.0000,15.0000,ALL,428,31,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,31,0.0000,0.0000,0.0000
NASDAQ_1x,30.0000,10.0000,20.0000,10M,420,31,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,31,0.0000,0.0000,0.0000
NASDAQ_1x,30.0000,10.0000,20.0000,ALL,420,31,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,31,0.0000,0.0000,0.0000
NASDAQ_1x,30.0000,10.0000,25.0000,10M,416,31,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,31,0.0000,0.0000,0.0000
NASDAQ_1x,30.0000,10.0000,25.0000,ALL,416,31,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,31,0.0000,0.0000,0.0000
NASDAQ_1x,35.0000,5.0000,15.0000,10M,416,31,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,31,0.0000,0.0000,0.0000
NASDAQ_1x,35.0000,5.0000,15.0000,ALL,416,31,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,31,0.0000,0.0000,0.0000
NASDAQ_1x,35.0000,5.0000,20.0000,10M,411,31,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,31,0.0000,0.0000,0.0000
NASDAQ_1x,35.0000,5.0000,20.0000,ALL,411,31,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,31,0.0000,0.0000,0.0000
NASDAQ_1x,35.0000,5.0000,25.0000,10M,409,31,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,31,0.0000,0.0000,0.0000
NASDAQ_1x,35.0000,5.0000,25.0000,ALL,409,31,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,31,0.0000,0.0000,0.0000
NASDAQ_1x,40.0000,0.0000,,n/a,398,31,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,0,31,0.0000,0.0000,0.0000
