strategy,run_M,reserve_M,topup_thr_M,topup_amt,labor_years_total,starts_with_labor,starts_with_labor_list,topup_events_total,ruin_total,terminal_median_M,terminal_min_M,min_total_floor_M
sc1.4,20.0000,20.0000,15.0000,10M,239,26,1975;1976;1977;1978;1980;1982;1983;1984;1985;1986;1987;1988;1989;1990;1993;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,60,26,126.7646,19.4483,0.0000
sc1.4,20.0000,20.0000,15.0000,ALL,94,11,1982;1985;1986;1987;1988;1989;1991;1997;2000;2003;2004,31,11,423.6991,20.4964,0.0000
sc1.4,20.0000,20.0000,20.0000,10M,141,17,1977;1978;1982;1983;1984;1985;1986;1987;1988;1989;1990;1998;2000;2002;2003;2004;2005,58,17,233.4330,26.8865,0.0000
sc1.4,20.0000,20.0000,20.0000,ALL,70,7,1982;1986;1987;1988;1989;2000;2004,31,7,845.6985,80.3820,0.0000
sc1.4,20.0000,20.0000,25.0000,10M,59,6,1986;1987;1988;1990;2000;2004,51,6,576.4041,57.1343,0.0000
sc1.4,20.0000,20.0000,25.0000,ALL,47,4,1988;1990;2000;2004,31,4,1552.5245,230.9068,0.0000
sc1.4,25.0000,15.0000,15.0000,10M,211,25,1975;1976;1977;1979;1980;1981;1983;1984;1985;1986;1987;1988;1989;1990;1993;1994;1996;1997;1999;2000;2001;2002;2003;2004;2005,55,25,150.1876,9.4084,0.0000
sc1.4,25.0000,15.0000,15.0000,ALL,124,17,1975;1980;1981;1983;1984;1985;1986;1987;1988;1989;1997;1999;2000;2002;2003;2004;2005,28,17,473.4848,0.3876,0.0000
sc1.4,25.0000,15.0000,20.0000,10M,123,18,1977;1979;1983;1984;1986;1987;1988;1989;1990;1992;1993;1996;2000;2001;2002;2003;2004;2005,50,18,198.5085,10.9799,0.0000
sc1.4,25.0000,15.0000,20.0000,ALL,66,8,1983;1986;1987;1988;1989;2000;2003;2004,28,8,474.6161,21.5471,0.0000
sc1.4,25.0000,15.0000,25.0000,10M,76,8,1986;1987;1988;1989;1990;2000;2003;2004,46,8,594.9552,1.7720,0.0000
sc1.4,25.0000,15.0000,25.0000,ALL,61,7,1986;1987;1988;1989;2000;2003;2004,28,7,857.1731,33.1406,0.0000
sc1.4,30.0000,10.0000,15.0000,10M,159,15,1975;1977;1979;1984;1986;1987;1988;1989;1990;1992;1993;2000;2001;2004;2005,18,15,315.5267,11.7709,0.0000
sc1.4,30.0000,10.0000,15.0000,ALL,159,15,1975;1977;1979;1984;1986;1987;1988;1989;1990;1992;1993;2000;2001;2004;2005,18,15,315.5267,11.7709,0.0000
sc1.4,30.0000,10.0000,20.0000,10M,75,8,1984;1986;1987;1988;1990;2000;2004;2005,18,8,327.0959,37.1295,0.0000
sc1.4,30.0000,10.0000,20.0000,ALL,75,8,1984;1986;1987;1988;1990;2000;2004;2005,18,8,327.0959,37.1295,0.0000
sc1.4,30.0000,10.0000,25.0000,10M,59,6,1986;1987;1988;1990;2000;2004,20,6,576.4041,57.1343,0.0000
sc1.4,30.0000,10.0000,25.0000,ALL,59,6,1986;1987;1988;1990;2000;2004,20,6,576.4041,57.1343,0.0000
sc1.4,35.0000,5.0000,15.0000,10M,102,11,1975;1977;1984;1986;1987;1988;1989;1990;2000;2001;2004,12,11,1098.7628,3.5452,0.0000
sc1.4,35.0000,5.0000,15.0000,ALL,102,11,1975;1977;1984;1986;1987;1988;1989;1990;2000;2001;2004,12,11,1098.7628,3.5452,0.0000
sc1.4,35.0000,5.0000,20.0000,10M,90,10,1977;1984;1986;1987;1988;1989;1990;2000;2001;2004,12,10,1092.1549,16.4772,0.0000
sc1.4,35.0000,5.0000,20.0000,ALL,90,10,1977;1984;1986;1987;1988;1989;1990;2000;2001;2004,12,10,1092.1549,16.4772,0.0000
sc1.4,35.0000,5.0000,25.0000,10M,57,6,1987;1988;1989;1990;2000;2004,13,6,1011.7427,32.1117,0.0000
sc1.4,35.0000,5.0000,25.0000,ALL,57,6,1987;1988;1989;1990;2000;2004,13,6,1011.7427,32.1117,0.0000
sc1.4,40.0000,0.0000,,n/a,47,4,1988;1990;2000;2004,0,4,1552.5245,230.9068,0.0000
sc1.6,20.0000,20.0000,15.0000,10M,143,16,1975;1983;1984;1985;1986;1987;1988;1989;1990;1993;1999;2000;2001;2003;2004;2005,51,16,144.1936,39.9199,0.0000
