candidate,roll5_min,roll5_p10,roll5_p25,roll5_median,roll5_fracpos,roll5_fracgt10,roll10_min,roll10_p25,roll10_median,roll10_fracpos,CAGR_IS_at,CAGR_OOS_at,Sharpe_OOS,MaxDD,Worst10Y_star_at,P10_5Y_at,Worst5Y_at,Trades_yr,WFA_CI95_lo
V7_TQQQ,0.003992,0.051536,0.116231,0.182781,1.000000,0.786212,0.100822,0.130007,0.159416,1.000000,0.162746,0.168044,0.877280,-0.344655,0.100822,0.051536,0.003992,25.201914,0.154828
P09_TQQQ,-0.005854,0.065612,0.142657,0.205525,0.999160,0.841716,0.114454,0.150834,0.187333,1.000000,0.188385,0.175148,0.901306,-0.351847,0.114454,0.065612,-0.005854,29.201306,0.179435
LU1_cfd,-0.001920,0.068163,0.145473,0.211910,0.999832,0.844319,0.122717,0.157317,0.195411,1.000000,0.193915,0.180490,0.900235,-0.349546,0.122717,0.068163,-0.001920,35.229099,0.185639
vz065_l5,-0.075549,0.024159,0.099980,0.185120,0.954236,0.749937,0.065525,0.128108,0.159898,1.000000,0.168407,0.208486,0.769055,-0.590818,0.065525,0.024159,-0.075549,84.905764,0.162700
