scale,gold_w,bond_w,CAGR_OOS,CAGR_IS,MaxDD,Sharpe,feasible
1.600000,0.380000,0.100000,0.215032,0.193897,-0.320230,1.154639,1
1.600000,0.380000,0.140000,0.204300,0.183830,-0.311998,1.164326,1
1.600000,0.440000,0.000000,0.235100,0.204239,-0.340891,1.140183,1
1.600000,0.440000,0.050000,0.221799,0.191778,-0.330818,1.151382,1
1.600000,0.440000,0.070000,0.216395,0.186752,-0.326758,1.155826,1
1.600000,0.440000,0.100000,0.208202,0.179171,-0.320636,1.162337,1
1.800000,0.000000,0.000000,0.278068,0.328989,-0.569995,1.040265,1
1.800000,0.000000,0.050000,0.268802,0.317371,-0.546290,1.046500,1
1.800000,0.000000,0.070000,0.264941,0.312633,-0.536526,1.049122,1
1.800000,0.000000,0.100000,0.258989,0.305433,-0.521572,1.053203,1
1.800000,0.000000,0.140000,0.250758,0.295663,-0.501053,1.058928,1
1.800000,0.100000,0.000000,0.276016,0.306711,-0.527766,1.058376,1
1.800000,0.100000,0.050000,0.265556,0.294500,-0.502316,1.066072,1
1.800000,0.100000,0.070000,0.261226,0.289534,-0.491844,1.069324,1
1.800000,0.100000,0.100000,0.254578,0.281998,-0.475816,1.074400,1
1.800000,0.100000,0.140000,0.245434,0.271796,-0.453842,1.081555,1
1.800000,0.180000,0.000000,0.272508,0.287916,-0.491932,1.074147,1
1.800000,0.180000,0.050000,0.261122,0.275271,-0.465050,1.083167,1
1.800000,0.180000,0.070000,0.256428,0.270137,-0.453996,1.086988,1
1.800000,0.180000,0.100000,0.249241,0.262357,-0.437088,1.092961,1
1.800000,0.180000,0.140000,0.239394,0.251841,-0.413926,1.101393,1
1.800000,0.240000,0.000000,0.268803,0.273291,-0.463845,1.086592,1
1.800000,0.240000,0.050000,0.256741,0.260344,-0.435870,1.096653,1
1.800000,0.240000,0.070000,0.251782,0.255093,-0.424373,1.100916,1
1.800000,0.240000,0.100000,0.244204,0.247144,-0.406794,1.107577,1
1.800000,0.240000,0.140000,0.233845,0.236410,-0.382727,1.116970,1
1.800000,0.280000,0.000000,0.265828,0.263304,-0.444539,1.095075,1
1.800000,0.280000,0.050000,0.253325,0.250166,-0.415826,1.105815,1
1.800000,0.280000,0.070000,0.248194,0.244842,-0.404031,1.110361,1
1.800000,0.280000,0.100000,0.240360,0.236786,-0.386001,1.117455,1
1.800000,0.280000,0.140000,0.229670,0.225916,-0.361357,1.127429,1
1.800000,0.320000,0.000000,0.262454,0.253135,-0.424765,1.103589,1
1.800000,0.320000,0.050000,0.249519,0.239815,-0.395310,1.114957,1
1.800000,0.320000,0.070000,0.244218,0.234422,-0.383214,1.119756,1
1.800000,0.320000,0.100000,0.236135,0.226264,-0.364730,1.127222,1
1.800000,0.320000,0.140000,0.225119,0.215266,-0.341086,1.137659,1
1.800000,0.380000,0.000000,0.256653,0.237558,-0.394226,1.116069,1
1.800000,0.380000,0.050000,0.243086,0.223982,-0.363647,1.128154,1
1.800000,0.380000,0.070000,0.237538,0.218490,-0.351097,1.133207,1
1.800000,0.380000,0.100000,0.229091,0.210190,-0.332346,1.140995,1
1.800000,0.380000,0.140000,0.217603,0.199012,-0.321510,1.151683,1
1.800000,0.440000,0.000000,0.249981,0.221614,-0.362632,1.127446,1
1.800000,0.440000,0.050000,0.235802,0.207802,-0.340653,1.139690,1
1.800000,0.440000,0.070000,0.230016,0.202220,-0.336251,1.144697,1
1.800000,0.440000,0.100000,0.221219,0.193790,-0.329609,1.152243,1
2.200000,0.000000,0.000000,0.301118,0.376801,-0.663299,1.016705,1
2.200000,0.000000,0.050000,0.293482,0.364401,-0.634697,1.022202,1
2.200000,0.000000,0.070000,0.290172,0.359284,-0.624708,1.024527,1
2.200000,0.000000,0.100000,0.284939,0.351446,-0.609318,1.028161,1
2.200000,0.000000,0.140000,0.277467,0.340698,-0.588024,1.033296,1
2.200000,0.100000,0.000000,0.302382,0.352768,-0.614379,1.032835,1
2.200000,0.100000,0.050000,0.292852,0.339315,-0.587945,1.039705,1
2.200000,0.100000,0.070000,0.288795,0.333790,-0.576980,1.042628,1
2.200000,0.100000,0.100000,0.282452,0.325354,-0.560104,1.047216,1
2.200000,0.100000,0.140000,0.273526,0.313837,-0.536788,1.053738,1
