label,fbar,window,brake_maxdd,twin_maxdd,dd_edge_pp,brake_shallower,n_windows,n_shallower,binom_p_onesided,mean_dd_edge_pp,crisis_verdict
A7_REPRODUCE,0.021221988623314446,dotcom_2000,-0.06128818528270874,-0.06128818528270874,0.0,False,5,1,0.96875,-0.068038870138738,TIMING_WEAK
A7_REPRODUCE,0.021221988623314446,gfc_2008,-0.09559136803536195,-0.09559136803536217,2.220446049250313e-14,True,5,1,0.96875,-0.068038870138738,TIMING_WEAK
A7_REPRODUCE,0.021221988623314446,covid_2020,-0.13197319790579742,-0.13197319790579742,0.0,False,5,1,0.96875,-0.068038870138738,TIMING_WEAK
A7_REPRODUCE,0.021221988623314446,bear_2022,-0.10498504916011064,-0.10498504916011064,0.0,False,5,1,0.96875,-0.068038870138738,TIMING_WEAK
A7_REPRODUCE,0.021221988623314446,tri_2015,-0.24033001524310105,-0.23692807173616393,-0.3401943506937122,False,5,1,0.96875,-0.068038870138738,TIMING_WEAK
B1_DOWNSIDE_DEV,0.013422869758223521,dotcom_2000,-0.06128818528270874,-0.06128818528270874,0.0,False,5,0,1.0,-0.04301781254708148,TIMING_WEAK
B1_DOWNSIDE_DEV,0.013422869758223521,gfc_2008,-0.09559136803536195,-0.09559136803536195,0.0,False,5,0,1.0,-0.04301781254708148,TIMING_WEAK
B1_DOWNSIDE_DEV,0.013422869758223521,covid_2020,-0.13197319790579742,-0.13197319790579742,0.0,False,5,0,1.0,-0.04301781254708148,TIMING_WEAK
B1_DOWNSIDE_DEV,0.013422869758223521,bear_2022,-0.10498504916011064,-0.10498504916011064,0.0,False,5,0,1.0,-0.04301781254708148,TIMING_WEAK
B1_DOWNSIDE_DEV,0.013422869758223521,tri_2015,-0.24033001524310105,-0.23817912461574697,-0.2150890627354074,False,5,0,1.0,-0.04301781254708148,TIMING_WEAK
B2_DD_THROTTLE,0.03723404255319149,dotcom_2000,-0.06128818528270874,-0.06128818528270874,0.0,False,5,2,0.8125,0.15402691743459096,TIMING_WEAK
B2_DD_THROTTLE,0.03723404255319149,gfc_2008,-0.09559136803536195,-0.09559136803536206,1.1102230246251565e-14,True,5,2,0.8125,0.15402691743459096,TIMING_WEAK
B2_DD_THROTTLE,0.03723404255319149,covid_2020,-0.13197319790579742,-0.13197319790579742,0.0,False,5,2,0.8125,0.15402691743459096,TIMING_WEAK
B2_DD_THROTTLE,0.03723404255319149,bear_2022,-0.10498504916011064,-0.10498504916011064,0.0,False,5,2,0.8125,0.15402691743459096,TIMING_WEAK
