glide,single,reserve_mode,run_M,res_M,bucket_y,draw,thr_M,labor,starts,saved88,ruin,termMed,floor
none,sc2.2,bond,22,18.000,0,reserve_first_on_down,22.000,15,2,0,2,5768.715,0.000
none,sc2.2,bond,22,18.000,0,reserve_first_on_down,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,bond,22,10.800,1,run_first,20.000,17,3,0,3,5432.220,0.000
none,sc2.2,bond,22,10.800,1,run_first,22.000,15,2,0,2,8129.818,0.000
none,sc2.2,bond,22,10.800,1,run_first,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,bond,22,10.800,1,reserve_first_on_down,20.000,20,3,0,3,6200.171,0.000
none,sc2.2,bond,22,10.800,1,reserve_first_on_down,22.000,15,2,0,2,8274.343,0.000
none,sc2.2,bond,22,10.800,1,reserve_first_on_down,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,bond,22,3.600,2,run_first,20.000,23,2,0,2,8354.669,0.000
none,sc2.2,bond,22,3.600,2,run_first,22.000,23,2,0,2,8354.669,0.000
none,sc2.2,bond,22,3.600,2,run_first,25.000,31,3,0,3,11955.673,0.000
none,sc2.2,bond,22,3.600,2,reserve_first_on_down,20.000,23,2,0,2,8354.669,0.000
none,sc2.2,bond,22,3.600,2,reserve_first_on_down,22.000,23,2,0,2,8354.669,0.000
none,sc2.2,bond,22,3.600,2,reserve_first_on_down,25.000,31,3,0,3,11955.673,0.000
none,sc2.2,bond,19,21.000,0,run_first,20.000,34,3,0,3,12737.073,0.000
none,sc2.2,bond,19,21.000,0,run_first,22.000,34,3,0,3,12737.073,0.000
none,sc2.2,bond,19,21.000,0,run_first,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,bond,19,21.000,0,reserve_first_on_down,20.000,34,3,0,3,12737.073,0.000
none,sc2.2,bond,19,21.000,0,reserve_first_on_down,22.000,34,3,0,3,12737.073,0.000
none,sc2.2,bond,19,21.000,0,reserve_first_on_down,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,bond,19,13.800,1,run_first,20.000,34,3,0,3,12737.073,0.000
none,sc2.2,bond,19,13.800,1,run_first,22.000,34,3,0,3,12737.073,0.000
none,sc2.2,bond,19,13.800,1,run_first,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,bond,19,13.800,1,reserve_first_on_down,20.000,34,3,0,3,12737.073,0.000
none,sc2.2,bond,19,13.800,1,reserve_first_on_down,22.000,34,3,0,3,12737.073,0.000
none,sc2.2,bond,19,13.800,1,reserve_first_on_down,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,bond,19,6.600,2,run_first,20.000,31,3,0,3,11955.673,0.000
none,sc2.2,bond,19,6.600,2,run_first,22.000,31,3,0,3,11955.673,0.000
none,sc2.2,bond,19,6.600,2,run_first,25.000,31,3,0,3,11955.673,0.000
none,sc2.2,bond,19,6.600,2,reserve_first_on_down,20.000,31,3,0,3,11955.673,0.000
none,sc2.2,bond,19,6.600,2,reserve_first_on_down,22.000,31,3,0,3,11955.673,0.000
none,sc2.2,bond,19,6.600,2,reserve_first_on_down,25.000,31,3,0,3,11955.673,0.000
none,sc2.2,sofr,20,20.000,0,run_first,20.000,11,1,0,1,7806.373,0.000
none,sc2.2,sofr,20,20.000,0,run_first,22.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,20,20.000,0,run_first,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,20,20.000,0,reserve_first_on_down,20.000,20,2,0,2,6187.425,0.000
none,sc2.2,sofr,20,20.000,0,reserve_first_on_down,22.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,20,20.000,0,reserve_first_on_down,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,20,12.800,1,run_first,20.000,20,2,0,2,6416.194,0.000
none,sc2.2,sofr,20,12.800,1,run_first,22.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,20,12.800,1,run_first,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,20,12.800,1,reserve_first_on_down,20.000,20,2,0,2,9095.739,0.000
none,sc2.2,sofr,20,12.800,1,reserve_first_on_down,22.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,20,12.800,1,reserve_first_on_down,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,20,5.600,2,run_first,20.000,22,2,0,2,9126.087,0.000
none,sc2.2,sofr,20,5.600,2,run_first,22.000,31,3,0,3,11955.673,0.000
none,sc2.2,sofr,20,5.600,2,run_first,25.000,31,3,0,3,11955.673,0.000
none,sc2.2,sofr,20,5.600,2,reserve_first_on_down,20.000,22,2,0,2,9225.790,0.000
none,sc2.2,sofr,20,5.600,2,reserve_first_on_down,22.000,31,3,0,3,11955.673,0.000
none,sc2.2,sofr,20,5.600,2,reserve_first_on_down,25.000,31,3,0,3,11955.673,0.000
