label,field,report,rederived,diff
P09_STR_S1.4,CAGR_IS,27.49,27.487653438236805,-0.0023465617631934776
P09_STR_S1.4,CAGR_OOS,24.34,24.341439208769895,0.0014392087698951173
P09_STR_S1.4,Sharpe_FULL,1.074,1.0736387522695279,-0.0003612477304721917
P09_STR_S1.4,MaxDD,-46.48,-46.478105729224396,0.0018942707756011146
P09_STR_S1.4,Worst1D,-19.45,-19.44645109167835,0.003548908321647559
P09_STR_S1.4,Worst10Y,17.87,17.86820948612956,-0.0017905138704392698
P09_STR_S1.4,Worst5Y,0.22,0.2233982688616242,0.0033982688616241985
P09_STR_S1.4,P10_5Y,9.05,9.054535385188192,0.004535385188191299
P09_STR_S1.4,Trades_yr,35.2,35.22909864074721,0.029098640747207583
P09_STR_S1.6,CAGR_IS,30.26,30.264864162326194,0.004864162326192911
P09_STR_S1.6,CAGR_OOS,26.21,26.21271841955305,0.0027184195530480793
P09_STR_S1.6,Sharpe_FULL,1.055,1.0554200146669859,0.00042001466698593504
P09_STR_S1.6,MaxDD,-51.95,-51.95206983694407,-0.0020698369440665942
P09_STR_S1.6,Worst1D,-22.41,-22.41231147265601,-0.002311472656010949
P09_STR_S1.6,Worst10Y,19.36,19.36125622529592,0.0012562252959220643
P09_STR_S1.6,Worst5Y,-0.31,-0.311498254238722,-0.0014982542387220188
P09_STR_S1.6,P10_5Y,9.31,9.308976740342295,-0.0010232596577051112
P09_STR_S1.6,Trades_yr,35.2,35.22909864074721,0.029098640747207583
B1_STR_S2.0,CAGR_OOS,24.07,24.067776569804984,-0.0022234301950163626
B1_STR_S2.0,MaxDD,-47.08,-47.07656676371836,0.003433236281637164
B1_STR_S1.4,CAGR_IS,24.69,24.68785388374304,-0.0021461162569629266
B1_STR_S1.4,CAGR_OOS,20.75,20.745915856117573,-0.004084143882426616
B1_STR_S1.4,Sharpe_FULL,1.085,1.0845141488570955,-0.00048585114290444764
B1_STR_S1.4,MaxDD,-39.19,-39.194731900471005,-0.004731900471007577
B1_STR_S1.4,Worst1D,-15.03,-15.027534212757887,0.0024657872421123272
A7,MaxDD,-28.25,-28.24617555071811,0.0038244492818897413
A7,Worst1D,-10.27,-10.273289138637976,-0.0032891386379763077
A0_P09C1,MaxDD,-34.99,-34.987921443897804,0.0020785561021980925
A0_P09C1,Worst1D,-13.82,-13.818362426119146,0.0016375738808545037
