kind,scale,gold_w,bond_w,cagr_a,mdd_a,cagr_b,mdd_b,w5y_b,daily_mdd,max_L,liq,gap_a,gap_b,v7_p_a,v7_p_b,v7_p_b_sc26
frontier,1.4,0.0,0.0,0.2849509498312057,-0.223885860657139,0.28380049923504735,-0.2706223385194476,0.04274279507506806,-0.46478105729224395,6.719999999999999,-0.12356829057817528,,,,,
frontier,1.6,0.0,0.0,0.3151551606665006,-0.25095463441954746,0.31348528014247723,-0.30334175561410304,0.0408040102252889,-0.5195206983694407,7.6800000000000015,-0.10441549972542556,,,,,
frontier,1.8,0.0,0.0,0.3440299418604382,-0.27787543222251987,0.34165656091139396,-0.3358823065665658,0.03688974192393912,-0.5699946056366663,8.64,-0.08951888461773141,,,,,
frontier,2.0,0.0,0.0,0.37141631384408713,-0.30455991489666334,0.3681804229826555,-0.3681372112857044,0.03100378953466576,-0.6163420172677025,9.600000000000001,-0.07760159253157604,,,,,
frontier,2.2,0.0,0.0,0.3971582381523153,-0.33092476074964206,0.3929048409228486,-0.4000057545626037,0.023169075160024866,-0.6632990463554331,10.560000000000002,-0.06785108082472166,,,,,
frontier,2.4,0.0,0.0,0.42109952217759483,-0.3568919967163622,0.41568441433653125,-0.43139368634879993,0.013422896539371898,-0.7077179612124196,11.52,-0.05972565440234305,,,,,
frontier,2.6,0.0,0.0,0.44308988602380595,-0.3945383000159155,0.4362095938969939,-0.4750006960587939,0.0004677913960371427,-0.7479708755875836,12.48,-0.05285029358340726,,,,,
frontier,2.85,0.0,0.0,0.46762094617989636,-0.4495538635025048,0.45846212329437774,-0.5369847787861068,-0.01940385051835869,-0.7928054991463609,13.680000000000001,-0.04561307166873801,,,,,
frontier,3.0,0.0,0.0,0.4806625088533081,-0.48225815054879884,0.46995088835648824,-0.5732414661989346,-0.03290689601096297,-0.8174357864703417,14.400000000000002,-0.04184971627311001,,,,,
blend,2.2,0.15,0.0,0.35708284671543056,-0.295984533311223,0.3543619352880585,-0.35777170713311124,0.03503564225044453,-0.5906539695349445,8.976,-0.08505786618975882,-0.005532524915594139,-0.005294723484580988,,,
blend,2.2,0.15,0.07,0.3350579052961309,-0.2742888077101737,0.3329522072551965,-0.33154696931001304,0.04047146193830331,-0.5515129620595352,8.236800000000002,-0.09535252410046477,-0.005125085267515761,-0.004951128848765307,,,
blend,2.2,0.15,0.15,0.3088442198539276,-0.24927029118777755,0.3072982623911462,-0.3013058034422549,0.045200529963127734,-0.5032689512830706,7.392000000000001,-0.10963898813981185,-0.004431496308070493,-0.004339894558870738,,,
blend,2.2,0.28,0.0,0.31854357802039734,-0.26611440012820964,0.3168497597341089,-0.32166614302938423,0.04088082491782896,-0.5239860057884079,7.603200000000001,-0.10576973746248869,-0.012871684630920643,-0.012499463939884381,,,
blend,2.2,0.28,0.07,0.29500161749723697,-0.24443679534588236,0.29371479055844496,-0.2954633087705576,0.04412919960927164,-0.4801466565694096,6.864000000000001,-0.12035383616932216,-0.01288072810569768,-0.012622747074900575,,,
blend,2.2,0.28,0.15,0.2672270081209447,-0.21953523856095902,0.2662816446102947,-0.2653635181445171,0.046354271603111785,-0.42643893767685226,6.0192000000000005,-0.14140757264835993,-0.017723941710261037,-0.017518854624752667,,,
blend,2.2,0.4,0.0,0.28026570352360003,-0.23910353781741556,0.27921806558608786,-0.2890167264806184,0.04260872053012066,-0.45587011646838116,6.336000000000001,-0.13285449220375084,-0.021665621311173944,-0.02127079258194342,,,
blend,2.2,0.4,0.07,0.25555513986674083,-0.2175681276708743,0.25476544312131066,-0.26298577018116076,0.043847218371832586,-0.4075055340719089,5.596800000000002,-0.15431788275343022,-0.029395809964464892,-0.02903505611373669,,,
blend,2.6,0.15,0.0,0.40181268075696797,-0.3402884603518874,0.397432634245692,-0.41132413919000044,0.022732990259527686,-0.6684010298282137,10.608,-0.06740988119997715,-0.003978705412797601,-0.0036864456815076108,,,
blend,2.6,0.15,0.07,0.37821953969980227,-0.31541588516936947,0.37477750251410824,-0.38125938011527793,0.03175945574251893,-0.6244397315157906,9.7344,-0.07612074558595913,-0.0037962506825026665,-0.003583429304648611,,,
blend,2.6,0.15,0.15,0.34954827796414745,-0.2865597157088866,0.3470301838489116,-0.3463794460399934,0.04005925408317035,-0.5746816821973082,8.735999999999999,-0.08820929208079127,-0.003394372487023567,-0.0032583876655328803,,,
blend,2.6,0.28,0.0,0.3600257808931209,-0.30374982134866757,0.3572353171702405,-0.36715800960796274,0.03486312372394407,-0.5946498783874505,8.9856,-0.08493531073844088,-0.010559131288888579,-0.010139888420935439,,,
blend,2.6,0.28,0.07,0.33393760191255106,-0.2786602775491295,0.33187667695243506,-0.33683098942237344,0.0408716360808945,-0.5488725394814882,8.111999999999998,-0.0972757019519154,-0.010897829277646098,-0.010560005104437942,,,
blend,2.6,0.28,0.15,0.3026925135777656,-0.2497031611519689,0.3012682257369623,-0.30182903560010754,0.04568169730111804,-0.4918465314440491,7.1136,-0.11509040204956272,-0.011066212851984614,-0.01084463502347538,,,
blend,2.6,0.4,0.0,0.3171762847066846,-0.2703285616612845,0.3155232786378006,-0.32676001651309616,0.040993431193758534,-0.5216037008860024,7.4879999999999995,-0.10785318013489348,-0.018759014574826094,-0.01823585623654772,,,
blend,2.6,0.4,0.07,0.2891575765527188,-0.24523529618562534,0.28797446565366847,-0.2964284977464344,0.0441860785740269,-0.46979646745507453,6.614400000000001,-0.12601451060000685,-0.0196157620418988,-0.019238742325523472,,,
blend,2.85,0.15,0.0,0.42715856709153655,-0.36741921220478013,0.42151562313102264,-0.44411847238580937,0.012233581703785967,-0.7147821884387705,11.628,-0.05889550247683686,-9.022549478199249e-05,-0.00015816126355749915,,,
blend,2.85,0.15,0.07,0.4031718387219705,-0.3407351997879591,0.3987216293412481,-0.4118641360908486,0.02390591094552552,-0.6677793644069876,10.6704,-0.06684225595176779,-0.003031432476220619,-0.002789349584898626,,,
blend,2.85,0.15,0.15,0.37352352051042526,-0.3096399832837621,0.370232980642176,-0.3742777508567171,0.034882466066722406,-0.6151654342613246,9.576,-0.07787040363126378,-0.0028528350737331287,-0.0027114274844776687,,,
blend,2.85,0.28,0.0,0.3843526311138519,-0.327010446906028,0.3807243532326239,-0.3952743223812739,0.029040608360670017,-0.6345543644227708,9.8496,-0.07488361363473361,-0.008983776588824044,-0.008509723523489998,,,
blend,2.85,0.28,0.07,0.3570957555844685,-0.2999023187037486,0.3543849362989371,-0.36250733555390857,0.037145426634888956,-0.5882009883910069,8.892,-0.08614151439088578,-0.009540452029101865,-0.009165925732019464,,,
blend,2.85,0.28,0.15,0.32406674124397217,-0.26850544769365614,0.32223802822270264,-0.3245563250255725,0.0439622225921561,-0.52981421296002,7.7976,-0.10239352149751142,-0.009913117589890663,-0.009613308233794915,,,
blend,2.85,0.4,0.0,0.33931778119959266,-0.28975860468022163,0.33714003307660545,-0.3502461074340888,0.03854971219676773,-0.5595609668962871,8.208,-0.09579114361044475,-0.01690789948203736,-0.01632817249307167,,,
blend,2.85,0.4,0.07,0.30952166476836096,-0.2625071550146324,0.30800061901973064,-0.31730588059305254,0.04328328356367939,-0.506200939256431,7.250400000000001,-0.11235937491195166,-0.01802452928663395,-0.017573801409551004,,,
blend,3.1,0.15,0.0,0.4502810869617444,-0.4067721245963931,0.44297812923485647,-0.48959363130030475,-0.0020424291076821532,-0.7565249364412037,12.648000000000001,-0.05175441064452564,0.0017362229698238973,0.0015296142121854484,,,
blend,3.1,0.15,0.07,0.42639488911107915,-0.3656726384541211,0.4207819084166404,-0.4420072989896303,0.014237704367590087,-0.7106798585771394,11.606400000000002,-0.059060296903736334,0.00016632398124211134,0.00010182235927774785,,,
blend,3.1,0.15,0.15,0.3962433840089812,-0.33248005037870265,0.3920774182288387,-0.40188571301668397,0.028209820354602844,-0.6526090902538486,10.416,-0.06919907783488588,-0.0023488007828083024,-0.002191789480299078,,,
blend,3.1,0.28,0.0,0.407309763445717,-0.34999997864046173,0.40273143276425993,-0.4230629501274771,0.021652028885865926,-0.6758436869028113,10.713600000000001,-0.0664531579993662,-0.007435452772092066,-0.0069070076407520276,,,
blend,3.1,0.28,0.07,0.3792439711104425,-0.3209761934712818,0.37579115320529755,-0.3879804103363734,0.032124617001507705,-0.624854524224398,9.672,-0.07680316353324804,-0.008200754310451641,-0.007784123013552691,,,
blend,3.1,0.28,0.15,0.34476030098865684,-0.2872281454001351,0.34239810558995143,-0.34718741133825093,0.04124055767926604,-0.5656109944651804,8.4816,-0.0917445249054684,-0.008868361044338247,-0.008554872169557304,,,
blend,3.1,0.4,0.0,0.36066238333180345,-0.3090789353244393,0.35786992131577855,-0.3735995833729473,0.035002526599242856,-0.5951963163199316,8.928,-0.08567459684800388,-0.015166180158947273,-0.014548347408879725,,,
blend,3.1,0.4,0.07,0.3293374902292625,-0.27973180584084467,0.32740457940802314,-0.33812620070209687,0.04151838098018934,-0.5407124598851737,7.886400000000002,-0.10090668046390538,-0.016597653956920533,-0.01609718114266856,,,
v7,3.1,0.15,0.0,,,,,,,,,,,0.9979000000000001,0.9945,0.9957
