start_year,strategy,elapsed_year,calendar_year,asset_yen
1975,P09_C1_sc2.4,12,1986,907816057
1975,P09_C1_sc2.4,13,1987,1828890921
1975,P09_C1_sc2.4,14,1988,1441643268
1975,P09_C1_sc2.4,15,1989,2020125024
1975,P09_C1_sc2.4,16,1990,1438962066
1975,P09_C1_sc2.4,17,1991,2189288275
1975,P09_C1_sc2.4,18,1992,3537232174
1975,P09_C1_sc2.4,19,1993,3526796855
1975,P09_C1_sc2.4,20,1994,3133572494
1975,NASDAQ_1x_BH,1,1975,31154272
1975,NASDAQ_1x_BH,2,1976,31801968
1975,NASDAQ_1x_BH,3,1977,28426227
1975,NASDAQ_1x_BH,4,1978,25811664
1975,NASDAQ_1x_BH,5,1979,25650889
1975,NASDAQ_1x_BH,6,1980,26438407
1975,NASDAQ_1x_BH,7,1981,20868653
1975,NASDAQ_1x_BH,8,1982,18320124
1975,NASDAQ_1x_BH,9,1983,15510227
1975,NASDAQ_1x_BH,10,1984,9527111
1975,NASDAQ_1x_BH,11,1985,5706321
1975,NASDAQ_1x_BH,12,1986,749305
1975,NASDAQ_1x_BH,13,1987,0
1975,NASDAQ_1x_BH,14,1988,0
1975,NASDAQ_1x_BH,15,1989,0
1975,NASDAQ_1x_BH,16,1990,0
1975,NASDAQ_1x_BH,17,1991,0
1975,NASDAQ_1x_BH,18,1992,0
1975,NASDAQ_1x_BH,19,1993,0
1975,NASDAQ_1x_BH,20,1994,0
1980,P09_C1_sc1.0,1,1980,30920181
1980,P09_C1_sc1.0,2,1981,24879187
1980,P09_C1_sc1.0,3,1982,33701322
1980,P09_C1_sc1.0,4,1983,40061758
1980,P09_C1_sc1.0,5,1984,34219300
1980,P09_C1_sc1.0,6,1985,42478521
1980,P09_C1_sc1.0,7,1986,47822837
1980,P09_C1_sc1.0,8,1987,60747168
1980,P09_C1_sc1.0,9,1988,50631801
1980,P09_C1_sc1.0,10,1989,56869831
1980,P09_C1_sc1.0,11,1990,45339344
1980,P09_C1_sc1.0,12,1991,51356384
1980,P09_C1_sc1.0,13,1992,58979784
1980,P09_C1_sc1.0,14,1993,59458188
1980,P09_C1_sc1.0,15,1994,53077886
1980,P09_C1_sc1.0,16,1995,74303381
1980,P09_C1_sc1.0,17,1996,78563552
1980,P09_C1_sc1.0,18,1997,89164567
1980,P09_C1_sc1.0,19,1998,122142819
1980,P09_C1_sc1.0,20,1999,200260592
1980,P09_C1_sc1.4,1,1980,33225773
1980,P09_C1_sc1.4,2,1981,27324918
1980,P09_C1_sc1.4,3,1982,43054837
1980,P09_C1_sc1.4,4,1983,60549717
1980,P09_C1_sc1.4,5,1984,54282669
1980,P09_C1_sc1.4,6,1985,78367743
1980,P09_C1_sc1.4,7,1986,97126066
1980,P09_C1_sc1.4,8,1987,145016292
1980,P09_C1_sc1.4,9,1988,122411035
1980,P09_C1_sc1.4,10,1989,152387327
1980,P09_C1_sc1.4,11,1990,121917735
1980,P09_C1_sc1.4,12,1991,158663815
1980,P09_C1_sc1.4,13,1992,210918040
1980,P09_C1_sc1.4,14,1993,221694230
1980,P09_C1_sc1.4,15,1994,206450723
1980,P09_C1_sc1.4,16,1995,354591271
1980,P09_C1_sc1.4,17,1996,410940334
1980,P09_C1_sc1.4,18,1997,527077152
1980,P09_C1_sc1.4,19,1998,837361535
1980,P09_C1_sc1.4,20,1999,1726416964
1980,P09_C1_sc1.6,1,1980,34383289
1980,P09_C1_sc1.6,2,1981,28558998
1980,P09_C1_sc1.6,3,1982,48392155
1980,P09_C1_sc1.6,4,1983,73563452
1980,P09_C1_sc1.6,5,1984,67022512
1980,P09_C1_sc1.6,6,1985,102957926
1980,P09_C1_sc1.6,7,1986,131841071
1980,P09_C1_sc1.6,8,1987,210221814
1980,P09_C1_sc1.6,9,1988,175934198
1980,P09_C1_sc1.6,10,1989,225855308
1980,P09_C1_sc1.6,11,1990,177582763
1980,P09_C1_sc1.6,12,1991,240813507
1980,P09_C1_sc1.6,13,1992,335424186
1980,P09_C1_sc1.6,14,1993,351141619
1980,P09_C1_sc1.6,15,1994,325746041
1980,P09_C1_sc1.6,16,1995,601798302
1980,P09_C1_sc1.6,17,1996,712771901
1980,P09_C1_sc1.6,18,1997,949608631
1980,P09_C1_sc1.6,19,1998,1587145591
1980,P09_C1_sc1.6,20,1999,3593111726
1980,P09_C1_sc1.8,1,1980,35539686
1980,P09_C1_sc1.8,2,1981,29798407
1980,P09_C1_sc1.8,3,1982,54200355
1980,P09_C1_sc1.8,4,1983,88828323
1980,P09_C1_sc1.8,5,1984,81950061
1980,P09_C1_sc1.8,6,1985,133260099
1980,P09_C1_sc1.8,7,1986,175259431
1980,P09_C1_sc1.8,8,1987,296956134
1980,P09_C1_sc1.8,9,1988,245381665
1980,P09_C1_sc1.8,10,1989,323055160
1980,P09_C1_sc1.8,11,1990,248434587
1980,P09_C1_sc1.8,12,1991,348482328
1980,P09_C1_sc1.8,13,1992,505625793
1980,P09_C1_sc1.8,14,1993,524588024
1980,P09_C1_sc1.8,15,1994,482661812
1980,P09_C1_sc1.8,16,1995,954534490
1980,P09_C1_sc1.8,17,1996,1150295001
1980,P09_C1_sc1.8,18,1997,1586512878
1980,P09_C1_sc1.8,19,1998,2777167858
1980,P09_C1_sc1.8,20,1999,6864458036
1980,P09_C1_sc2.0,1,1980,36691369
1980,P09_C1_sc2.0,2,1981,31039924
1980,P09_C1_sc2.0,3,1982,60499611
1980,P09_C1_sc2.0,4,1983,106661299
1980,P09_C1_sc2.0,5,1984,99363111
1980,P09_C1_sc2.0,6,1985,170360520
1980,P09_C1_sc2.0,7,1986,229118547
1980,P09_C1_sc2.0,8,1987,411124587
1980,P09_C1_sc2.0,9,1988,334517921
1980,P09_C1_sc2.0,10,1989,449974852
1980,P09_C1_sc2.0,11,1990,337453183
1980,P09_C1_sc2.0,12,1991,487232414
1980,P09_C1_sc2.0,13,1992,733733089
1980,P09_C1_sc2.0,14,1993,752190021
1980,P09_C1_sc2.0,15,1994,684665489
1980,P09_C1_sc2.0,16,1995,1445379074
1980,P09_C1_sc2.0,17,1996,1767152414
1980,P09_C1_sc2.0,18,1997,2518087687
1980,P09_C1_sc2.0,19,1998,4601280002
1980,P09_C1_sc2.0,20,1999,12355116965
1980,P09_C1_sc2.2,1,1980,37834997
1980,P09_C1_sc2.2,2,1981,32279952
1980,P09_C1_sc2.2,3,1982,67306091
1980,P09_C1_sc2.2,4,1983,127391767
1980,P09_C1_sc2.2,5,1984,119575546
1980,P09_C1_sc2.2,6,1985,215510150
1980,P09_C1_sc2.2,7,1986,295430582
1980,P09_C1_sc2.2,8,1987,560029612
1980,P09_C1_sc2.2,9,1988,447881240
1980,P09_C1_sc2.2,10,1989,613949256
1980,P09_C1_sc2.2,11,1990,448201846
1980,P09_C1_sc2.2,12,1991,663643801
1980,P09_C1_sc2.2,13,1992,1034545976
1980,P09_C1_sc2.2,14,1993,1045718108
1980,P09_C1_sc2.2,15,1994,940037564
1980,P09_C1_sc2.2,16,1995,2114210998
1980,P09_C1_sc2.2,17,1996,2616943344
1980,P09_C1_sc2.2,18,1997,3846951162
1980,P09_C1_sc2.2,19,1998,7316753528
1980,P09_C1_sc2.2,20,1999,21238944395
1980,P09_C1_sc2.4,1,1980,38966351
1980,P09_C1_sc2.4,2,1981,33513978
1980,P09_C1_sc2.4,3,1982,74630269
1980,P09_C1_sc2.4,4,1983,151373550
1980,P09_C1_sc2.4,5,1984,142917955
1980,P09_C1_sc2.4,6,1985,270097623
1980,P09_C1_sc2.4,7,1986,376430778
1980,P09_C1_sc2.4,8,1987,752430543
1980,P09_C1_sc2.4,9,1988,590785446
1980,P09_C1_sc2.4,10,1989,823697758
1980,P09_C1_sc2.4,11,1990,584616340
1980,P09_C1_sc2.4,12,1991,884923868
1980,P09_C1_sc2.4,13,1992,1424946996
1980,P09_C1_sc2.4,14,1993,1417762014
1980,P09_C1_sc2.4,15,1994,1257026560
1980,P09_C1_sc2.4,16,1995,3007205776
1980,P09_C1_sc2.4,17,1996,3761524415
1980,P09_C1_sc2.4,18,1997,5697471980
1980,P09_C1_sc2.4,19,1998,11248504383
1980,P09_C1_sc2.4,20,1999,35126333467
1980,NASDAQ_1x_BH,1,1980,32006378
1980,NASDAQ_1x_BH,2,1981,26288648
1980,NASDAQ_1x_BH,3,1982,24577428
1980,NASDAQ_1x_BH,4,1983,22796360
1980,NASDAQ_1x_BH,5,1984,16131707
1980,NASDAQ_1x_BH,6,1985,14031263
1980,NASDAQ_1x_BH,7,1986,9580880
1980,NASDAQ_1x_BH,8,1987,4382048
1980,NASDAQ_1x_BH,9,1988,0
1980,NASDAQ_1x_BH,10,1989,0
1980,NASDAQ_1x_BH,11,1990,0
1980,NASDAQ_1x_BH,12,1991,0
1980,NASDAQ_1x_BH,13,1992,0
1980,NASDAQ_1x_BH,14,1993,0
1980,NASDAQ_1x_BH,15,1994,0
1980,NASDAQ_1x_BH,16,1995,0
1980,NASDAQ_1x_BH,17,1996,0
1980,NASDAQ_1x_BH,18,1997,0
1980,NASDAQ_1x_BH,19,1998,0
1980,NASDAQ_1x_BH,20,1999,0
1985,P09_C1_sc1.0,1,1985,36344575
1985,P09_C1_sc1.0,2,1986,39995881
1985,P09_C1_sc1.0,3,1987,49644088
1985,P09_C1_sc1.0,4,1988,40547540
1985,P09_C1_sc1.0,5,1989,44302056
1985,P09_C1_sc1.0,6,1990,34353871
1985,P09_C1_sc1.0,7,1991,37370678
1985,P09_C1_sc1.0,8,1992,41185603
1985,P09_C1_sc1.0,9,1993,39858077
1985,P09_C1_sc1.0,10,1994,33974560
1985,P09_C1_sc1.0,11,1995,44779585
1985,P09_C1_sc1.0,12,1996,45094849
1985,P09_C1_sc1.0,13,1997,48597978
1985,P09_C1_sc1.0,14,1998,63271043
1985,P09_C1_sc1.0,15,1999,99616807
1985,P09_C1_sc1.0,16,2000,88848443
1985,P09_C1_sc1.0,17,2001,86188583
1985,P09_C1_sc1.0,18,2002,93370902
1985,P09_C1_sc1.0,19,2003,154298943
1985,P09_C1_sc1.0,20,2004,156347216
1985,P09_C1_sc1.4,1,1985,39754210
1985,P09_C1_sc1.4,2,1986,46008499
1985,P09_C1_sc1.4,3,1987,64551767
1985,P09_C1_sc1.4,4,1988,52063895
1985,P09_C1_sc1.4,5,1989,61084046
1985,P09_C1_sc1.4,6,1990,46392319
1985,P09_C1_sc1.4,7,1991,56171660
1985,P09_C1_sc1.4,8,1992,70237917
1985,P09_C1_sc1.4,9,1993,70236050
1985,P09_C1_sc1.4,10,1994,62152230
1985,P09_C1_sc1.4,11,1995,100598705
1985,P09_C1_sc1.4,12,1996,112375128
1985,P09_C1_sc1.4,13,1997,139416983
1985,P09_C1_sc1.4,14,1998,215591911
1985,P09_C1_sc1.4,15,1999,436792707
1985,P09_C1_sc1.4,16,2000,387160330
1985,P09_C1_sc1.4,17,2001,392826102
1985,P09_C1_sc1.4,18,2002,446019281
1985,P09_C1_sc1.4,19,2003,926511220
1985,P09_C1_sc1.4,20,2004,952784193
1985,P09_C1_sc1.6,1,1985,41500224
1985,P09_C1_sc1.6,2,1986,49125464
1985,P09_C1_sc1.6,3,1987,73131953
1985,P09_C1_sc1.6,4,1988,58408705
1985,P09_C1_sc1.6,5,1989,70568907
1985,P09_C1_sc1.6,6,1990,52721883
1985,P09_C1_sc1.6,7,1991,66588770
1985,P09_C1_sc1.6,8,1992,87604665
1985,P09_C1_sc1.6,9,1993,87783936
1985,P09_C1_sc1.6,10,1994,77906088
1985,P09_C1_sc1.6,11,1995,136789716
1985,P09_C1_sc1.6,12,1996,157399923
1985,P09_C1_sc1.6,13,1997,204473054
1985,P09_C1_sc1.6,14,1998,335157617
1985,P09_C1_sc1.6,15,1999,749800280
1985,P09_C1_sc1.6,16,2000,651793573
1985,P09_C1_sc1.6,17,2001,664845036
1985,P09_C1_sc1.6,18,2002,758854565
1985,P09_C1_sc1.6,19,2003,1726140501
1985,P09_C1_sc1.6,20,2004,1763688653
1985,P09_C1_sc1.8,1,1985,43294345
1985,P09_C1_sc1.8,2,1986,52326836
1985,P09_C1_sc1.8,3,1987,82544585
1985,P09_C1_sc1.8,4,1988,65174241
1985,P09_C1_sc1.8,5,1989,80869724
1985,P09_C1_sc1.8,6,1990,59262248
1985,P09_C1_sc1.8,7,1991,77677682
1985,P09_C1_sc1.8,8,1992,106985739
1985,P09_C1_sc1.8,9,1993,106867241
1985,P09_C1_sc1.8,10,1994,94627714
1985,P09_C1_sc1.8,11,1995,179107356
1985,P09_C1_sc1.8,12,1996,210918954
1985,P09_C1_sc1.8,13,1997,285247969
1985,P09_C1_sc1.8,14,1998,492120969
1985,P09_C1_sc1.8,15,1999,1206211753
1985,P09_C1_sc1.8,16,2000,1025130636
1985,P09_C1_sc1.8,17,2001,1048601621
1985,P09_C1_sc1.8,18,2002,1200193699
1985,P09_C1_sc1.8,19,2003,2972669221
1985,P09_C1_sc1.8,20,2004,3009112521
1985,P09_C1_sc2.0,1,1985,45134301
1985,P09_C1_sc2.0,2,1986,55608876
1985,P09_C1_sc2.0,3,1987,92837266
1985,P09_C1_sc2.0,4,1988,72350064
1985,P09_C1_sc2.0,5,1989,91970218
1985,P09_C1_sc2.0,6,1990,65955136
1985,P09_C1_sc2.0,7,1991,89333835
1985,P09_C1_sc2.0,8,1992,128316811
1985,P09_C1_sc2.0,9,1993,127286212
1985,P09_C1_sc2.0,10,1994,112053356
1985,P09_C1_sc2.0,11,1995,227660052
1985,P09_C1_sc2.0,12,1996,273174094
1985,P09_C1_sc2.0,13,1997,383216501
1985,P09_C1_sc2.0,14,1998,692486790
1985,P09_C1_sc2.0,15,1999,1848011804
1985,P09_C1_sc2.0,16,2000,1532470252
1985,P09_C1_sc2.0,17,2001,1570100658
1985,P09_C1_sc2.0,18,2002,1799943493
1985,P09_C1_sc2.0,19,2003,4832482616
1985,P09_C1_sc2.0,20,2004,4836350951
1985,P09_C1_sc2.2,1,1985,47023592
1985,P09_C1_sc2.2,2,1986,58976037
1985,P09_C1_sc2.2,3,1987,104080564
1985,P09_C1_sc2.2,4,1988,79953078
1985,P09_C1_sc2.2,5,1989,103904574
1985,P09_C1_sc2.2,6,1990,72796234
1985,P09_C1_sc2.2,7,1991,101517065
1985,P09_C1_sc2.2,8,1992,151601428
1985,P09_C1_sc2.2,9,1993,148904247
1985,P09_C1_sc2.2,10,1994,129982746
1985,P09_C1_sc2.2,11,1995,282598162
1985,P09_C1_sc2.2,12,1996,344421996
1985,P09_C1_sc2.2,13,1997,499911243
1985,P09_C1_sc2.2,14,1998,942527228
1985,P09_C1_sc2.2,15,1999,2723298672
1985,P09_C1_sc2.2,16,2000,2200182392
1985,P09_C1_sc2.2,17,2001,2256448080
1985,P09_C1_sc2.2,18,2002,2589277119
1985,P09_C1_sc2.2,19,2003,7504631599
1985,P09_C1_sc2.2,20,2004,7413000254
1985,P09_C1_sc2.4,1,1985,48959837
1985,P09_C1_sc2.4,2,1986,62421667
1985,P09_C1_sc2.4,3,1987,116322660
1985,P09_C1_sc2.4,4,1988,87991865
1985,P09_C1_sc2.4,5,1989,116698381
1985,P09_C1_sc2.4,6,1990,79761668
1985,P09_C1_sc2.4,7,1991,114141683
1985,P09_C1_sc2.4,8,1992,176743828
1985,P09_C1_sc2.4,9,1993,171479553
1985,P09_C1_sc2.4,10,1994,148127723
1985,P09_C1_sc2.4,11,1995,343774268
1985,P09_C1_sc2.4,12,1996,424457141
1985,P09_C1_sc2.4,13,1997,636185219
1985,P09_C1_sc2.4,14,1998,1247241923
1985,P09_C1_sc2.4,15,1999,3880943393
1985,P09_C1_sc2.4,16,2000,3050746554
1985,P09_C1_sc2.4,17,2001,3130750770
1985,P09_C1_sc2.4,18,2002,3594768638
1985,P09_C1_sc2.4,19,2003,11203526427
1985,P09_C1_sc2.4,20,2004,10905440461
1985,NASDAQ_1x_BH,1,1985,31511931
1985,NASDAQ_1x_BH,2,1986,28125370
1985,NASDAQ_1x_BH,3,1987,22121619
1985,NASDAQ_1x_BH,4,1988,19303113
1985,NASDAQ_1x_BH,5,1989,16580354
1985,NASDAQ_1x_BH,6,1990,9874077
1985,NASDAQ_1x_BH,7,1991,7166829
1985,NASDAQ_1x_BH,8,1992,2443850
1985,NASDAQ_1x_BH,9,1993,0
1985,NASDAQ_1x_BH,10,1994,0
1985,NASDAQ_1x_BH,11,1995,0
1985,NASDAQ_1x_BH,12,1996,0
1985,NASDAQ_1x_BH,13,1997,0
1985,NASDAQ_1x_BH,14,1998,0
1985,NASDAQ_1x_BH,15,1999,0
1985,NASDAQ_1x_BH,16,2000,0
1985,NASDAQ_1x_BH,17,2001,0
1985,NASDAQ_1x_BH,18,2002,0
1985,NASDAQ_1x_BH,19,2003,0
1985,NASDAQ_1x_BH,20,2004,0
1990,P09_C1_sc1.0,1,1990,21852464
1990,P09_C1_sc1.0,2,1991,21455024
1990,P09_C1_sc1.0,3,1992,20935925
1990,P09_C1_sc1.0,4,1993,17553261
1990,P09_C1_sc1.0,5,1994,12235084
1990,P09_C1_sc1.0,6,1995,11181674
1990,P09_C1_sc1.0,7,1996,7007656
1990,P09_C1_sc1.0,8,1997,2433430
1990,P09_C1_sc1.0,9,1998,0
1990,P09_C1_sc1.0,10,1999,0
1990,P09_C1_sc1.0,11,2000,0
1990,P09_C1_sc1.0,12,2001,0
1990,P09_C1_sc1.0,13,2002,0
1990,P09_C1_sc1.0,14,2003,0
1990,P09_C1_sc1.0,15,2004,0
1990,P09_C1_sc1.0,16,2005,0
1990,P09_C1_sc1.0,17,2006,0
1990,P09_C1_sc1.0,18,2007,0
1990,P09_C1_sc1.0,19,2008,0
1990,P09_C1_sc1.0,20,2009,0
1990,P09_C1_sc1.4,1,1990,20679820
1990,P09_C1_sc1.4,2,1991,21278380
1990,P09_C1_sc1.4,3,1992,22343608
1990,P09_C1_sc1.4,4,1993,18672370
1990,P09_C1_sc1.4,5,1994,13026054
1990,P09_C1_sc1.4,6,1995,14127369
1990,P09_C1_sc1.4,7,1996,10729112
1990,P09_C1_sc1.4,8,1997,7438739
1990,P09_C1_sc1.4,9,1998,3911503
1990,P09_C1_sc1.4,10,1999,0
1990,P09_C1_sc1.4,11,2000,0
1990,P09_C1_sc1.4,12,2001,0
1990,P09_C1_sc1.4,13,2002,0
1990,P09_C1_sc1.4,14,2003,0
1990,P09_C1_sc1.4,15,2004,0
1990,P09_C1_sc1.4,16,2005,0
1990,P09_C1_sc1.4,17,2006,0
1990,P09_C1_sc1.4,18,2007,0
1990,P09_C1_sc1.4,19,2008,0
1990,P09_C1_sc1.4,20,2009,0
1990,P09_C1_sc1.6,1,1990,20101709
1990,P09_C1_sc1.6,2,1991,21072182
1990,P09_C1_sc1.6,3,1992,22861280
1990,P09_C1_sc1.6,4,1993,18981174
1990,P09_C1_sc1.6,5,1994,13157366
1990,P09_C1_sc1.6,6,1995,15305221
1990,P09_C1_sc1.6,7,1996,12307796
1990,P09_C1_sc1.6,8,1997,9804778
1990,P09_C1_sc1.6,9,1998,8073060
1990,P09_C1_sc1.6,10,1999,6979034
1990,P09_C1_sc1.6,11,2000,1731903
1990,P09_C1_sc1.6,12,2001,0
1990,P09_C1_sc1.6,13,2002,0
1990,P09_C1_sc1.6,14,2003,0
1990,P09_C1_sc1.6,15,2004,0
1990,P09_C1_sc1.6,16,2005,0
1990,P09_C1_sc1.6,17,2006,0
1990,P09_C1_sc1.6,18,2007,0
1990,P09_C1_sc1.6,19,2008,0
1990,P09_C1_sc1.6,20,2009,0
1990,P09_C1_sc1.8,1,1990,19527634
1990,P09_C1_sc1.8,2,1991,20796649
1990,P09_C1_sc1.8,3,1992,23253578
1990,P09_C1_sc1.8,4,1993,19127277
1990,P09_C1_sc1.8,5,1994,13123277
1990,P09_C1_sc1.8,6,1995,16233133
1990,P09_C1_sc1.8,7,1996,13608159
1990,P09_C1_sc1.8,8,1997,11924400
1990,P09_C1_sc1.8,9,1998,12159383
1990,P09_C1_sc1.8,10,1999,17728105
1990,P09_C1_sc1.8,11,2000,10862340
1990,P09_C1_sc1.8,12,2001,6025953
1990,P09_C1_sc1.8,13,2002,1179897
1990,P09_C1_sc1.8,14,2003,0
1990,P09_C1_sc1.8,15,2004,0
1990,P09_C1_sc1.8,16,2005,0
1990,P09_C1_sc1.8,17,2006,0
1990,P09_C1_sc1.8,18,2007,0
1990,P09_C1_sc1.8,19,2008,0
1990,P09_C1_sc1.8,20,2009,0
1990,P09_C1_sc2.0,1,1990,18959115
1990,P09_C1_sc2.0,2,1991,20458019
1990,P09_C1_sc2.0,3,1992,23519904
1990,P09_C1_sc2.0,4,1993,19116034
1990,P09_C1_sc2.0,5,1994,12934811
1990,P09_C1_sc2.0,6,1995,16874197
1990,P09_C1_sc2.0,7,1996,14568051
1990,P09_C1_sc2.0,8,1997,13672593
1990,P09_C1_sc2.0,9,1998,15878884
1990,P09_C1_sc2.0,10,1999,29243189
1990,P09_C1_sc2.0,11,2000,20158290
1990,P09_C1_sc2.0,12,2001,15581345
1990,P09_C1_sc2.0,13,2002,12169073
1990,P09_C1_sc2.0,14,2003,19301119
1990,P09_C1_sc2.0,15,2004,14327391
1990,P09_C1_sc2.0,16,2005,8689880
1990,P09_C1_sc2.0,17,2006,6123950
1990,P09_C1_sc2.0,18,2007,1297301
1990,P09_C1_sc2.0,19,2008,0
1990,P09_C1_sc2.0,20,2009,0
1990,P09_C1_sc2.2,1,1990,18400624
