label,k_lt,CAGR_IS_at,CAGR_OOS_at,min_IS_OOS_at,IS_OOS_gap_pp,Sharpe_OOS,MaxDD_FULL,Worst10Y_star_at,P10_5Y_at,Worst5Y_at,Trades_yr,worst_cy,worst_cy_year,excess_days,veto_maxdd,veto_w10y,VETO,d_min9_pp,d_MaxDD_pp,d_Sharpe,stage0_judgment
B3a_k365_sanity,0.000000,0.231035,0.209760,0.209760,2.571595,0.904183,-0.382040,0.145328,0.080827,0.001022,33.277242,-0.223692,2015,4963,0,0,0,0.000000,0.000000,0.000000,SANITY_ANCHOR
B3a_G4_k030,0.300000,0.224145,0.211982,0.211982,1.470247,0.830593,-0.424076,0.147186,0.086460,0.013605,113.762624,-0.258593,1990,3593,0,0,0,0.222202,-4.203523,-0.073591,STAGE0_PASS
B3a_G4_k020,0.200000,0.221641,0.213956,0.213956,0.928936,0.865252,-0.398855,0.146752,0.080090,0.011202,122.450300,-0.238881,1990,3777,0,0,0,0.419566,-1.681425,-0.038931,STAGE0_PASS
