label,group,posthoc_flag,CAGR_IS_at,CAGR_OOS_at,min9_at,gap_pp,Sharpe_OOS,MaxDD_FULL,Worst10Y_star_at,P10_5Y_at,Trades_yr,excess_days,worst_cy,worst_cy_year,veto_maxdd,veto_w10y,VETO,stage1_pass,q0,q1,lev_scale,q0_hi,lev_thr,wfa_WFE,wfa_CI95_lo,wfa_t_p,cpcv_p10_at,cpcv_worst_at,cpcv_med_at,regime_min_at,boot_P_min_better,boot_CI95_lo_min_pp,s2_veto_maxdd,s2_veto_wfe,s2_veto_w10y,s2_veto_reg,S2_VETO,posthoc_note,regime_trend_bull,regime_trend_bear,regime_vol_calm,regime_vol_highvol,regime_rate_rate_up,regime_rate_rate_down,stress_dotcom_2000_ret,stress_dotcom_2000_maxdd,stress_gfc_2008_ret,stress_gfc_2008_maxdd,stress_covid_2020_ret,stress_covid_2020_maxdd,stress_bear_2022_ret,stress_bear_2022_maxdd,stress_tri_2015_ret,stress_tri_2015_maxdd
B3_q01.4_q11.40_sc1.15,B3,0,0.226715,0.205814,0.205814,2.526489,0.891536,-0.382435,0.140501,0.076316,33.277242,4963,-0.227600,2015,0,0,0,1,1.400000,1.400000,1.150000,,,0.986938,0.220143,0.000000,0.156799,0.114816,0.219190,-0.029690,0.874900,-3.154586,0,0,0,0,0,,0.341217,-0.029690,0.185870,0.260697,0.179025,0.261594,0.214524,-0.061288,0.167007,-0.102215,0.081284,-0.131973,0.008038,-0.104985,-0.227600,-0.288838
B3_q01.6_q11.40_sc1.15,B3,0,0.229243,0.205139,0.205139,2.913623,0.885004,-0.382448,0.144136,0.077895,35.229099,4984,-0.221908,2015,0,0,0,1,1.600000,1.400000,1.150000,,,0.967245,0.222365,0.000000,0.156844,0.115024,0.222501,-0.030304,0.867300,-3.409505,0,0,0,0,0,,0.345017,-0.030304,0.186819,0.264302,0.181432,0.263737,0.214524,-0.061288,0.166988,-0.102222,0.081284,-0.131973,0.008038,-0.104985,-0.221908,-0.289232
B3_q01.8_q11.40_sc1.15,B3,0,0.231826,0.204487,0.204487,3.304503,0.878136,-0.393228,0.147835,0.079399,35.229099,5017,-0.216154,2015,0,0,0,1,1.800000,1.400000,1.150000,,,0.947817,0.224595,0.000000,0.156894,0.115247,0.224420,-0.030961,0.858400,-3.679583,0,0,0,0,0,,0.348927,-0.030961,0.187860,0.267916,0.183897,0.265928,0.214524,-0.061288,0.166988,-0.102222,0.081284,-0.131973,0.008038,-0.104985,-0.216154,-0.289578
B3_q02.0_q11.40_sc1.15,B3,0,0.234344,0.203718,0.203718,3.701862,0.870526,-0.407989,0.151474,0.081304,35.229099,5026,-0.220828,1990,0,0,0,1,2.000000,1.400000,1.150000,,,0.928439,0.226690,0.000000,0.156784,0.115368,0.227369,-0.031710,0.849500,-3.979762,0,0,0,0,0,,0.352783,-0.031710,0.188844,0.271447,0.186300,0.268038,0.214524,-0.061288,0.166988,-0.102222,0.081284,-0.131973,0.008038,-0.104985,-0.210405,-0.289923
B3_q01.4_q11.30_sc1.15,B3,0,0.225047,0.201356,0.201356,2.863560,0.886538,-0.382448,0.136985,0.074927,35.229099,4903,-0.222471,2015,0,0,0,1,1.400000,1.300000,1.150000,,,0.972987,0.217539,0.000000,0.155931,0.114940,0.216619,-0.024246,0.865500,-3.234798,0,0,0,0,0,,0.335214,-0.024246,0.184428,0.258228,0.177106,0.259583,0.214524,-0.061288,0.174104,-0.102222,0.081284,-0.131973,0.008038,-0.104985,-0.222471,-0.281283
B3_q01.4_q11.40_sc1.10,B3,0,0.220494,0.201144,0.201144,2.338841,0.900841,-0.370949,0.137086,0.075793,33.277242,4572,-0.219040,2015,0,0,0,1,1.400000,1.400000,1.100000,,,0.995609,0.213720,0.000000,0.153800,0.113214,0.213931,-0.025246,0.874100,-3.101709,0,0,0,0,0,,0.329348,-0.025246,0.181081,0.253218,0.174513,0.253981,0.214524,-0.061288,0.172532,-0.096987,0.081284,-0.131973,0.008038,-0.104985,-0.219040,-0.280598
B3_q01.6_q11.30_sc1.15,B3,0,0.227685,0.200809,0.200809,3.248679,0.880241,-0.382448,0.140734,0.076961,35.229099,4924,-0.216671,2015,0,0,0,1,1.600000,1.300000,1.150000,,,0.953572,0.219882,0.000000,0.156080,0.115241,0.220063,-0.024836,0.858100,-3.471361,0,0,0,0,0,,0.339160,-0.024836,0.185517,0.261914,0.179621,0.261845,0.214524,-0.061288,0.174104,-0.102222,0.081284,-0.131973,0.008038,-0.104985,-0.216671,-0.281632
B3_q01.6_q11.40_sc1.10,B3,0,0.222914,0.200534,0.200534,2.705196,0.894295,-0.370962,0.140571,0.077366,35.229099,4594,-0.213524,2015,0,0,0,1,1.600000,1.400000,1.100000,,,0.976370,0.215851,0.000000,0.153866,0.113434,0.217109,-0.025819,0.865400,-3.319257,0,0,0,0,0,,0.332964,-0.025819,0.181994,0.256668,0.176820,0.256038,0.214524,-0.061288,0.172513,-0.096993,0.081284,-0.131973,0.008038,-0.104985,-0.213524,-0.280982
