condition,tax,CAGR_IS,CAGR_OOS,CAGR_FULL,IS_OOS_gap_pp,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,Worst5Y,Trades_yr,cy2022_return,worst_calendar_year_return,worst_calendar_year,gate_fire_pct_of_outdays
C1_baseline_V7,pretax,0.18220381334284497,0.18848178861252252,0.18278663332913814,-0.6277975269677549,0.8274214319208699,-0.34661441382696956,0.10676131043563752,0.04875242207746297,-0.011756630446227545,25.201913584934317,-0.0026656244263202344,-0.1685365148572484,1990,
C1_baseline_V7,aftertax,0.15073721477853566,0.15593098371913988,0.151219381753196,-0.6277975269677549,0.8274214319208699,-0.34661441382696956,0.08832363212340293,0.04033287878468512,-0.009726260368164048,25.201913584934317,-0.0026656244263202344,-0.1685365148572484,1990,
P01_w63,pretax,0.2314663477705794,0.1733794361017309,0.2259389730602912,5.8086911668848495,0.764443294505739,-0.3521515018099074,0.1273304474643191,0.08220409285118507,-0.01178389631872312,29.201306097653582,-0.13956735156252287,-0.19565923719649825,2015,0.0
P01_w63,aftertax,0.19149210951060033,0.14343680748696197,0.18691931241277893,5.8086911668848495,0.764443294505739,-0.3521515018099074,0.10534047918723119,0.06800744601578541,-0.009748817424479637,29.201306097653582,-0.13956735156252287,-0.19565923719649825,2015,0.0
P02a_AND_cash,pretax,0.22879513727222855,0.16536118301771174,0.22274664641244368,6.343395425451681,0.7427707246678189,-0.3056139560069162,0.12151762668600208,0.08355560258103867,-0.010873469444982908,34.444528817677885,-0.13371219375154553,-0.1783147038808216,2015,26.27311060655206
P02a_AND_cash,aftertax,0.1892822170653147,0.13680330671055294,0.18427830057701466,6.343395425451681,0.7427707246678189,-0.3056139560069162,0.10053153255732952,0.06912555001529329,-0.008995621271834361,34.444528817677885,-0.13371219375154553,-0.1783147038808216,2015,26.27311060655206
P02b_OR_cash,pretax,0.20803189544601453,0.18797336402939235,0.20615028750576592,2.005853141662217,0.8264398783642976,-0.343212659737405,0.12068837584120473,0.06235756850495603,-0.024466591102604074,31.28711367605741,-0.043341829858530634,-0.21524153148425118,2015,72.49432371067142
P02b_OR_cash,aftertax,0.17210478710248783,0.1555103640615163,0.17054813285352016,2.005853141662217,0.8264398783642976,-0.343212659737405,0.09984549333342868,0.05158841642415012,-0.02024121081918435,31.28711367605741,-0.043341829858530634,-0.21524153148425118,2015,72.49432371067142
P02c_AND_half,pretax,0.23032871830958102,0.1695760939914932,0.22454185227894086,6.075262431808781,0.7558869248835574,-0.3291233634006343,0.1246349220256886,0.08309954866580073,-0.011204597391858195,29.201306097653582,-0.13600482260134106,-0.18688449890842185,2015,26.27311060655206
P02c_AND_half,aftertax,0.19055094865751637,0.14029030255916233,0.18576347439036778,6.075262431808781,0.7558869248835574,-0.3291233634006343,0.10311047099185218,0.06874825661121695,-0.009269563422284285,29.201306097653582,-0.13600482260134106,-0.18688449890842185,2015,26.27311060655206
P09_bondtiming,pretax,0.21360668165479169,0.19774032389358331,0.21220192731529042,1.5866357761208372,0.8544649884878446,-0.3534471589441136,0.12247328814960734,0.06736335661942489,-0.02198200869201361,29.201306097653582,-0.0016531778121342544,-0.1956592371964997,2015,49.64320467077522
P09_bondtiming,aftertax,0.17671680773300916,0.16359056995716148,0.17555465446793977,1.5866357761208372,0.8544649884878446,-0.3534471589441136,0.10132215128617016,0.05572970493125021,-0.018185715790902862,29.201306097653582,-0.0016531778121342544,-0.1956592371964997,2015,49.64320467077522
