strat,runfrac,floor_real_M,top_wr,top_wr_late,g,labor_total,shortfall_years_total,worst_real_spend_M,median_total_real_M,median_terminal_nom_M,ruin,reserve_mix
sc2.6,0.45,6.37,0.16,,0.0,0,171,6.37,141.5,4741.1,0,bond100
sc2.6,0.5,6.0,0.16,0.24,0.01,0,155,6.0,140.4,4239.6,0,bond100
sc2.6,0.5,5.5,0.2,0.24,0.02,0,101,5.5,141.4,3240.5,0,b80g20
sc2.6,0.5,5.5,0.18,,0.03,0,150,5.5,138.9,2014.8,0,bond100
sc2.6,0.45,5.5,0.16,,0.035,0,211,5.5,137.2,2137.9,0,bond100
