label,labor_years_total,starts_with_labor,saved_1988,fails,topup_events_total,ruin_total,terminal_median_M,min_total_floor_M
sc2.4_g2_16_ressofr_bkt0_run20_thr12_6,210,23,0,1975;1976;1981;1983;1984;1985;1986;1987;1988;1989;1990;1992;1993;1994;1996;1998;1999;2000;2001;2002;2003;2004;2005,132,23,1221.100,0.000
sc2.4_g2_16_ressofr_bkt0_run22_thr15_ALL,24,2,0,1987;1988,25,2,4918.700,0.000
sc2.4_g2_16_ressofr_bkt0_run22_thr18_ALL,13,1,0,1988,26,1,7646.500,0.000
sc2.4_g2_16_ressofr_bkt0_run22_thr20_ALL,13,1,0,1988,27,1,8175.900,0.000
sc2.4_g2_16_ressofr_bkt0_run22_thr20_10,12,1,0,1988,42,1,3931.100,0.000
sc2.4_g2_16_ressofr_bkt0_run22_thr12_6,161,19,0,1975;1979;1980;1981;1984;1986;1987;1988;1989;1990;1991;1993;1994;1999;2000;2001;2002;2004;2005,104,19,171.400,0.000
sc2.4_g2_16_ressofr_bkt0_run25_thr15_ALL,32,3,0,1984;1986;1988,18,3,3567.200,0.000
sc2.4_g2_16_ressofr_bkt0_run25_thr18_ALL,13,1,0,1988,20,1,5034.600,0.000
sc2.4_g2_16_ressofr_bkt0_run25_thr20_ALL,13,1,0,1988,21,1,5052.600,0.000
sc2.4_g2_16_ressofr_bkt0_run25_thr20_10,13,1,0,1988,27,1,3118.200,0.000
sc2.4_g2_16_ressofr_bkt0_run25_thr12_6,131,13,0,1977;1979;1984;1986;1987;1988;1989;1990;2000;2001;2002;2004;2005,60,13,2560.200,0.000
sc2.4_g2_16_ressofr_bkt2_run15_thr15_ALL,36,4,0,1988;1989;2001;2005,15,4,4099.100,0.000
sc2.4_g2_16_ressofr_bkt2_run15_thr18_ALL,14,1,0,1988,31,1,9109.300,0.000
sc2.4_g2_16_ressofr_bkt2_run15_thr20_ALL,14,1,0,1988,31,1,9109.300,0.000
sc2.4_g2_16_ressofr_bkt2_run15_thr20_10,14,1,0,1988,34,1,8638.700,0.000
sc2.4_g2_16_ressofr_bkt2_run15_thr12_6,83,9,0,1975;1986;1987;1988;1989;2000;2001;2004;2005,28,9,3676.400,0.000
sc2.4_g2_16_ressofr_bkt2_run18_thr15_ALL,30,3,0,1987;1988;2004,8,3,6896.100,0.000
sc2.4_g2_16_ressofr_bkt2_run18_thr18_ALL,13,1,0,1988,11,1,6896.100,0.000
sc2.4_g2_16_ressofr_bkt2_run18_thr20_ALL,14,1,0,1988,31,1,9109.300,0.000
sc2.4_g2_16_ressofr_bkt2_run18_thr20_10,14,1,0,1988,31,1,9109.300,0.000
sc2.4_g2_16_ressofr_bkt2_run18_thr12_6,52,5,0,1986;1987;1988;2000;2004,12,5,5849.200,0.000
sc2.4_g2_16_ressofr_bkt2_run20_thr15_ALL,21,2,0,1988;2004,6,2,6364.300,0.000
sc2.4_g2_16_ressofr_bkt2_run20_thr18_ALL,15,2,0,1988;2004,8,2,8682.100,0.000
sc2.4_g2_16_ressofr_bkt2_run20_thr20_ALL,13,1,0,1988,11,1,8723.100,0.000
sc2.4_g2_16_ressofr_bkt2_run20_thr20_10,13,1,0,1988,11,1,8723.100,0.000
sc2.4_g2_16_ressofr_bkt2_run20_thr12_6,43,4,0,1988;1990;2000;2004,10,4,8682.100,0.000
sc2.4_g2_16_ressofr_bkt2_run22_thr15_ALL,17,2,0,1988;2004,3,2,7544.800,0.000
sc2.4_g2_16_ressofr_bkt2_run22_thr18_ALL,15,2,0,1988;2004,5,2,9617.500,0.000
sc2.4_g2_16_ressofr_bkt2_run22_thr20_ALL,15,2,0,1988;2004,7,2,9617.500,0.000
sc2.4_g2_16_ressofr_bkt2_run22_thr20_10,15,2,0,1988;2004,7,2,9617.500,0.000
sc2.4_g2_16_ressofr_bkt2_run22_thr12_6,29,3,0,1988;2000;2004,3,3,9636.600,0.000
sc2.4_g2_16_ressofr_bkt2_run25_thr15_ALL,20,2,0,1988;2000,2,2,9315.400,0.000
sc2.4_g2_16_ressofr_bkt2_run25_thr18_ALL,14,1,0,1988,2,1,8638.700,0.000
sc2.4_g2_16_ressofr_bkt2_run25_thr20_ALL,14,1,0,1988,3,1,8638.700,0.000
sc2.4_g2_16_ressofr_bkt2_run25_thr20_10,14,1,0,1988,3,1,8638.700,0.000
sc2.4_g2_16_ressofr_bkt2_run25_thr12_6,20,2,0,1988;2000,2,2,9315.400,0.000
sc2.4_g2_16_ressofr_bkt3_run15_thr15_ALL,31,3,0,1986;1987;1988,10,3,7928.300,0.000
sc2.4_g2_16_ressofr_bkt3_run15_thr18_ALL,14,1,0,1988,31,1,6961.900,0.000
sc2.4_g2_16_ressofr_bkt3_run15_thr20_ALL,14,1,0,1988,31,1,6961.900,0.000
sc2.4_g2_16_ressofr_bkt3_run15_thr20_10,14,1,0,1988,31,1,6961.900,0.000
sc2.4_g2_16_ressofr_bkt3_run15_thr12_6,42,4,0,1986;1987;1988;2000,5,4,6676.100,0.000
sc2.4_g2_16_ressofr_bkt3_run18_thr15_ALL,14,1,0,1988,4,1,6903.200,0.000
sc2.4_g2_16_ressofr_bkt3_run18_thr18_ALL,14,1,0,1988,9,1,6903.200,0.000
sc2.4_g2_16_ressofr_bkt3_run18_thr20_ALL,14,1,0,1988,31,1,6961.900,0.000
sc2.4_g2_16_ressofr_bkt3_run18_thr20_10,14,1,0,1988,31,1,6961.900,0.000
sc2.4_g2_16_ressofr_bkt3_run18_thr12_6,18,2,0,1986;1988,2,2,7561.600,0.000
sc2.4_g3_16_rescash_bkt0_run15_thr15_ALL,31,3,0,1987;1988;1989,31,3,5785.100,0.000
sc2.4_g3_16_rescash_bkt0_run15_thr18_ALL,30,4,0,1988;1990;2000;2004,31,4,13431.500,0.000
sc2.4_g3_16_rescash_bkt0_run15_thr20_ALL,30,4,0,1988;1990;2000;2004,31,4,13431.500,0.000
sc2.4_g3_16_rescash_bkt0_run15_thr20_10,31,3,0,1987;1988;2004,62,3,2800.100,0.000
sc2.4_g3_16_rescash_bkt0_run15_thr12_6,300,26,0,1975;1976;1977;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,147,26,766.300,0.000
sc2.4_g3_16_rescash_bkt0_run18_thr15_ALL,30,3,0,1985;1987;1988,31,3,5639.900,0.000
sc2.4_g3_16_rescash_bkt0_run18_thr18_ALL,27,3,0,1987;1988;1989,31,3,5918.900,0.000
sc2.4_g3_16_rescash_bkt0_run18_thr20_ALL,30,4,0,1988;1990;2000;2004,31,4,13431.500,0.000
sc2.4_g3_16_rescash_bkt0_run18_thr20_10,25,3,0,1984;1988;2004,54,3,3215.500,0.000
sc2.4_g3_16_rescash_bkt0_run18_thr12_6,269,26,0,1975;1977;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,117,26,350.600,0.000
sc2.4_g3_16_rescash_bkt0_run20_thr15_ALL,32,3,0,1986;1987;1988,29,3,5857.400,0.000
sc2.4_g3_16_rescash_bkt0_run20_thr18_ALL,21,2,0,1987;1988,29,2,5888.700,0.000
sc2.4_g3_16_rescash_bkt0_run20_thr20_ALL,21,2,0,1987;1988,29,2,5888.700,0.000
sc2.4_g3_16_rescash_bkt0_run20_thr20_10,22,2,0,1987;1988,47,2,2198.600,0.000
sc2.4_g3_16_rescash_bkt0_run20_thr12_6,244,24,0,1975;1977;1980;1981;1983;1984;1985;1986;1987;1988;1989;1990;1992;1993;1994;1997;1998;1999;2000;2001;2002;2003;2004;2005,107,24,1563.600,0.000
sc2.4_g3_16_rescash_bkt0_run22_thr15_ALL,40,4,0,1983;1986;1987;1988,26,4,4543.300,0.000
sc2.4_g3_16_rescash_bkt0_run22_thr18_ALL,26,3,0,1986;1987;1988,27,3,6611.000,0.000
sc2.4_g3_16_rescash_bkt0_run22_thr20_ALL,17,2,0,1987;1988,27,2,6183.600,0.000
sc2.4_g3_16_rescash_bkt0_run22_thr20_10,23,2,0,1988;1990,39,2,2223.300,0.000
sc2.4_g3_16_rescash_bkt0_run22_thr12_6,235,24,0,1975;1977;1979;1980;1981;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1996;1997;1999;2000;2001;2002;2004;2005,76,24,468.500,0.000
sc2.4_g3_16_rescash_bkt0_run25_thr15_ALL,23,2,0,1984;1988,21,2,1596.600,0.000
sc2.4_g3_16_rescash_bkt0_run25_thr18_ALL,12,1,0,1988,22,1,4124.200,0.000
sc2.4_g3_16_rescash_bkt0_run25_thr20_ALL,24,2,0,1987;1988,24,2,4829.300,0.000
sc2.4_g3_16_rescash_bkt0_run25_thr20_10,31,3,0,1987;1988;2004,31,3,2800.100,0.000
sc2.4_g3_16_rescash_bkt0_run25_thr12_6,174,17,0,1975;1977;1979;1981;1984;1986;1987;1988;1989;1990;1992;1994;2000;2001;2002;2004;2005,53,17,797.900,0.000
sc2.4_g3_16_rescash_bkt2_run15_thr15_ALL,34,4,0,1987;1988;2001;2005,15,4,2034.300,0.000
sc2.4_g3_16_rescash_bkt2_run15_thr18_ALL,13,1,0,1988,31,1,8558.800,0.000
sc2.4_g3_16_rescash_bkt2_run15_thr20_ALL,13,1,0,1988,31,1,8558.800,0.000
sc2.4_g3_16_rescash_bkt2_run15_thr20_10,18,2,0,1988;2004,35,2,9154.400,0.000
sc2.4_g3_16_rescash_bkt2_run15_thr12_6,116,11,0,1984;1986;1987;1988;1989;1990;1993;2000;2001;2004;2005,24,11,1867.300,0.000
sc2.4_g3_16_rescash_bkt2_run18_thr15_ALL,51,6,0,1986;1988;1989;2000;2001;2004,9,6,4397.800,0.000
sc2.4_g3_16_rescash_bkt2_run18_thr18_ALL,30,3,0,1986;1988;1989,12,3,4241.900,0.000
sc2.4_g3_16_rescash_bkt2_run18_thr20_ALL,13,1,0,1988,31,1,8558.800,0.000
sc2.4_g3_16_rescash_bkt2_run18_thr20_10,13,1,0,1988,31,1,8558.800,0.000
sc2.4_g3_16_rescash_bkt2_run18_thr12_6,84,8,0,1986;1987;1988;1989;1990;2000;2001;2004,16,8,4086.000,0.000
sc2.4_g3_16_rescash_bkt2_run20_thr15_ALL,40,5,0,1987;1988;1990;2000;2004,6,5,5986.400,0.000
sc2.4_g3_16_rescash_bkt2_run20_thr18_ALL,23,2,0,1988;2004,7,2,5850.100,0.000
sc2.4_g3_16_rescash_bkt2_run20_thr20_ALL,13,1,0,1988,11,1,5243.400,0.000
sc2.4_g3_16_rescash_bkt2_run20_thr20_10,13,1,0,1988,11,1,5243.400,0.000
sc2.4_g3_16_rescash_bkt2_run20_thr12_6,52,5,0,1987;1988;1990;2000;2004,6,5,5986.400,0.000
sc2.4_g3_16_rescash_bkt2_run22_thr15_ALL,28,4,0,1987;1988;2000;2004,5,4,7614.100,0.000
sc2.4_g3_16_rescash_bkt2_run22_thr18_ALL,28,4,0,1987;1988;2000;2004,7,4,9752.800,0.000
sc2.4_g3_16_rescash_bkt2_run22_thr20_ALL,21,2,0,1988;2004,7,2,7614.100,0.000
sc2.4_g3_16_rescash_bkt2_run22_thr20_10,21,2,0,1988;2004,7,2,7614.100,0.000
sc2.4_g3_16_rescash_bkt2_run22_thr12_6,43,4,0,1987;1988;2000;2004,5,4,7614.100,0.000
sc2.4_g3_16_rescash_bkt2_run25_thr15_ALL,24,3,0,1988;2000;2004,3,3,9707.300,0.000
sc2.4_g3_16_rescash_bkt2_run25_thr18_ALL,18,2,0,1988;2004,4,2,9154.400,0.000
sc2.4_g3_16_rescash_bkt2_run25_thr20_ALL,18,2,0,1988;2004,4,2,9154.400,0.000
sc2.4_g3_16_rescash_bkt2_run25_thr20_10,18,2,0,1988;2004,4,2,9154.400,0.000
sc2.4_g3_16_rescash_bkt2_run25_thr12_6,24,3,0,1988;2000;2004,3,3,9707.300,0.000
sc2.4_g3_16_rescash_bkt3_run15_thr15_ALL,34,3,0,1986;1987;1988,10,3,4930.300,0.000
sc2.4_g3_16_rescash_bkt3_run15_thr18_ALL,13,1,0,1988,31,1,6509.700,0.000
sc2.4_g3_16_rescash_bkt3_run15_thr20_ALL,13,1,0,1988,31,1,6509.700,0.000
sc2.4_g3_16_rescash_bkt3_run15_thr20_10,13,1,0,1988,31,1,6509.700,0.000
sc2.4_g3_16_rescash_bkt3_run15_thr12_6,56,5,0,1986;1987;1988;2000;2004,6,5,4930.300,0.000
sc2.4_g3_16_rescash_bkt3_run18_thr15_ALL,21,3,0,1987;1988;2004,5,3,7595.900,0.000
sc2.4_g3_16_rescash_bkt3_run18_thr18_ALL,19,2,0,1987;1988,9,2,7312.400,0.000
sc2.4_g3_16_rescash_bkt3_run18_thr20_ALL,13,1,0,1988,31,1,6509.700,0.000
sc2.4_g3_16_rescash_bkt3_run18_thr20_10,13,1,0,1988,31,1,6509.700,0.000
sc2.4_g3_16_rescash_bkt3_run18_thr12_6,23,3,0,1987;1988;2004,3,3,7336.700,0.000
sc2.4_g3_16_resbond_bkt0_run15_thr15_ALL,14,1,1,1987,31,1,6863.100,0.000
sc2.4_g3_16_resbond_bkt0_run15_thr18_ALL,30,4,0,1988;1990;2000;2004,31,4,13431.500,0.000
sc2.4_g3_16_resbond_bkt0_run15_thr20_ALL,30,4,0,1988;1990;2000;2004,31,4,13431.500,0.000
sc2.4_g3_16_resbond_bkt0_run15_thr20_10,15,2,0,1988;2004,62,2,3099.800,0.000
sc2.4_g3_16_resbond_bkt0_run15_thr12_6,220,23,0,1975;1977;1980;1981;1983;1984;1985;1986;1987;1988;1989;1990;1994;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,189,23,252.700,0.000
sc2.4_g3_16_resbond_bkt0_run18_thr15_ALL,11,1,1,1987,31,1,6535.800,0.000
sc2.4_g3_16_resbond_bkt0_run18_thr18_ALL,11,1,1,1987,31,1,6864.900,0.000
sc2.4_g3_16_resbond_bkt0_run18_thr20_ALL,30,4,0,1988;1990;2000;2004,31,4,13431.500,0.000
sc2.4_g3_16_resbond_bkt0_run18_thr20_10,12,1,0,1988,55,1,3116.500,0.000
sc2.4_g3_16_resbond_bkt0_run18_thr12_6,183,22,0,1975;1977;1979;1980;1983;1984;1986;1987;1988;1989;1990;1991;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,165,22,163.500,0.000
sc2.4_g3_16_resbond_bkt0_run20_thr15_ALL,9,1,1,1987,29,1,6588.300,0.000
sc2.4_g3_16_resbond_bkt0_run20_thr18_ALL,9,1,1,1987,29,1,6588.300,0.000
sc2.4_g3_16_resbond_bkt0_run20_thr20_ALL,9,1,1,1987,29,1,6166.000,0.000
sc2.4_g3_16_resbond_bkt0_run20_thr20_10,11,1,0,1988,53,1,2336.400,0.000
sc2.4_g3_16_resbond_bkt0_run20_thr12_6,167,22,0,1975;1977;1981;1983;1984;1986;1987;1988;1989;1990;1992;1993;1994;1997;1998;1999;2000;2001;2002;2003;2004;2005,153,22,1039.000,0.000
sc2.4_g3_16_resbond_bkt0_run22_thr15_ALL,19,2,0,1987;1988,26,2,6453.400,0.000
sc2.4_g3_16_resbond_bkt0_run22_thr18_ALL,8,2,0,1987;1988,27,2,7593.200,0.000
sc2.4_g3_16_resbond_bkt0_run22_thr20_ALL,8,2,0,1987;1988,27,2,7593.200,0.000
sc2.4_g3_16_resbond_bkt0_run22_thr20_10,0,0,1,,43,0,2235.900,14.490
sc2.4_g3_16_resbond_bkt0_run22_thr12_6,155,18,0,1975;1977;1981;1984;1986;1987;1988;1989;1990;1992;1993;1997;1999;2000;2001;2002;2004;2005,133,18,142.300,0.000
sc2.4_g3_16_resbond_bkt0_run25_thr15_ALL,11,1,0,1988,21,1,3095.400,0.000
sc2.4_g3_16_resbond_bkt0_run25_thr18_ALL,11,1,0,1988,22,1,4830.000,0.000
sc2.4_g3_16_resbond_bkt0_run25_thr20_ALL,21,2,0,1987;1988,24,2,6525.600,0.000
sc2.4_g3_16_resbond_bkt0_run25_thr20_10,15,2,0,1988;2004,31,2,3099.800,0.000
sc2.4_g3_16_resbond_bkt0_run25_thr12_6,120,13,0,1977;1979;1984;1986;1987;1988;1990;1992;2000;2001;2002;2004;2005,79,13,410.200,0.000
sc2.4_g3_16_resbond_bkt2_run15_thr15_ALL,17,2,0,1988;2005,15,2,2240.300,0.000
sc2.4_g3_16_resbond_bkt2_run15_thr18_ALL,13,1,0,1988,31,1,8558.800,0.000
sc2.4_g3_16_resbond_bkt2_run15_thr20_ALL,13,1,0,1988,31,1,8558.800,0.000
sc2.4_g3_16_resbond_bkt2_run15_thr20_10,18,2,0,1988;2004,35,2,9156.300,0.000
sc2.4_g3_16_resbond_bkt2_run15_thr12_6,96,10,0,1986;1987;1988;1989;1990;1993;2000;2001;2004;2005,40,10,1726.500,0.000
sc2.4_g3_16_resbond_bkt2_run18_thr15_ALL,21,2,0,1988;2004,9,2,3683.500,0.000
sc2.4_g3_16_resbond_bkt2_run18_thr18_ALL,12,1,0,1988,12,1,3900.200,0.000
sc2.4_g3_16_resbond_bkt2_run18_thr20_ALL,13,1,0,1988,31,1,8558.800,0.000
sc2.4_g3_16_resbond_bkt2_run18_thr20_10,13,1,0,1988,31,1,8558.800,0.000
sc2.4_g3_16_resbond_bkt2_run18_thr12_6,68,7,0,1987;1988;1989;1990;2000;2001;2004,20,7,3900.200,0.000
sc2.4_g3_16_resbond_bkt2_run20_thr15_ALL,30,3,0,1987;1988;2004,6,3,5259.300,0.000
sc2.4_g3_16_resbond_bkt2_run20_thr18_ALL,20,2,0,1988;2004,7,2,5872.900,0.000
sc2.4_g3_16_resbond_bkt2_run20_thr20_ALL,12,1,0,1988,11,1,5259.300,0.000
sc2.4_g3_16_resbond_bkt2_run20_thr20_10,12,1,0,1988,11,1,5259.300,0.000
sc2.4_g3_16_resbond_bkt2_run20_thr12_6,45,4,0,1987;1988;2000;2004,10,4,5872.900,0.000
sc2.4_g3_16_resbond_bkt2_run22_thr15_ALL,18,2,0,1988;2004,5,2,6047.500,0.000
sc2.4_g3_16_resbond_bkt2_run22_thr18_ALL,19,2,0,1988;2004,7,2,7628.800,0.000
sc2.4_g3_16_resbond_bkt2_run22_thr20_ALL,20,2,0,1988;2004,7,2,7628.800,0.000
sc2.4_g3_16_resbond_bkt2_run22_thr20_10,20,2,0,1988;2004,7,2,7628.800,0.000
sc2.4_g3_16_resbond_bkt2_run22_thr12_6,34,3,0,1988;2000;2004,5,3,6838.100,0.000
sc2.4_g3_16_resbond_bkt2_run25_thr15_ALL,23,3,0,1988;2000;2004,3,3,9709.500,0.000
sc2.4_g3_16_resbond_bkt2_run25_thr18_ALL,18,2,0,1988;2004,4,2,9156.300,0.000
sc2.4_g3_16_resbond_bkt2_run25_thr20_ALL,18,2,0,1988;2004,4,2,9156.300,0.000
sc2.4_g3_16_resbond_bkt2_run25_thr20_10,18,2,0,1988;2004,4,2,9156.300,0.000
sc2.4_g3_16_resbond_bkt2_run25_thr12_6,24,3,0,1988;2000;2004,3,3,9709.500,0.000
sc2.4_g3_16_resbond_bkt3_run15_thr15_ALL,32,3,0,1986;1987;1988,10,3,4944.000,0.000
sc2.4_g3_16_resbond_bkt3_run15_thr18_ALL,13,1,0,1988,31,1,6509.700,0.000
sc2.4_g3_16_resbond_bkt3_run15_thr20_ALL,13,1,0,1988,31,1,6509.700,0.000
sc2.4_g3_16_resbond_bkt3_run15_thr20_10,13,1,0,1988,31,1,6509.700,0.000
sc2.4_g3_16_resbond_bkt3_run15_thr12_6,52,5,0,1986;1987;1988;2000;2004,7,5,4944.000,0.000
sc2.4_g3_16_resbond_bkt3_run18_thr15_ALL,20,3,0,1987;1988;2004,5,3,7593.900,0.000
sc2.4_g3_16_resbond_bkt3_run18_thr18_ALL,18,2,0,1987;1988,9,2,7306.800,0.000
sc2.4_g3_16_resbond_bkt3_run18_thr20_ALL,13,1,0,1988,31,1,6509.700,0.000
sc2.4_g3_16_resbond_bkt3_run18_thr20_10,13,1,0,1988,31,1,6509.700,0.000
sc2.4_g3_16_resbond_bkt3_run18_thr12_6,22,3,0,1987;1988;2004,3,3,7338.200,0.000
sc2.4_g3_16_ressofr_bkt0_run15_thr15_ALL,13,1,1,1987,31,1,5635.900,0.000
sc2.4_g3_16_ressofr_bkt0_run15_thr18_ALL,30,4,0,1988;1990;2000;2004,31,4,13431.500,0.000
sc2.4_g3_16_ressofr_bkt0_run15_thr20_ALL,30,4,0,1988;1990;2000;2004,31,4,13431.500,0.000
sc2.4_g3_16_ressofr_bkt0_run15_thr20_10,19,2,0,1988;2004,62,2,3069.800,0.000
sc2.4_g3_16_ressofr_bkt0_run15_thr12_6,247,25,0,1975;1977;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,165,25,671.400,0.000
sc2.4_g3_16_ressofr_bkt0_run18_thr15_ALL,0,0,1,,31,0,6010.800,15.020
sc2.4_g3_16_ressofr_bkt0_run18_thr18_ALL,0,0,1,,31,0,6010.800,15.020
sc2.4_g3_16_ressofr_bkt0_run18_thr20_ALL,30,4,0,1988;1990;2000;2004,31,4,13431.500,0.000
sc2.4_g3_16_ressofr_bkt0_run18_thr20_10,18,2,0,1988;2004,54,2,3185.000,0.000
sc2.4_g3_16_ressofr_bkt0_run18_thr12_6,222,23,0,1975;1979;1980;1981;1983;1984;1985;1986;1987;1988;1989;1990;1991;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,149,23,305.300,0.000
sc2.4_g3_16_ressofr_bkt0_run20_thr15_ALL,0,0,1,,29,0,5866.600,7.420
sc2.4_g3_16_ressofr_bkt0_run20_thr18_ALL,0,0,1,,29,0,6205.700,14.580
sc2.4_g3_16_ressofr_bkt0_run20_thr20_ALL,0,0,1,,29,0,5866.600,14.580
sc2.4_g3_16_ressofr_bkt0_run20_thr20_10,12,1,0,1988,53,1,2321.700,0.000
sc2.4_g3_16_ressofr_bkt0_run20_thr12_6,204,23,0,1975;1977;1981;1983;1984;1985;1986;1987;1988;1989;1990;1992;1993;1994;1997;1998;1999;2000;2001;2002;2003;2004;2005,125,23,1310.800,0.000
sc2.4_g3_16_ressofr_bkt0_run22_thr15_ALL,21,2,0,1987;1988,26,2,5172.200,0.000
sc2.4_g3_16_ressofr_bkt0_run22_thr18_ALL,9,1,0,1988,27,1,6832.500,0.000
sc2.4_g3_16_ressofr_bkt0_run22_thr20_ALL,9,1,0,1988,27,1,6832.500,0.000
sc2.4_g3_16_ressofr_bkt0_run22_thr20_10,9,1,0,1988,44,1,2213.000,0.000
sc2.4_g3_16_ressofr_bkt0_run22_thr12_6,187,22,0,1975;1977;1980;1981;1983;1984;1986;1987;1988;1989;1990;1991;1992;1993;1996;1997;1999;2000;2001;2002;2004;2005,115,22,404.300,0.000
sc2.4_g3_16_ressofr_bkt0_run25_thr15_ALL,20,2,0,1984;1988,21,2,2660.000,0.000
sc2.4_g3_16_ressofr_bkt0_run25_thr18_ALL,11,1,0,1988,22,1,5823.100,0.000
sc2.4_g3_16_ressofr_bkt0_run25_thr20_ALL,21,2,0,1987;1988,24,2,6627.700,0.000
sc2.4_g3_16_ressofr_bkt0_run25_thr20_10,19,2,0,1988;2004,31,2,3069.800,0.000
sc2.4_g3_16_ressofr_bkt0_run25_thr12_6,132,14,0,1979;1984;1986;1987;1988;1989;1990;1992;1994;2000;2001;2002;2004;2005,66,14,538.600,0.000
sc2.4_g3_16_ressofr_bkt2_run15_thr15_ALL,21,3,0,1988;2001;2005,15,3,1883.000,0.000
sc2.4_g3_16_ressofr_bkt2_run15_thr18_ALL,13,1,0,1988,31,1,8558.800,0.000
sc2.4_g3_16_ressofr_bkt2_run15_thr20_ALL,13,1,0,1988,31,1,8558.800,0.000
sc2.4_g3_16_ressofr_bkt2_run15_thr20_10,18,2,0,1988;2004,35,2,9155.800,0.000
sc2.4_g3_16_ressofr_bkt2_run15_thr12_6,105,11,0,1984;1986;1987;1988;1989;1990;1993;2000;2001;2004;2005,32,11,1872.900,0.000
sc2.4_g3_16_ressofr_bkt2_run18_thr15_ALL,28,3,0,1988;2001;2004,9,3,3886.300,0.000
sc2.4_g3_16_ressofr_bkt2_run18_thr18_ALL,12,1,0,1988,12,1,3886.300,0.000
sc2.4_g3_16_ressofr_bkt2_run18_thr20_ALL,13,1,0,1988,31,1,8558.800,0.000
sc2.4_g3_16_ressofr_bkt2_run18_thr20_10,13,1,0,1988,31,1,8558.800,0.000
sc2.4_g3_16_ressofr_bkt2_run18_thr12_6,78,8,0,1986;1987;1988;1989;1990;2000;2001;2004,17,8,4097.600,0.000
sc2.4_g3_16_ressofr_bkt2_run20_thr15_ALL,33,3,0,1987;1988;2004,6,3,5249.000,0.000
sc2.4_g3_16_ressofr_bkt2_run20_thr18_ALL,21,2,0,1988;2004,7,2,5858.600,0.000
sc2.4_g3_16_ressofr_bkt2_run20_thr20_ALL,12,1,0,1988,11,1,5249.000,0.000
sc2.4_g3_16_ressofr_bkt2_run20_thr20_10,12,1,0,1988,11,1,5249.000,0.000
sc2.4_g3_16_ressofr_bkt2_run20_thr12_6,47,4,0,1987;1988;2000;2004,10,4,5858.600,0.000
sc2.4_g3_16_ressofr_bkt2_run22_thr15_ALL,21,2,0,1988;2004,5,2,6044.500,0.000
sc2.4_g3_16_ressofr_bkt2_run22_thr18_ALL,21,2,0,1988;2004,7,2,7619.700,0.000
sc2.4_g3_16_ressofr_bkt2_run22_thr20_ALL,20,2,0,1988;2004,7,2,7619.700,0.000
sc2.4_g3_16_ressofr_bkt2_run22_thr20_10,20,2,0,1988;2004,7,2,7619.700,0.000
sc2.4_g3_16_ressofr_bkt2_run22_thr12_6,36,3,0,1988;2000;2004,5,3,6832.100,0.000
sc2.4_g3_16_ressofr_bkt2_run25_thr15_ALL,24,3,0,1988;2000;2004,3,3,9708.500,0.000
sc2.4_g3_16_ressofr_bkt2_run25_thr18_ALL,18,2,0,1988;2004,4,2,9155.800,0.000
sc2.4_g3_16_ressofr_bkt2_run25_thr20_ALL,18,2,0,1988;2004,4,2,9155.800,0.000
sc2.4_g3_16_ressofr_bkt2_run25_thr20_10,18,2,0,1988;2004,4,2,9155.800,0.000
sc2.4_g3_16_ressofr_bkt2_run25_thr12_6,24,3,0,1988;2000;2004,3,3,9708.500,0.000
sc2.4_g3_16_ressofr_bkt3_run15_thr15_ALL,34,3,0,1986;1987;1988,10,3,4935.000,0.000
sc2.4_g3_16_ressofr_bkt3_run15_thr18_ALL,13,1,0,1988,31,1,6509.700,0.000
sc2.4_g3_16_ressofr_bkt3_run15_thr20_ALL,13,1,0,1988,31,1,6509.700,0.000
sc2.4_g3_16_ressofr_bkt3_run15_thr20_10,13,1,0,1988,31,1,6509.700,0.000
sc2.4_g3_16_ressofr_bkt3_run15_thr12_6,55,5,0,1986;1987;1988;2000;2004,6,5,4935.000,0.000
sc2.4_g3_16_ressofr_bkt3_run18_thr15_ALL,20,3,0,1987;1988;2004,5,3,7607.800,0.000
sc2.4_g3_16_ressofr_bkt3_run18_thr18_ALL,18,2,0,1987;1988,9,2,7335.600,0.000
sc2.4_g3_16_ressofr_bkt3_run18_thr20_ALL,13,1,0,1988,31,1,6509.700,0.000
sc2.4_g3_16_ressofr_bkt3_run18_thr20_10,13,1,0,1988,31,1,6509.700,0.000
sc2.4_g3_16_ressofr_bkt3_run18_thr12_6,22,3,0,1987;1988;2004,3,3,7337.500,0.000
sc2.4_g3_18_rescash_bkt0_run15_thr15_ALL,29,3,0,1987;1988;1989,31,3,8149.100,0.000
sc2.4_g3_18_rescash_bkt0_run15_thr18_ALL,30,3,0,1988;2000;2004,31,3,13562.600,0.000
sc2.4_g3_18_rescash_bkt0_run15_thr20_ALL,30,3,0,1988;2000;2004,31,3,13562.600,0.000
