g,glide,runfrac,top_wr,early_floor
0.0,0.0,0.5,0.16,6.266
0.0,-0.005,0.5,0.16,6.266
0.0,-0.01,0.5,0.16,6.266
0.0,-0.015,0.5,0.16,6.266
0.02,0.0,0.45,0.16,5.836
0.02,-0.005,0.45,0.16,5.836
0.02,-0.01,0.45,0.16,5.836
0.02,-0.015,0.45,0.16,5.836
0.03,0.0,0.6,0.16,5.539
0.03,-0.005,0.6,0.16,5.539
0.03,-0.01,0.6,0.16,5.539
0.03,-0.015,0.45,0.16,5.758
