param,value,is_center,CAGR_OOS,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,Trades_yr
eps,0.005,False,0.368294,0.934250,-0.630686,0.185836,27.12
eps,0.01,False,0.368325,0.934301,-0.630686,0.185860,27.12
eps,0.015,True,0.368445,0.934500,-0.630874,0.185841,27.12
eps,0.02,False,0.368445,0.934500,-0.630874,0.185913,27.12
eps,0.03,False,0.367380,0.932721,-0.630429,0.186145,27.12
k_lo,0.05,False,0.368377,0.933938,-0.630712,0.185983,27.12
k_lo,0.08,False,0.369416,0.935751,-0.630809,0.185903,27.12
k_lo,0.1,True,0.368445,0.934500,-0.630874,0.185841,27.12
k_lo,0.12,False,0.367599,0.933721,-0.630939,0.185773,27.12
k_lo,0.15,False,0.366283,0.932379,-0.631036,0.185743,27.12
k_hi,0.65,False,0.368703,0.935151,-0.629201,0.183155,27.12
k_hi,0.7,False,0.368315,0.934405,-0.629844,0.184695,27.12
k_hi,0.75,False,0.368396,0.934467,-0.630413,0.185337,27.12
k_hi,0.8,True,0.368445,0.934500,-0.630874,0.185841,27.12
k_hi,0.85,False,0.368289,0.934196,-0.631307,0.185957,27.12
vz_thr,0.6,False,0.372216,0.928301,-0.628560,0.198767,27.12
vz_thr,0.65,False,0.404938,0.987689,-0.630010,0.200207,27.12
vz_thr,0.7,True,0.368445,0.934500,-0.630874,0.185841,27.12
vz_thr,0.75,False,0.352634,0.909865,-0.630874,0.176258,27.12
vz_thr,0.8,False,0.345375,0.897928,-0.630276,0.192497,27.12
N_lt2,600,False,0.311771,0.844215,-0.647165,0.222404,27.12
N_lt2,675,False,0.329091,0.873420,-0.561880,0.224781,27.12
N_lt2,750,True,0.368445,0.934500,-0.630874,0.185841,27.12
N_lt2,825,False,0.381107,0.950609,-0.640004,0.199239,27.12
N_lt2,900,False,0.370363,0.926573,-0.644256,0.157180,27.12
target_vol,0.65,False,0.315585,0.920787,-0.579924,0.175656,27.12
target_vol,0.72,False,0.341679,0.929589,-0.600534,0.179292,27.12
target_vol,0.8,True,0.368445,0.934500,-0.630874,0.185841,27.12
target_vol,0.88,False,0.377602,0.917808,-0.646935,0.185810,27.12
target_vol,0.95,False,0.395695,0.924161,-0.657515,0.194236,27.12
