seed,world,rule,p_labor0,labor_mean,term_real_med_M,cut_mean
20260631,nominal,1-noHOLD thr12M alloc20:20,0.833,1.9365,2911.2,
20260631,nominal,1-noHOLD thr20M alloc14:26,0.8385,2.1055,15177.6,
20260631,nominal,1-noHOLD thr18M alloc14:26,0.8385,2.1055,15177.6,
20260631,nominal,1-noHOLD thr16M alloc14:26,0.8385,2.1055,15177.6,
20260631,nominal,1-noHOLD thr14M alloc14:26,0.8785,1.445,7178.9,
20260631,nominal,1-noHOLD thr12M alloc14:26,0.872,1.5045,6460.8,
20260631,nominal,1-noHOLD thr10M alloc10:30,0.85,1.913,6985.2,
20260631,nominal,1-noHOLD thr8M alloc10:30,0.8605,1.7575,6884.6,
20260631,nominal,1-noHOLD thr6M alloc10:30,0.848,1.888,6479.1,
20260631,nominal,2-recover1 thr20M alloc20:20,0.7865,2.843,4520.0,
20260631,nominal,2-recover1 thr26M alloc20:20,0.8385,2.1055,15177.6,
20260631,nominal,2-recover2 thr20M alloc20:20,0.8515,1.791,5410.9,
20260631,nominal,2-recover2 thr26M alloc20:20,0.8385,2.1055,15177.6,
20260631,nominal,3a-dd20% immediate alloc20:20,0.8765,1.512,6509.4,
20260631,nominal,3b-dd20%+prevyear alloc20:20,0.7705,3.0015,3899.2,
20260631,nominal,3a-dd30% immediate alloc20:20,0.8765,1.509,5751.4,
20260631,nominal,3b-dd30%+prevyear alloc20:20,0.7625,3.0795,3154.0,
20260631,nominal,3a-dd40% immediate alloc20:20,0.8375,1.929,3931.0,
20260631,nominal,3b-dd40%+prevyear alloc20:20,0.702,3.698,1770.4,
20260631,nominal,4a-two_tranche thr1=26M(50%%)+thr2=20M(recover2),0.8165,2.111,6130.9,
20260631,nominal,4b-two_tranche thr1=20M(50%%)+thr2=10M(noHOLD),0.785,2.3445,2269.6,
20260631,nominal,5-res_prevyear thr20M alloc20:20,0.837,2.0275,4706.0,
20260631,nominal,6-drip25pct x4yr alloc20:20,0.748,3.088,4473.9,
20260631,floor,F1-noHOLD thr20M,0.997,0.0205,10563.9,2.489
20260631,floor,F2-recover2 thr20M,0.9935,0.0355,9089.6,2.7315
20260631,floor,F3-dd30%% immediate,0.9985,0.007,6748.6,2.7995
