wn_max,wg_frac,gold_kind,CAGR_FULL,CAGR_IS,CAGR_OOS,Sharpe_FULL,Sharpe_IS,Sharpe_OOS,MaxDD_FULL,Worst5Y,IS_OOS_Gap,pass_all,pass_core
0.800000,1.000000,cfd_5x,0.301360,0.276166,0.582933,0.790242,0.755095,1.096913,-0.921233,-0.248905,30.676717,False,False
0.850000,1.000000,cfd_5x,0.301360,0.276166,0.582933,0.790242,0.755095,1.096913,-0.921233,-0.248905,30.676717,False,False
0.950000,1.000000,cfd_5x,0.301360,0.276166,0.582933,0.790242,0.755095,1.096913,-0.921233,-0.248905,30.676717,False,False
0.900000,1.000000,cfd_5x,0.301360,0.276166,0.582933,0.790242,0.755095,1.096913,-0.921233,-0.248905,30.676717,False,False
0.900000,1.000000,tocom_3x,0.317770,0.302411,0.486016,0.865954,0.845307,1.059631,-0.820893,-0.135833,18.360562,False,False
0.950000,1.000000,tocom_3x,0.317770,0.302411,0.486016,0.865954,0.845307,1.059631,-0.820893,-0.135833,18.360562,False,False
0.850000,1.000000,tocom_3x,0.317770,0.302411,0.486016,0.865954,0.845307,1.059631,-0.820893,-0.135833,18.360562,False,False
0.800000,1.000000,tocom_3x,0.317770,0.302411,0.486016,0.865954,0.845307,1.059631,-0.820893,-0.135833,18.360562,False,False
0.800000,0.800000,cfd_5x,0.314828,0.298315,0.496056,0.833630,0.812375,1.030347,-0.884162,-0.174968,19.774072,False,False
0.850000,0.800000,cfd_5x,0.314828,0.298315,0.496056,0.833630,0.812375,1.030347,-0.884162,-0.174968,19.774072,False,False
0.950000,0.800000,cfd_5x,0.314828,0.298315,0.496056,0.833630,0.812375,1.030347,-0.884162,-0.174968,19.774072,False,False
0.900000,0.800000,cfd_5x,0.314828,0.298315,0.496056,0.833630,0.812375,1.030347,-0.884162,-0.174968,19.774072,False,False
0.900000,0.800000,tocom_3x,0.322872,0.314753,0.413685,0.887044,0.879575,0.972197,-0.776882,-0.095735,9.893131,False,False
0.950000,0.800000,tocom_3x,0.322872,0.314753,0.413685,0.887044,0.879575,0.972197,-0.776882,-0.095735,9.893131,False,False
0.850000,0.800000,tocom_3x,0.322872,0.314753,0.413685,0.887044,0.879575,0.972197,-0.776882,-0.095735,9.893131,False,False
0.800000,0.800000,tocom_3x,0.322872,0.314753,0.413685,0.887044,0.879575,0.972197,-0.776882,-0.095735,9.893131,False,False
0.950000,0.600000,cfd_5x,0.323410,0.316092,0.406104,0.869211,0.863726,0.937882,-0.830337,-0.117202,9.001220,False,False
0.900000,0.600000,cfd_5x,0.323410,0.316092,0.406104,0.869211,0.863726,0.937882,-0.830337,-0.117202,9.001220,False,False
0.800000,0.600000,cfd_5x,0.323410,0.316092,0.406104,0.869211,0.863726,0.937882,-0.830337,-0.117202,9.001220,False,False
0.850000,0.600000,cfd_5x,0.323410,0.316092,0.406104,0.869211,0.863726,0.937882,-0.830337,-0.117202,9.001220,False,False
0.850000,0.600000,tocom_3x,0.325591,0.324906,0.341518,0.899961,0.906308,0.869768,-0.722950,-0.067576,1.661164,False,False
0.800000,0.600000,tocom_3x,0.325591,0.324906,0.341518,0.899961,0.906308,0.869768,-0.722950,-0.067576,1.661164,False,False
0.900000,0.600000,tocom_3x,0.325591,0.324906,0.341518,0.899961,0.906308,0.869768,-0.722950,-0.067576,1.661164,False,False
0.950000,0.600000,tocom_3x,0.325591,0.324906,0.341518,0.899961,0.906308,0.869768,-0.722950,-0.067576,1.661164,False,False
0.950000,0.400000,cfd_5x,0.327044,0.329342,0.314262,0.891608,0.903411,0.816255,-0.752504,-0.074580,1.508025,False,False
0.900000,0.400000,cfd_5x,0.327044,0.329342,0.314262,0.891608,0.903411,0.816255,-0.752504,-0.074580,1.508025,False,False
0.800000,0.400000,cfd_5x,0.327044,0.329342,0.314262,0.891608,0.903411,0.816255,-0.752504,-0.074580,1.508025,False,False
0.850000,0.400000,cfd_5x,0.327044,0.329342,0.314262,0.891608,0.903411,0.816255,-0.752504,-0.074580,1.508025,False,False
0.850000,0.400000,tocom_3x,0.325921,0.332825,0.269860,0.903431,0.923877,0.754085,-0.658404,-0.051999,6.296519,False,False
0.800000,0.400000,tocom_3x,0.325921,0.332825,0.269860,0.903431,0.923877,0.754085,-0.658404,-0.051999,6.296519,False,False
0.900000,0.400000,tocom_3x,0.325921,0.332825,0.269860,0.903431,0.923877,0.754085,-0.658404,-0.051999,6.296519,False,False
0.950000,0.400000,tocom_3x,0.325921,0.332825,0.269860,0.903431,0.923877,0.754085,-0.658404,-0.051999,6.296519,False,False
