Category,Strategy,Sharpe,CAGR,MaxDD,Worst5Y,Trades,Trades/Year
T4-Super,Union DD∩MV(13v(All) 6/13) × S+T,0.8631103043658926,0.23510603229248184,-0.5244568260676236,-0.051538606756279415,749,15.804069329314242
Baseline,Ens2(Slope+TrendTV) Th=20%,0.8630376241651522,0.23513708557501523,-0.5244568260676239,-0.04673446796584402,744,15.698568198944988
T4-Super,Union DD∩MV(11v(S1-S11) 3/11) × S+T,0.8630376241651522,0.23513708557501523,-0.5244568260676239,-0.04673446796584402,744,15.698568198944988
T4-Super,Union DD∩MV(11v(S1-S11) 4/11) × S+T,0.8630376241651522,0.23513708557501523,-0.5244568260676239,-0.04673446796584402,744,15.698568198944988
T4-Super,Union DD∩MV(13v(All) 5/13) × S+T,0.8630376241651522,0.23513708557501523,-0.5244568260676239,-0.04673446796584402,744,15.698568198944988
T3-Inter,"Inter DD∪MV(3v(S1,S5,S7) 3/3) × S+T",0.8630376241651522,0.23513708557501523,-0.5244568260676239,-0.04673446796584402,744,15.698568198944988
T4-Super,Union DD∩MV(13v(All) 3/13) × S+T,0.8630376241651522,0.23513708557501523,-0.5244568260676239,-0.04673446796584402,744,15.698568198944988
T4-Super,Union DD∩MV(13v(All) 4/13) × S+T,0.8630376241651522,0.23513708557501523,-0.5244568260676239,-0.04673446796584402,744,15.698568198944988
T2-Union,"Union DD∩MV(3v(S1,S5,S7) 2/3) × S+T",0.8626731926635249,0.23499523455710158,-0.5244568260676239,-0.04673446796584402,745,15.719668425018838
T4-Super,Union DD∩MV(11v(S1-S11) 5/11) × S+T,0.8607226495507341,0.23429743520797608,-0.5244568260676239,-0.05153860675627986,748,15.78296910324039
Baseline,Ens2(Asym+Slope) Daily,0.8603842965877991,0.2373936218107615,-0.5339480130591221,-0.056280275596476415,4892,103.22230595327807
Baseline,Ens2(Slope+TrendTV) Daily,0.8593092444254797,0.2405041334137834,-0.5329745282438979,-0.05660880786822986,4907,103.53880934438583
T2-Union,"Union DD∩MV(5v(S1,S3,S7,S9,S13) 3/5) × S+T",0.8590360846200502,0.23301278981599682,-0.5244568260676233,-0.042159907423100496,748,15.78296910324039
T2-Union,"Union DD∩MV(5v(S1,S3,S7,S9,S13) 3/5) × A+S",0.8552747048806574,0.2298899803008616,-0.5254480654898889,-0.0444511278012647,765,16.141672946495856
T2-Union,"Union DD∩MV(3v(S1,S5,S7) 2/3) × A+S",0.8520730340574305,0.22955326074708315,-0.5254480654898891,-0.04901474567579234,762,16.0783722682743
T2-Union,Union DD∩MV(11v(S1-S11) 6/11) × S+T,0.8518214870863208,0.23073729682048905,-0.5244568260676236,-0.0735038257388333,753,15.888470233609645
T4-Super,Union DD∩MV(11v(S1-S11) 6/11) × S+T,0.8518214870863208,0.23073729682048905,-0.5244568260676236,-0.0735038257388333,753,15.888470233609645
Baseline,Ens2(Asym+Slope) Th=20%,0.8505409673458628,0.22911442217433997,-0.5254480654898891,-0.04901474567579234,760,16.0361718161266
T3-Inter,"Inter DD∪MV(3v(S1,S5,S7) 3/3) × A+S",0.8505409673458628,0.22911442217433997,-0.5254480654898891,-0.04901474567579234,760,16.0361718161266
T3-Inter,"Inter DD∪MV(3v(S1,S5,S7) 2/3) × S+T",0.8487646504073969,0.24059523015665163,-0.7402550586867018,-0.07886675555135436,831,17.534287867370008
T1-Replace,"Replace 3v(S1,S5,S7) th=2/3=50% × S+T",0.848416477180654,0.24045275229061414,-0.7402550586867018,-0.07886675555135436,832,17.555388093443856
T2-Union,Union DD∩MV(13v(All) 7/13) × S+T,0.8475010928757306,0.22929855222116902,-0.5244568260676232,-0.056109587212113454,754,15.909570459683495
T4-Super,Union DD∩MV(13v(All) 7/13) × S+T,0.8475010928757306,0.22929855222116902,-0.5244568260676232,-0.056109587212113454,754,15.909570459683495
T2-Union,Union DD∩MV(11v(S1-S11) 6/11) × A+S,0.8441452944135452,0.22632953473075257,-0.5254480654898885,-0.07572006927594266,771,16.26827430293896
T2-Union,"Union DD∩MV(5v(S1,S3,S7,S9,S13) 4/5) × S+T",0.8418636389875579,0.22428472521319787,-0.5244568260676234,-0.06094878534702197,726,15.318764129615673
T2-Union,Union DD∩MV(13v(All) 7/13) × A+S,0.8400038556105786,0.22495787050310656,-0.5254480654898889,-0.05836743898225061,774,16.33157498116051
T4-Super,Union DD∩MV(11v(S1-S11) 7/11) × S+T,0.839306676220455,0.22574116652186116,-0.5244568260676234,-0.07579252311352047,747,15.76186887716654
T2-Union,"Union DD∩MV(5v(S1,S3,S7,S9,S13) 4/5) × A+S",0.8389538799590829,0.22098987152013283,-0.5254480654898893,-0.061609505495967776,744,15.698568198944988
T1-Replace,"Replace 3v(S1,S5,S7) th=2/3=50% × A+S",0.8375365154860329,0.2348121391456417,-0.742266376472786,-0.08283179571722665,844,17.808590806330066
T3-Inter,"Inter DD∪MV(3v(S1,S5,S7) 2/3) × A+S",0.8361147033935075,0.23437142363209063,-0.742266376472786,-0.08283179571722665,842,17.766390354182366
T2-Union,Union DD∩MV(13v(All) 9/13) × S+T,0.8358797024292055,0.22354981350492098,-0.5244568260676233,-0.06452869325702926,730,15.403165033911076
T4-Super,Union DD∩MV(13v(All) 9/13) × S+T,0.8358797024292055,0.22354981350492098,-0.5244568260676233,-0.06452869325702926,730,15.403165033911076
T2-Union,"Union DD∩MV(7v(S1,S3-5,S7,S8,S11) 4/7) × S+T",0.8338783573650448,0.22298654163670184,-0.5244568260676237,-0.08192025056513164,730,15.403165033911076
