YearMonth,DH Dyn 2x3x,DH Dynamic CAGR25+,A2 Optimized,Ens2(Asym+Slope),DD Only,BH 3x,BH 1x
2021-01,1.5482862277313103,1.777651048502471,2.8704727954917963,3.2474085114415185,3.247408511441452,3.2474085114414963,1.4153180497023854
2021-02,-0.33269526197563515,0.4178500118459105,1.627755740598813,1.536360007308235,1.7038774135657242,1.703877413565702,0.9307785204732966
2021-03,-3.0604424569497746,-1.7836903592160391,-0.3911718342873516,0.3468387429306885,-1.056794071054035,-1.056794071054035,0.4132736746364385
2021-04,5.959085807805131,4.771940019963217,5.882264681228633,3.468323027351538,16.365995628936126,16.365995628936126,5.403612813274172
2021-05,-1.3149476565928242,-2.1900516005339377,-5.934102256568385,-5.405133641468762,-5.481302766845476,-5.481302766845476,-1.5322234585734118
2021-06,5.039521008148973,5.059347215296328,9.847653646198571,6.446751222092728,16.972613024730855,16.972613024730833,5.492939338902492
2021-07,3.6289567973201153,2.936632825956797,2.953406508393664,2.712677481406089,3.0988906003027727,3.0988906003027727,1.1633347461578625
2021-08,8.691247612789187,8.352500384301242,11.387264284442011,8.144807500588524,12.063005475726785,12.063005475726762,3.997637509763852
2021-09,-7.698032378406461,-6.365005238288446,-7.873542449358739,-7.685433561731592,-15.661676272411183,-15.661676272411196,-5.312585317477336
2021-10,8.019258039738574,7.255412179485909,10.239954076817993,8.128897902050468,22.680361070352006,22.680361070352006,7.265832106934167
2021-11,4.2915541986861205,3.564907681180318,4.966229732321414,0.7865958424170261,0.0571096979138374,0.0571096979138596,0.2535797727473143
2021-12,-0.096400060095847,-0.0226671660478294,0.7854528742709199,0.0010261733683458,0.5695397386688006,0.5695397386688006,0.6904455804449761
2022-01,-9.603094329819895,-7.969544343951707,-10.365694538859517,-15.91941916674442,-26.246911479100387,-26.246911479100376,-8.981096597230199
2022-02,2.5977679046546465,1.4642698407684396,-1.558433025888284,-4.1500839942033245,-17.180353651361568,-12.029432826773345,-3.4303624483314143
2022-03,-3.0520019999025205,-0.743744788288736,0.0,0.0,0.0,7.496588721849351,3.411428125857064
2022-04,-3.080761325180048,-1.06898039721377,0.0,0.0,0.0,-36.61464200943989,-13.26168062051617
2022-05,-1.7049000400334302,-0.919801516331442,0.0,0.0,0.0,-10.24694823424812,-2.0531609128287887
2022-06,-1.6634262196417726,-0.8189855091831122,0.0,0.0,0.0,-26.6580806180883,-8.712982899269706
2022-07,0.513393405336493,-0.2176763275356541,0.0,0.0,0.0,39.23571931106742,12.349100317618287
2022-08,-3.5719928101247134,-1.537208019691394,0.0,0.0,0.0,-14.800885775512318,-4.63646668952803
2022-09,-4.640475744301131,-1.949216886109584,0.0,0.0,0.0,-29.907174110391665,-10.498976469754972
2022-10,-2.9796908168821967,-1.3213283830389444,0.0,0.0,0.0,9.160116342291902,3.900766752836127
2022-11,6.3447203111819395,3.1342863850315705,0.0,0.0,0.0,10.099890809119149,4.366973442449473
2022-12,0.9150363337427692,0.6997950289512778,0.0,0.0,0.0,-25.063871476439324,-8.73316647410185
2023-01,4.145954052092438,2.038586422494637,0.0,0.0,0.0,33.9523511638867,10.68238114307618
2023-02,-11.708626905846165,-9.935459418440107,-11.572662075861118,-11.572662075861109,-11.57266207586114,-4.5930070624352055,-1.1136364191968728
2023-03,19.16797515431532,16.69381114116455,19.965343911254152,19.965343911254152,19.96534391125413,19.96534391125413,6.689951888555545
2023-04,-0.2544282078354332,-0.3014597075851499,-0.4914450927922531,-2.2438186107556213,-0.491445092792242,-0.491445092792242,0.0382094272932675
2023-05,8.541415913942618,8.3366750627333,12.399720631065492,10.740234394102854,17.53421150503607,17.534211505036023,5.79646930220068
2023-06,14.694653536083413,14.09560474140874,20.298250256615667,16.030899822007516,20.298250256615717,20.29825025661569,6.591501854521198
2023-07,10.046227292124676,9.420636263569149,12.062482165422562,11.671204845359416,12.062482165422516,12.062482165422605,4.047743332839904
2023-08,-10.15767740488689,-9.681209649150812,-12.029194634198426,-7.545159307137594,-7.184121339639427,-7.184121339639438,-2.168195881860746
2023-09,-8.03872391532684,-6.168684676849379,-7.897416124054269,-10.472616915711251,-16.92584615215289,-16.925846152152914,-5.811550932801845
2023-10,-5.273305999018618,-5.1946717278759,-9.655190017960312,-11.845202019911994,-9.042592316459183,-9.042592316459253,-2.7844100106791947
2023-11,11.11032252993529,8.656622608380825,12.642300819566476,13.479845841974614,34.72574420278936,34.72574420278938,10.69919686435905
2023-12,13.493580667490646,11.24895431472317,14.780312081573577,13.922841917937646,17.009579474050106,17.009579474050106,5.518893268227432
2024-01,1.2420054063270403,1.2902343226264934,2.140035205320401,2.4114808232980067,2.3230885120684386,2.323088512068461,1.016964898043926
2024-02,10.656484518680443,10.405298736609602,16.202090063066834,17.01588517542334,18.59044304179649,18.590443041796533,6.119160898679077
2024-03,2.9005673926700837,1.710420980395155,0.9302151256766368,0.1264680496255277,4.9156460348396935,4.915646034839671,1.786859743638325
2024-04,-4.201755965797338,-3.012232362148337,-5.753190683091203,-3.9816992469835832,-13.56178223997505,-13.56178223997503,-4.405759714657853
2024-05,5.0005444596113335,3.3930332335907254,5.662137159968883,5.945293932955975,21.49288767504793,21.49288767504791,6.879624349054803
2024-06,12.533442361114822,11.451573232998058,15.387559884806734,17.902692503744653,18.450728559349884,18.450728559349884,5.9610332468520655
2024-07,-0.8039420706907552,-1.318669525080307,-5.022954579430272,-6.008568581202455,-3.636707971130648,-3.636707971130626,-0.7511544933297865
