Strategy,CAGR_OOS_pct,cum_CAGR_OOS_pct,cum_CAGR_IS_pct,min_CAGR_pct,IS_OOS_gap_pp,Sharpe_OOS,MaxDD_FULL_pct,Worst10Y_CAGR_pct,P10_5Y_CAGR_pct,Trades_yr,WFA_WFE,WFA_CI95_lo_pct
vz=0.65+l5+F10ε ★new,18.9304,18.9304,20.1563,18.9304,1.2260,0.8408,-56.7229,12.6692,8.7452,86.2860,1.3890,19.5623
vz=0.65+l5.5+F10ε ★new,19.6514,19.6514,20.3812,19.6514,0.7298,0.8325,-59.8711,12.4619,7.9230,91.2654,1.3733,19.9026
vz=0.65+l7+F10ε (REF),21.4943,21.4943,20.2278,20.2278,-1.2665,0.8294,-65.9538,9.9600,4.0528,105.4415,1.3694,19.8531
