forward_days,bin,N,mean,median,std,pos_rate,worst,q25,q75
5,=0%,2619,0.12433303017027084,0.2586972280856248,4.193558217831625,53.188239786177924,-17.572491050950124,-2.0899191043395327,2.421562944410327
5,0-10%,392,-0.5836694599681254,-0.09174538999785486,4.224250208411683,49.234693877551024,-25.304683661254867,-2.7086058716752515,2.2060451345353673
5,10-20%,611,0.2955101903743322,0.43909759348388366,2.9901077502775473,56.301145662847794,-20.44970272189349,-1.3917285387256395,2.274396653401556
5,20-30%,663,0.061981163952809344,0.320111036005577,2.6653903296640364,55.203619909502265,-14.097454680837107,-1.4270706877371364,1.7562690212570065
5,30-40%,738,0.002477639090185373,0.4143805208048468,2.7614383229648656,56.233062330623305,-17.837963142786727,-1.6335914651144563,1.792173740890679
5,40-50%,701,0.2970132528845457,0.6210230084860324,2.5368515121196524,59.486447931526385,-16.812930254041568,-0.9147085868534077,1.680672268907557
5,50-60%,591,0.29472263090061795,0.5624194971327823,2.661539779874397,60.40609137055838,-24.609016318556108,-0.8147186124780881,1.809861630801135
5,60-70%,560,0.29921307748653336,0.5002974154105555,2.281667839099368,59.10714285714286,-7.945345653434066,-0.8693345039575723,1.687863379056781
5,70-80%,603,0.3225809149571092,0.5188265933621761,2.216601683044381,59.03814262023217,-7.3220817607949185,-0.9776865070950491,1.654452012600005
5,80-90%,653,0.4428366487915331,0.44456381450674876,1.945103748006462,59.724349157733535,-5.028009262517196,-0.7766561794359417,1.7100682588119032
5,90-100%,527,0.4925118065449394,0.5497082940779441,2.105733731849008,63.37760910815939,-7.430538107485862,-0.5675174878226108,1.899602547911139
5,=100%,4206,0.4186222367868312,0.5649170565611983,2.041227769809462,61.72135045173561,-12.147399603961462,-0.7447330506332978,1.652086306877798
10,=0%,2619,0.24788692679873997,0.45473318134452434,5.772024761113563,53.45551737304315,-24.762530180212817,-3.096522610006991,3.743788798631076
10,0-10%,392,-0.8206078948606649,-0.33049543655472857,5.019944053661372,46.683673469387756,-21.679545991181403,-3.5691120626421045,2.3561662348989207
10,10-20%,611,0.2911728233347937,0.7477661461851248,4.375295408133918,57.93780687397708,-27.36904756249725,-2.1261744405610514,3.250955950501222
10,20-30%,659,0.3130465150050867,0.8406070297340085,3.80593217832939,59.028831562974204,-18.839660378346256,-2.1026294313132574,2.7378747800416936
10,30-40%,737,0.09223291723748886,0.6117815815164462,3.9254008627877113,56.17367706919946,-31.846835821064744,-2.2757840092699877,2.652323604657858
10,40-50%,701,0.6823114619517016,0.9112699096360366,3.6092615723259933,63.195435092724686,-30.969978290993073,-1.4434384655889532,2.8068693272752743
10,50-60%,591,0.6368884799220453,1.0301988941506357,3.855859026304598,64.46700507614213,-31.853726730093655,-1.1128443309256553,2.7269920756939126
10,60-70%,560,0.5762857234037588,0.9508530358515954,3.3250576515387062,63.92857142857142,-15.094981982553646,-1.1513910038755988,2.571241935307661
10,70-80%,603,0.5840386582713992,0.7288452506285292,3.466319005008247,60.86235489220564,-25.068429631410993,-1.1706058559979804,2.6099287307463026
10,80-90%,653,0.6556498214271105,0.7613813778793777,3.077375001008391,62.17457886676876,-20.850204846825847,-1.0034882064620554,2.5540275344090535
10,90-100%,527,1.1427933767737795,1.1682821623444362,3.0153345745838696,68.50094876660341,-9.059667314295305,-0.5293066442730476,3.0480293930851277
10,=100%,4206,0.8128234015046015,0.9691754974052724,2.9487462189481923,64.075130765573,-26.74860603351956,-0.8162336532828357,2.610499223902718
20,=0%,2619,0.4780927739264152,0.82531356340525,8.321849038478156,54.10462008400153,-28.91487507923227,-4.4237172961060605,5.801495353469011
20,0-10%,392,-0.5665676329137908,-0.11278985210211312,5.68208968118461,48.724489795918366,-20.502089702252213,-3.87674834197759,2.732100267580617
20,10-20%,611,0.9062758619102158,1.4616363380725028,5.294883829447055,59.41080196399346,-23.31360946745562,-2.302160398852693,4.656414745946313
20,20-30%,649,0.844644373792182,1.6056111154162833,5.430831956789421,61.94144838212635,-25.599594428464457,-2.352729845905699,4.295037737905538
20,30-40%,737,0.6823270042312792,1.332447182345109,5.8516869719179025,58.61601085481682,-30.77948867604674,-2.9385482191178203,4.249942685502672
20,40-50%,701,1.5823638771045754,2.121640735502117,5.536394440616026,64.62196861626248,-29.83157202632021,-2.0728274509803857,5.083091008467089
20,50-60%,591,1.4055649755287543,2.0274893470790367,5.5507088038612045,66.66666666666666,-27.50689496339176,-1.7326061852687091,4.890608152776688
20,60-70%,560,1.1254831759106136,1.6518451619518482,4.872145778259966,64.82142857142857,-23.821396904223114,-1.6436352519468234,4.607760152386209
20,70-80%,603,1.2819727423766925,1.4146914584699966,4.592270296727453,64.01326699834162,-25.863633636363637,-1.3438761593990989,4.1627302159952695
20,80-90%,653,1.0788899180579894,1.2727313810500185,4.39998544831972,64.62480857580398,-28.002698677426462,-1.2483314617885433,3.7760834753860273
20,90-100%,527,1.664563364507642,1.947531416563275,4.5543418061015455,69.25996204933587,-32.42143293931087,-0.5395828592275609,4.293810941476417
20,=100%,4206,1.4587953412859829,1.7244756363215208,4.76167039375338,67.99809795530194,-34.301147449051925,-0.8520810234416171,4.241106614315527
60,=0%,2619,2.0297038925299775,1.9958371548698395,15.484406910356807,54.63917525773196,-44.75793857842717,-7.648770004487138,11.83818736099499
60,0-10%,392,3.3847030199789594,4.590162038860013,8.610764640899806,67.60204081632652,-20.76646994011977,-2.0761848747451435,9.776552476094608
60,10-20%,611,4.343795503012125,4.855168439229596,8.329506444491063,69.23076923076923,-26.810618621539117,-1.242143585248695,9.817614023674814
60,20-30%,649,2.9593587322196324,3.398832440233268,9.474430288977585,67.18027734976889,-28.279813761467885,-2.4888915555555613,8.141818206474749
60,30-40%,737,3.5206311764047724,3.3699151251866954,9.419858639962106,68.65671641791045,-22.18165434463749,-2.0485701559160407,8.636606997177388
60,40-50%,701,5.410309048381863,5.588827736527713,9.849546298456255,77.31811697574894,-33.9571603156708,0.8423011053022567,11.278666017728689
60,50-60%,587,3.8508685452839457,4.402522489325467,9.038630041595479,73.42419080068143,-33.93097712422294,-0.5117951079708971,9.132562950447987
60,60-70%,554,4.404116358434779,4.43867400746718,8.58706485756532,73.28519855595668,-28.50283775199901,-0.7203495748460298,8.871054594676398
60,70-80%,595,2.7467329492874257,3.202535894089853,8.00338873176153,65.88235294117646,-22.23179636771836,-2.1457228658052996,7.353932146015607
60,80-90%,643,2.9132590285289166,3.551341626219351,8.179599134226786,68.27371695178849,-29.34027463559743,-1.7620987300669355,7.572181539829382
60,90-100%,518,3.5307465061759395,4.175472026290883,7.884204868676116,71.81467181467181,-26.577372170819025,-0.5886704902311107,7.855202734483524
60,=100%,4203,3.3805314585142905,3.7228929790209753,9.336169956886552,68.8555793480847,-32.999656240285866,-1.7934480283003817,8.980321372765443
250,=0%,2594,14.607551280051426,17.347425357485847,34.1725986424107,68.61989205859676,-63.18358718366011,-14.546433721929445,38.94574319011995
250,0-10%,387,14.807626826536529,18.98728829559806,21.866922202526617,81.65374677002583,-61.59866466216732,8.637070846392959,26.652267623747015
250,10-20%,611,14.044988371523834,18.24146982047974,20.477477734873514,76.92307692307693,-60.187238210341384,2.1286736314489185,25.571776926209964
250,20-30%,647,12.415511703770093,15.551794763212513,18.976239007275243,80.370942812983,-61.8183885913973,3.4730276611762423,23.830788781196475
250,30-40%,733,12.623876929950235,14.621368364543109,19.340104700749784,77.35334242837654,-62.95538342935134,2.4253787992176923,24.008688516827092
250,40-50%,693,12.390950136089296,13.679241779821627,19.176388421315952,77.92207792207793,-61.76327700600331,1.9708819708846637,24.814324135415067
250,50-60%,579,12.665577725102791,13.34750660150501,18.939330691451527,78.58376511226253,-61.10402957609917,2.4345153366694183,23.895425253130043
250,60-70%,545,13.724447128561591,13.280712710532239,16.83084489902631,81.10091743119267,-42.35047186290768,4.028360817514276,23.51659964751751
250,70-80%,585,13.404575169993311,12.350037294667459,18.96501722307706,79.65811965811966,-49.05094667288442,4.123597012479219,23.675830959346754
250,80-90%,628,14.05542058731923,13.690410370441786,17.510162796408377,83.7579617834395,-44.652820592685735,5.051940585894199,23.164219310667484
250,90-100%,509,14.072050729905152,12.98439350396885,18.593398417085005,80.15717092337917,-50.86375127708849,3.7577818216691705,24.090554678489283
250,=100%,4108,15.315226075856462,15.008004148423904,19.225391680610205,83.20350535540409,-58.16834042936729,4.71160133036253,26.639121497223876
