CAGR,MaxDD,Sharpe,Sortino,Calmar,Trades,Worst5Y,WinRate,Strategy,Category,Switches
0.28579109489517807,-0.481748152488071,1.0313501394979727,1.1351556283406494,0.5932375524828916,30,0.014116569198921125,0.7872340425531915,Ens2(Asym+Slope) Continuous,Original,4892
0.34712700698580945,-0.5153664084791223,1.0339321352302648,1.0604694640307941,0.6735538080764759,30,-0.05786068075291362,0.723404255319149,Binary(th=0.3),A-Binary,475
0.2889343026196831,-0.5485925988601986,0.9819659448277006,0.9142562177174176,0.526682830245973,30,-0.07677243861229921,0.7021276595744681,Binary(th=0.5),A-Binary,595
0.256917283157984,-0.4817058829141103,0.9910718193151971,0.8324814022726639,0.5333488592743493,30,-0.0237124522379919,0.7659574468085106,Binary(th=0.7),A-Binary,599
0.2790470148271851,-0.4817058829141103,0.989310114335867,1.0671878347297974,0.5792891985023567,30,0.014247902859328088,0.7659574468085106,3-Level(0x/1x/3x),B-3Level,618
0.281776090687603,-0.4817058829141103,1.0063913498230908,1.1005759424730264,0.5849546386749123,30,0.005737366030195146,0.7446808510638298,4-Level(0x/1x/2x/3x),C-4Level,1189
0.25123438676638377,-0.7193978733124169,0.7879112777433569,0.7545965927806487,0.349228703734684,30,-0.191049851954034,0.723404255319149,Binary(th=0.3)+7day,D-Delayed,322
0.2529514790286227,-0.703610641652023,0.843123511422757,0.7338112401138478,0.35950490804788326,30,-0.13550903668900594,0.7446808510638298,Binary(th=0.5)+7day,D-Delayed,377
0.2305738786836582,-0.7557042888417697,0.8005927632982278,0.8025527400592105,0.3051112479949628,30,-0.16629745400953588,0.7446808510638298,4-Level+7day,E-Delayed,646
0.28463035133354286,-0.481748152488071,1.0136781682374634,1.1046442937024306,0.5908281118744734,30,0.01355587188559837,0.7659574468085106,Ens2(Slope+TrendTV) Continuous,Original,4907
0.35423910955015603,-0.5161907783843991,1.044449755294969,1.0648678859370584,0.6862561757861544,30,-0.054787906185324586,0.723404255319149,Binary(th=0.3),A-Binary,473
0.28677620819106386,-0.5709635469877645,0.9658638854337144,0.9028927301759747,0.5022671056742776,30,-0.08495215995960004,0.7021276595744681,Binary(th=0.5),A-Binary,589
0.25716322617726206,-0.4817058829141103,0.9700980289384638,0.8123788692002423,0.5338594260496401,30,-0.023712452237992232,0.7446808510638298,Binary(th=0.7),A-Binary,591
0.2889578022672705,-0.4817058829141103,1.0028572980219361,1.077241973898707,0.5998635526707748,30,0.00920173116306544,0.7659574468085106,3-Level(0x/1x/3x),B-3Level,624
0.28305899416352287,-0.4817058829141103,0.9968914667757589,1.0798359276220295,0.5876178892629244,30,-0.0002282136929643297,0.7446808510638298,4-Level(0x/1x/2x/3x),C-4Level,1211
0.246557786720059,-0.703610641652023,0.8208154860595631,0.7101179402630515,0.35041793305052993,30,-0.13550903668900594,0.723404255319149,Binary(th=0.5)+7day,D-Delayed,373
0.21484969971929235,-0.7717206869518936,0.7568581464492906,0.7461009210620906,0.2784034474544096,30,-0.1775678751010118,0.723404255319149,4-Level+7day,E-Delayed,649
