gate_min,CAGR_IS,CAGR_OOS,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,IS_OOS_gap,Trades_yr
0.200000,0.310653,0.312876,0.860533,-0.595664,0.171800,0.092979,-0.002223,27.115499
0.300000,0.310884,0.312321,0.859503,-0.595677,0.172803,0.092979,-0.001438,27.115499
0.400000,0.311704,0.311714,0.858340,-0.595193,0.175186,0.093415,-0.000011,27.115499
0.500000,0.313338,0.311578,0.857711,-0.594515,0.180972,0.093564,0.001760,27.115499
0.600000,0.316172,0.312877,0.859806,-0.593213,0.190212,0.096118,0.003295,27.115499
0.700000,0.319552,0.312977,0.859214,-0.592353,0.191477,0.098755,0.006574,27.115499
0.800000,0.324562,0.314336,0.860223,-0.596900,0.197273,0.101243,0.010226,27.115499
