label,cagr,maxdd,sharpe,worst5y,scale,max_soxl_w,mean_soxl_w,fixed_frac
ベースライン（SOXL なし）,0.31400363648805163,-0.33392777160171494,1.2967055991873957,0.05161651639562903,,,,
"scale=0.10 (max_frac=2%→max_w=1.6%,avg=1.4%)",0.3140922089427989,-0.33392777160171494,1.2928020751262463,0.04978046036703043,0.1,0.015999999999999997,0.014199981871538142,
"scale=0.25 (max_frac=5%→max_w=4.0%,avg=3.5%)",0.3140892543228133,-0.33392777160171494,1.285805747982859,0.046131736341069374,0.25,0.039999999999999994,0.03549995467884536,
"scale=0.50 (max_frac=10%→max_w=8.0%,avg=7.1%)",0.31618697385922645,-0.33392777160171494,1.2761340800069287,0.038023937789843254,0.5,0.07999999999999999,0.07099990935769072,
"scale=1.00 (max_frac=20%→max_w=16.0%,avg=14.2%)",0.3143121278441261,-0.33392777160171494,1.238058075173537,0.023492029059900332,1.0,0.15999999999999998,0.14199981871538145,
"scale=2.00 (max_frac=40%→max_w=32.0%,avg=28.4%)",0.3162687907288997,-0.3647959014430071,1.1692666717392828,-0.004378226746684533,2.0,0.31999999999999995,0.2839996374307629,
"固定frac=5% (max_w=4.0%,avg=3.9%)",0.3162981695580098,-0.33392777160171494,1.2904714780326239,0.045609138519036696,,0.04000000000000001,0.03928360579151527,0.05
"固定frac=10% (max_w=8.0%,avg=7.9%)",0.315588083215113,-0.33392777160171494,1.2720963450964629,0.03254954804115884,,0.08000000000000002,0.07856721158303054,0.1
"固定frac=15% (max_w=12.0%,avg=11.8%)",0.31612413113388693,-0.33392777160171494,1.2561373639808844,0.023854920698886062,,0.12,0.11785081737454575,0.15
"固定frac=20% (max_w=16.0%,avg=15.7%)",0.3169664761894553,-0.33392777160171494,1.2398795748149398,0.015183769834596905,,0.16000000000000003,0.15713442316606108,0.2
