Strategy,Sharpe,CAGR,MaxDD,Worst5Y,OOS_Sharpe,Y2022
A2 100% (reference),0.9119444963486295,0.23824355236294648,-0.46039732668497385,-0.0037072236277004844,0.7729679920310222,-18.9580807907879
80% A2 + 10% Gold + 10% Bond,0.9746100697689424,0.21422692470389704,-0.38050161508854846,0.011558193799315664,0.8407622251378813,-16.104920549286117
70% A2 + 15% Gold + 15% Bond,1.0138701830135481,0.20040460074632027,-0.33917795778719456,0.018113839648122854,0.8854911097677322,-14.706035322160693
60% A2 + 20% Gold + 20% Bond,1.060296589978714,0.1853885987539603,-0.2968695327518925,0.01818303178809,0.9392602929583118,-13.32589897450218
80% A2 + 20% Gold,0.9792097053725951,0.2163091352200659,-0.3914855394732285,0.013512387169361872,0.9164672174724261,-14.664953503330302
80% A2 + 20% Bond,0.9650146132636278,0.21165778112609202,-0.36951168988851585,0.008948543145294252,0.7597419863914932,-17.5551089594706
90% A2 + 5% Gold + 5% Bond,0.9410496037062421,0.226845074899668,-0.4208808018430479,0.004215175284219663,0.8037269344234006,-17.52234082958872
85% A2 + 10% Gold + 5% Bond,0.958958528295239,0.22128214027586957,-0.403475078239473,0.008598711758178057,0.8401189572113761,-16.449035537669587
