Strategy,CAGR,Sharpe,MaxDD,Worst5Y,WinRate,Trades,OOS_CAGR,OOS_Sharpe
Buy & Hold 1x,0.10979508229521051,0.610515828588509,-0.7793238629207799,-0.16769661202864572,0.75,0,0.09515279442465685,0.5240908122786426
Buy & Hold 3x,0.19210579330543043,0.5965469988199066,-0.9988956595737675,-0.6005570478057636,0.7307692307692307,0,0.11889847645474139,0.5113557611541671
DD(-18/92) Only,0.25581389609442806,0.7480877315178313,-0.7288015011412328,-0.1496693617629602,0.6538461538461539,34,0.14979447728025685,0.5446504786135785
Ens2(Asym+Slope),0.22200596266834394,0.8458347863837404,-0.48994691968476756,-0.003846987522592382,0.7307692307692307,34,0.10519336024017822,0.47911503609559863
A2 (VIX+MD60),0.25583147305233567,0.9977333780757675,-0.440921273945506,0.008777230888606047,0.7307692307692307,34,0.1485050405179824,0.6225030750713988
Dyn-Hybrid Static (50/25/25) *,0.17660052335341048,1.1978365430185847,-0.2292452643455292,0.023355507278773002,0.8076923076923077,N/A,0.13266500682734028,0.8670775964006018
Dyn-Hybrid (lev+vix) *,0.23384751776656598,1.174062816367333,-0.29422148471379295,0.022978274001486332,0.8076923076923077,N/A,0.1575968080231651,0.7691406520081296
