CAGR,MaxDD,Sharpe,Sortino,Calmar,Trades,Worst5Y,WinRate,Strategy,Category,Delay,Rebalances,Rebal/Year
0.23513708557501523,-0.5244568260676239,0.8630376241651522,0.9160005042740409,0.44834402735888207,30,-0.04673446796584402,0.7021276595744681,BASELINE: Ens2(S+T) Th20%,Baseline,5,744,15.698568198944988
0.2365867501770451,-0.5057982661457524,0.8924687765091174,0.9334525543489183,0.4677492312891194,30,-0.009113114308973103,0.723404255319149,BEST(DirB): MomDecel(40/120)+Ens2(S+T),DirB-Best,5,894,18.863602110022605
0.21916705325075614,-0.5057982661457524,0.8410699425076131,0.8740854914604753,0.4333092221150483,30,-0.06124026672166483,0.723404255319149,"VR(Linear,All13) × Ens2(S+T)",P2-Map,5,735,15.508666164280331
0.2242275699037033,-0.5121097480575503,0.8452469668837966,0.8865676692413552,0.4378506184547475,30,-0.052193346862955625,0.7021276595744681,"VR(Centered50,All13) × Ens2(S+T)",P2-Map,5,739,15.593067068575733
0.22861563823669995,-0.5170788555525175,0.849899277119116,0.8954053919189049,0.4421291564754003,30,-0.046769655073435334,0.7021276595744681,"VR(Centered70,All13) × Ens2(S+T)",P2-Map,5,747,15.76186887716654
0.23081897714599875,-0.5243535965804186,0.8524117136791959,0.8993675422107684,0.4401971849745837,30,-0.05227345637850522,0.7021276595744681,"VR(Thresh30-70,All13) × Ens2(S+T)",P2-Map,5,759,16.01507159005275
0.22722126801166875,-0.5234933508537113,0.8440767746550648,0.8864707395227984,0.4340480497815627,30,-0.05240110453207225,0.6808510638297872,"VR(Thresh20-80,All13) × Ens2(S+T)",P2-Map,5,742,15.656367746797287
0.22989119077066933,-0.5243191867513504,0.8506729414515556,0.89306967531717,0.4384565672583166,30,-0.05736497831711229,0.7021276595744681,"VR(Thresh40-70,All13) × Ens2(S+T)",P2-Map,5,770,16.247174076865107
0.22884147619743644,-0.5168350476890797,0.8510047123329257,0.896151474179544,0.44277468647038054,30,-0.047943075633420706,0.7021276595744681,"VR(Power0.3,All13) × Ens2(S+T)",P2-Map,5,744,15.698568198944988
0.22508377850404315,-0.5118199164226848,0.8489253712943908,0.8909929731305468,0.4397714338223573,30,-0.05269104327736607,0.6808510638297872,"VR(Power0.5,All13) × Ens2(S+T)",P2-Map,5,725,15.297663903541823
0.20128482989180152,-0.4668841525965475,0.8122561499091713,0.8334352733411776,0.4311237140356303,30,-0.05489751887543215,0.7021276595744681,"VR(Power2.0,All13) × Ens2(S+T)",P2-Map,5,748,15.78296910324039
0.3105642225983156,-0.6727204487108734,0.8431046134652691,0.8759765774360463,0.4616542030102494,30,-0.09385304159784824,0.6595744680851063,"VR(Asym1-2,All13) × Ens2(S+T)",P2-Map,5,1238,26.12207987942728
0.2828720761769399,-0.5887444802388985,0.8652623862928843,0.9070772341684218,0.48046662970352966,30,-0.050742912854898736,0.6808510638297872,"VR(Asym0.5-3,All13) × Ens2(S+T)",P2-Map,5,988,20.84702336096458
0.22861563823669995,-0.5170788555525175,0.849899277119116,0.8954053919189049,0.4421291564754003,30,-0.046769655073435334,0.7021276595744681,"VR(Centered70,All13) × Ens2(S+T)",P2-Subset,5,747,15.76186887716654
0.23081897714599875,-0.5243535965804186,0.8524117136791959,0.8993675422107684,0.4401971849745837,30,-0.05227345637850522,0.7021276595744681,"VR(Thresh30-70,All13) × Ens2(S+T)",P2-Subset,5,759,16.01507159005275
0.22508377850404315,-0.5118199164226848,0.8489253712943908,0.8909929731305468,0.4397714338223573,30,-0.05269104327736607,0.6808510638297872,"VR(Power0.5,All13) × Ens2(S+T)",P2-Subset,5,725,15.297663903541823
0.3105642225983156,-0.6727204487108734,0.8431046134652691,0.8759765774360463,0.4616542030102494,30,-0.09385304159784824,0.6595744680851063,"VR(Asym1-2,All13) × Ens2(S+T)",P2-Subset,5,1238,26.12207987942728
0.22974059774917133,-0.5227428496712244,0.8568018123634824,0.9091903885378453,0.43949065567068996,30,-0.04999248500490039,0.723404255319149,"VR(Centered70,NoS10S12) × Ens2(S+T)",P2-Subset,5,750,15.825169555388092
0.23028442516465497,-0.5244568260676237,0.8526594350940514,0.8947710372804139,0.43909129163467503,30,-0.06063422338658131,0.6808510638297872,"VR(Thresh30-70,NoS10S12) × Ens2(S+T)",P2-Subset,5,761,16.057272042200452
0.22062603922528123,-0.5214894173336811,0.8335184621396259,0.8732231375037995,0.4230690631332813,30,-0.05935092579050172,0.6808510638297872,"VR(Power0.5,NoS10S12) × Ens2(S+T)",P2-Subset,5,747,15.76186887716654
0.30755738083333783,-0.688633258391837,0.8364252112448693,0.8663207105700559,0.44661999269622205,30,-0.11233164668201501,0.6808510638297872,"VR(Asym1-2,NoS10S12) × Ens2(S+T)",P2-Subset,5,1235,26.058779201205727
0.22973808234749038,-0.5242771827308631,0.8481390352334383,0.8910735590591283,0.4381996583387953,30,-0.05177195145548452,0.7021276595744681,"VR(Centered70,Core7) × Ens2(S+T)",P2-Subset,5,753,15.888470233609645
0.2235433773766673,-0.5227314189243417,0.8387124922219448,0.8674298554149067,0.4276448081821196,30,-0.06248156815406536,0.6808510638297872,"VR(Thresh30-70,Core7) × Ens2(S+T)",P2-Subset,5,778,16.415975885455914
0.23060270636637825,-0.5240312163241653,0.8578513301496535,0.9019917514644543,0.440055285225084,30,-0.05848144563268898,0.7021276595744681,"VR(Power0.5,Core7) × Ens2(S+T)",P2-Subset,5,749,15.804069329314242
