CAGR,MaxDD,Sharpe,Sortino,Calmar,Trades,Worst5Y,WinRate,OOS_Sharpe,DD,VIX_MA,Rebal
0.29539535335131584,-0.4408105991858616,1.057251730641059,1.1429880250223527,0.6701185359355811,34,0.016408396570793293,0.7115384615384616,0.6992153225278975,0.82/0.92,126,0.15
0.2966141408328251,-0.46143346550198416,1.0513045933450051,1.1597792267862566,0.6428102056060121,32,0.026387898544195654,0.7307692307692307,0.565731112674076,0.80/0.90,126,0.15
0.2918733224038308,-0.4251739465100651,1.0510019650176061,1.1384653539490122,0.6864797920935668,34,0.008813781288038669,0.7115384615384616,0.7643588184222956,0.82/0.92,252,0.2
0.2950147968722763,-0.427862773289678,1.048632653471067,1.160184759094837,0.6895079808042589,32,0.05340084632163755,0.7307692307692307,0.6441707200575295,0.80/0.90,252,0.2
0.2916832781126102,-0.4318167555040255,1.0447137962667443,1.131036368187864,0.6754792962402568,34,0.017668254982079468,0.7115384615384616,0.7577702031207384,0.82/0.92,252,0.15
0.2957438317732728,-0.4476173356859994,1.043528617735479,1.1538728124326927,0.6607068319193409,32,0.0369419285038608,0.7307692307692307,0.6320728173604095,0.80/0.90,252,0.15
0.28865472517786617,-0.428700981131052,1.0420138774829033,1.1194051669592069,0.673324153390789,34,0.02282069484733462,0.6923076923076923,0.7269777747419962,0.82/0.92,126,0.2
0.2897873922219656,-0.4728264530722038,1.0375878640745393,1.1383069516517317,0.612883205537811,32,0.0581827582764427,0.7115384615384616,0.5796493266548798,0.80/0.90,126,0.2
0.2891644151097763,-0.43337103800112486,1.0374016537625153,1.1196609447960097,0.6672444389535457,34,0.009737271473694964,0.7115384615384616,0.72686731622527,0.82/0.92,189,0.15
0.2927767623267228,-0.45762119416474994,1.0355771603291157,1.141628162146084,0.6397797262451946,32,0.025906387770644468,0.7307692307692307,0.5967873429386535,0.80/0.90,189,0.15
0.2788251324969653,-0.44105640427797355,1.0239982267916694,1.102627627286421,0.6321756804629395,34,0.014981709777387886,0.7307692307692307,0.7148243161289296,0.82/0.92,126,0.25
0.28114939384688586,-0.43167146069795487,1.0237527137215043,1.1039997850452066,0.6513041038022411,34,0.002749141804536226,0.7115384615384616,0.75996294565294,0.82/0.92,189,0.2
0.2790028228573389,-0.4534200621568643,1.0223442680314083,1.108760706193128,0.6153296824365386,34,0.03362255341396625,0.7115384615384616,0.6256508274945728,0.82/0.92,252,0.25
0.2849985544113307,-0.45335599089189854,1.0219588313808088,1.125648975847541,0.628641862326879,32,0.051588494114721106,0.7307692307692307,0.6363051995766585,0.80/0.90,189,0.2
0.28147629519716744,-0.4345772728480708,1.0179367605369982,1.1284722244381007,0.647701370466219,32,0.04803409785714985,0.7307692307692307,0.5040895482373186,0.80/0.90,252,0.25
0.2730763532591245,-0.44853150342162773,1.0092885544628156,1.0637669246366184,0.6088231287567504,42,0.011014491912347824,0.7307692307692307,0.7438846533310207,0.84/0.94,252,0.2
0.27725782669459953,-0.4573200301753879,1.0081341535698851,1.1088643093474597,0.6062665275961512,32,0.015948248470705417,0.7307692307692307,0.5788445853099137,0.80/0.90,126,0.25
0.27037824660034904,-0.4644935035718668,1.002127130964552,1.079362627301067,0.5820926332041065,34,0.027119606554370623,0.7307692307692307,0.6216711579054319,0.82/0.92,189,0.25
0.267984429971005,-0.46353120388892166,0.9982044086971225,1.0467460646400975,0.5781367634426258,42,-0.0020699046354243356,0.75,0.6538785570945984,0.84/0.94,126,0.15
0.27262216030094666,-0.4406452716055085,0.9965305225206618,1.0965093544163285,0.6186884958679734,32,0.03498620963592969,0.75,0.4945119113733491,0.80/0.90,189,0.25
0.2649497209104128,-0.45191361562675164,0.9900054758189737,1.0323893673004663,0.5862839970930248,42,0.0036037349541808705,0.7307692307692307,0.73149969946208,0.84/0.94,126,0.2
0.2673502360327549,-0.45490438764758767,0.9899795003060877,1.0408007405916142,0.5877064352253948,42,0.011154261821579636,0.7115384615384616,0.7347215713275953,0.84/0.94,252,0.15
0.26244867929282134,-0.463769622365772,0.9855824781202692,1.0324060881408874,0.565903126543786,42,-0.006679240324880986,0.75,0.7172073775248219,0.84/0.94,126,0.25
0.2635777505677952,-0.45639487803673334,0.9803160741375108,1.026725959908561,0.5775212721527977,42,-0.0006821714473871365,0.7307692307692307,0.6797818053352325,0.84/0.94,189,0.15
0.2617549622408428,-0.4547643596743877,0.979516912435576,1.0272860046926262,0.5755837208268915,42,0.003232521293555335,0.7307692307692307,0.7381737919646999,0.84/0.94,189,0.2
0.25791496833064587,-0.475609356027556,0.9727769790651785,1.0246390474294642,0.5422832100798763,42,0.004688759269540377,0.6923076923076923,0.6314462473543826,0.84/0.94,252,0.25
0.2507346939865658,-0.48623213159128875,0.9559002263895013,1.000924291741679,0.5156687057393512,42,0.00025383203139783816,0.7307692307692307,0.6234371726030014,0.84/0.94,189,0.25
