Strategy,CAGR_OOS_pct,IS_OOS_gap_pp,Sharpe_OOS,MaxDD_FULL_pct,Worst10Y_CAGR_pct,P10_5Y_CAGR_pct
DH Dyn 2x3x [A] (現行 REF),9.5568,10.4590,0.6037,-41.5655,12.5721,8.7663
DH-T1 (vz=0.65 Gate),9.0042,7.5740,0.6513,-39.2809,8.9941,8.9498
DH-T2 (vz=0.65 + lmax=5.5),8.9846,7.5526,0.6503,-39.2809,8.9598,8.9662
DH-T3 (vz=0.65 + F10 e=0.015),9.4695,6.8156,0.6726,-37.4720,9.4088,9.7755
DH-T4 (Full vz+lmax+F10e),9.4447,6.8137,0.6714,-37.6264,9.3690,9.7960
