Config,Full_Sharpe,WF1,WF2,WF3,WF_Avg,CAGR,MaxDD,Worst5Y
Baseline (15-35%),0.9977333780757675,0.6574226085548455,0.6767568890838404,0.7852171742851884,0.7064655573079581,0.25583147305233567,-0.440921273945506,0.008777230888606047
Candidate (10-30%),1.0219993719616682,0.6601767160192715,0.6627402170692686,0.7967347956633722,0.7065505762506374,0.2588599791934565,-0.43755129024781425,0.0026854763161825446
Alt1 (10-30% VC=0.25),1.0189033106413468,0.666329608761373,0.6897838052569261,0.8082389797688347,0.7214507979290445,0.25687062586390175,-0.4425797557139689,0.0017164994787690624
Alt2 (10-30% VC=0.15),1.0077769107088077,0.6563258428656273,0.667212995520767,0.8027373580155989,0.7087587321339978,0.2572586415669389,-0.4383632283219824,0.0035050806829226566
Alt3 (20-40% VC=0.10),0.9866661322424456,0.6019730767894448,0.6886523185854981,0.7935210432795088,0.6947154795514839,0.25894283620823066,-0.42749969781507374,0.016559220167619237
Alt4 (15-50% VC=0.15),0.9763240235967532,0.6214816781183284,0.6977165589084207,0.7897447475330549,0.7029809948532679,0.25353029242086444,-0.4424186173961098,0.01039681629971767
