signal,cand_cagr_full,cand_sharpe_full,cand_cagr_oos,cand_is_oos_gap,cand_sharpe_oos,cand_maxdd,cand_worst10y,cand_p10_5y,cand_trades_yr,cand_wfe,cand_ci95_lo,cand_trades_yr_real,base_cagr_oos,judgment,n_improved
ALL_CASH,0.04464315409458619,20.252052760457428,0.035299144349235645,0.010319084480939544,29.34293859251569,-3.571425421955432e-06,0.0030469944049080766,0.0026796367831110057,125.29859509331096,9.439130887984975,135.96803816830655,0.0,-0.011367475550389972,STRONG_PASS,6
m126_tv0.05_z0.75_wk,0.04005969228659034,1.7278776344084879,0.018536310322779803,0.023772954199736906,0.6583050793724454,-0.0885502439437642,-0.0013518984855802607,0.005956738699984898,121.83297074858461,33.05869240643034,19.43027651106182,7.195079353026046,-0.011367475550389972,STRONG_PASS,5
m126_tv0.05_z1.0_wk,0.041184291374257054,1.7244312401915682,0.020798779427524394,0.022515405076572348,0.7300648143994348,-0.08855024394376465,-0.0023819179472794882,0.0053033167095813735,121.94785332354792,31.676316946526324,16.971964476202245,7.424709545143899,-0.011367475550389972,STRONG_PASS,6
m252_tv0.05_z0.75_wk,0.04017630979481179,1.6427763527273518,0.03196737259885696,0.009065218744413128,1.267147209159511,-0.0750989645797695,0.0028840130491405436,0.007599671868009005,120.68414499895157,49.861865174664494,34.34580792758279,6.6401397220745695,-0.011367475550389972,STRONG_PASS,6
m252_tv0.05_z1.0_wk,0.04113021383040727,1.6382544451096501,0.03196737259885696,0.010118452281209667,1.267147209159516,-0.07509896457976928,0.0038800811862997886,0.00783486869843122,120.79902757391487,48.503432090801276,31.831946481829483,6.869769914192422,-0.011367475550389972,STRONG_PASS,6
m126_tv0.05_z0.75_mo,0.038384223271394236,1.6092078097117388,0.025991986541157974,0.013683830550213827,0.9376566138430268,-0.09275624117585723,-0.0008297519798617925,0.005460902886193608,122.08188299433844,41.36459831552556,28.59134049555498,2.5067962639532237,-0.011367475550389972,STRONG_PASS,6
m126_tv0.05_z1.0_mo,0.039232523176959244,1.5918807379924398,0.02599198654115753,0.014620852283226293,0.9376566138430215,-0.09275624117585657,-0.002757779146423278,0.0056728602458758545,122.21591266512897,40.38664070272623,26.23447337252228,2.6981547573847675,-0.011367475550389972,STRONG_PASS,6
m252_tv0.05_z0.75_mo,0.04005324817211675,1.5173213071771494,0.036583544885313124,0.0038347977369346253,1.4463801970052288,-0.09275624117585612,0.004981555861234055,0.009971829315925395,121.35429335290418,56.817528002984226,38.89537667572462,2.6024755106689956,-0.011367475550389972,STRONG_PASS,6
m252_tv0.05_z1.0_mo,0.04111323263980893,1.5143537317144113,0.03658354488531357,0.005004611801512349,1.44638019700523,-0.09275624117585668,0.004677268458948891,0.010330525663194834,121.4883230236947,56.78966802651712,38.657661319997295,2.717290606727922,-0.011367475550389972,STRONG_PASS,6
m126_tv0.07_z0.75_wk,0.039587796892936566,1.3996775518654914,0.019454219958625618,0.022236699571824614,0.6256444043229948,-0.11681326930688474,-0.0032023146974026195,0.006334732560810341,112.68065894317468,40.59557180909362,19.097273566679775,5.702483104260005,-0.011367475550389972,STRONG_PASS,6
m126_tv0.07_z1.0_wk,0.04101622842801533,1.3994478412953375,0.0219929818436031,0.021009815987108382,0.6984904077287708,-0.1168132693068843,-0.004642152893550522,0.0056960094313582834,112.06795187670372,38.814658620997285,16.635827851707305,5.836434049662086,-0.011367475550389972,STRONG_PASS,6
m252_tv0.07_z0.75_wk,0.039571347810627655,1.325221791912118,0.03231973213381689,0.00800837459159398,1.1330096442227318,-0.10393835866864554,0.0027752007571415493,0.007743969554500562,112.0488047808765,61.54246911484765,33.95414845631211,5.2432227200243,-0.011367475550389972,STRONG_PASS,6
m252_tv0.07_z1.0_wk,0.04080769282268726,1.3231690480295686,0.032319732133817336,0.009373348757887756,1.1330096442227247,-0.10393835866864631,0.003944076935697982,0.008316028678295905,111.62756867267771,59.78660386741942,31.44295902133581,5.453717062798998,-0.011367475550389972,STRONG_PASS,6
m126_tv0.07_z0.75_mo,0.03689032817786919,1.2813511177334527,0.026625704739017708,0.011334152815231757,0.8622652178347905,-0.09779474239753616,-0.003179330568969574,0.00506400878754416,112.91042409310128,51.67197352928531,28.193610769272716,2.1432151264332906,-0.011367475550389972,STRONG_PASS,6
m126_tv0.07_z1.0_mo,0.03799094149953408,1.2676862709379684,0.026625704739017486,0.012549634328224535,0.8622652178347872,-0.11439009466292005,-0.005788229773016185,0.0058289862529563585,112.02965768504929,50.48280114533482,25.90436265846722,2.2388943731490625,-0.011367475550389972,STRONG_PASS,6
m252_tv0.07_z1.0_mo,0.040423392224687715,1.230322732463823,0.03766651343552452,0.0030483783893484606,1.296058428934412,-0.10079094414016565,0.005336556613727561,0.010363294532060374,110.44044873139023,69.73174791154531,38.42290032316717,2.1432151264332906,-0.011367475550389972,STRONG_PASS,6
m252_tv0.07_z0.75_mo,0.03902669486588506,1.2299883093667563,0.037666513435524296,0.001507260107777686,1.296058428934406,-0.10079094414016532,0.00499033760014389,0.009565345436246807,111.32121513944223,69.87546062850595,38.596282750306734,2.124079277090136,-0.011367475550389972,STRONG_PASS,6
BUY_AND_HOLD,0.014228116279440206,0.20606586114609485,-0.011367475550389972,0.02831486226991886,-0.10902770389960792,-0.5005409206645788,-0.04750516534091298,-0.03201730552023374,0.019147095827217447,1.119200067565991,-0.11829700364185089,0.0,-0.011367475550389972,FAIL,0
