vz_thr,l_max,eps,CAGR_IS,CAGR_OOS,IS_OOS_gap,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,yr_cost_approx
0.6,5.0,0.01,0.20531259926812284,0.17368970105876747,0.03162289820935538,0.7921320262602074,-0.565822428082157,0.1316445124289538,0.08347905787044725,0.012265368368884344
0.6,5.0,0.015,0.20529152026490438,0.17376140150406538,0.031530118760839,0.7923524937295876,-0.5659417770194928,0.1316463724667689,0.08331332334481079,0.012263349237966717
0.6,5.0,0.02,0.20541552133965557,0.1737614015040656,0.03165411983558997,0.792352493729587,-0.5659417770194939,0.13170644397417774,0.08348530269639377,0.012262312720113615
0.6,5.5,0.01,0.20787166260629153,0.1800260089100867,0.027845653696204842,0.7822421491720527,-0.5972726596701621,0.13013009498579486,0.07492113592824497,0.013410048849499766
0.6,5.5,0.015,0.20784993012369335,0.1800983369179745,0.02775159320571885,0.7824523210632911,-0.5974123329300507,0.13013235333597595,0.07474690762598472,0.013407790437244946
0.6,5.5,0.02,0.2079744297643562,0.18009833691797472,0.027876092846381484,0.7824523210632919,-0.59741233293005,0.13019454972355637,0.07491758799935624,0.013406255440753414
0.6,7.0,0.01,0.2069710072302211,0.19506652821811277,0.011904479012108338,0.771421989411863,-0.6579846140975979,0.0978024036615206,0.035384563738039845,0.016442075347540643
0.6,7.0,0.015,0.2069476056470383,0.19514026070957913,0.011807344937459163,0.7716156491395889,-0.6581807944319681,0.09774875162836594,0.035362954391646315,0.016439099091274233
0.6,7.0,0.02,0.20707086319827694,0.1951402607095798,0.01193060248869715,0.7716156491395908,-0.6581807944319684,0.0979569559471416,0.035403833344680134,0.016437483615749718
0.65,5.0,0.01,0.2015841810968495,0.18923066439929603,0.012353516697553468,0.8405321054534639,-0.5671104074280724,0.12668966308645313,0.08761816258662936,0.012107956906749172
0.65,5.0,0.015,0.20156316685257947,0.18930358023415073,0.012259586618428742,0.8407547957398873,-0.5672294023190987,0.12669151498018572,0.08745151582673942,0.012105937775831545
0.65,5.0,0.02,0.20168664373009992,0.18930358023415117,0.012383063495948754,0.8407547957398878,-0.5672294023190992,0.12675132346747975,0.08762439550343436,0.012104901257978444
0.65,5.5,0.01,0.20383339912437903,0.1964400229945673,0.007393376129811724,0.8322513940266802,-0.5985719434941383,0.12461642747195367,0.07940486293634688,0.013236277710710936
0.65,5.5,0.015,0.20381173789206186,0.19651361120779187,0.00729812668426999,0.8324639050278362,-0.5987111661384625,0.12461867480411848,0.07922958709662863,0.013234019298456117
0.65,5.5,0.02,0.20393566944975783,0.1965136112077912,0.0074220582419666226,0.8324639050278351,-0.5987111661384628,0.1246805677485785,0.07940124493379973,0.013232484301964583
0.65,7.0,0.01,0.20230141116970923,0.21486769225492353,-0.012566281085214293,0.8292157911941022,-0.659342861226601,0.09965366497141548,0.04072372659529996,0.016248730274892504
0.65,7.0,0.015,0.2022780939510982,0.21494290285956041,-0.012664808908462222,0.8294123783139307,-0.6595382624691919,0.09959992246302352,0.0405276070106722,0.016245754018626095
0.65,7.0,0.02,0.20240068912339226,0.21494290285956086,-0.012542213736168595,0.829412378313932,-0.6595382624691914,0.09980847788378155,0.04069229559530175,0.01624413854310158
0.7,5.0,0.01,0.20146991905308398,0.17242054362575843,0.029049375427325552,0.7872019498068796,-0.5680994561396918,0.11259296124930818,0.09205080278615475,0.011833237947718506
0.7,5.0,0.015,0.20144887488276497,0.17249195637525871,0.028956918507506257,0.7874264707459092,-0.5682181791559824,0.11259478997286831,0.09207591686886064,0.011831218816800881
0.7,5.0,0.02,0.20157237821560026,0.17249195637525894,0.02908042184034132,0.7874264707459098,-0.5682181791559825,0.11265385015968543,0.09211681338429355,0.011830182298947776
0.7,5.5,0.01,0.20369525519546738,0.17829706472067275,0.025398190474794635,0.7794437603632862,-0.5994255892959038,0.10922479697689735,0.08628077603504083,0.012944846805388285
0.7,5.5,0.015,0.20367355747964733,0.17836900538242095,0.025304552097226374,0.7796582758097869,-0.5995645158801399,0.10922701355181408,0.08630462435645349,0.012942588393133465
0.7,5.5,0.02,0.2037975251286721,0.17836900538242095,0.025428519746251155,0.779658275809788,-0.5995645158801406,0.10928805942227782,0.08634530474611182,0.012941053396641934
0.7,7.0,0.01,0.20197051330247295,0.1943363967395435,0.007634116562929449,0.7765248522072679,-0.6600672427296463,0.10424472522355344,0.05129060708978426,0.015913082553799397
0.7,7.0,0.015,0.20194714002098135,0.19440973815452822,0.007537401866453131,0.7767238344895965,-0.660262228466352,0.1042494541540564,0.051091627732543346,0.015910106297532988
0.7,7.0,0.02,0.20206978486050176,0.1944097381545289,0.007660046705972867,0.776723834489599,-0.6602622284663524,0.10431667488044982,0.05125860397719839,0.015908490822008473
