N,k_lt,CAGR_IS,CAGR_OOS,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,Worst5Y,IS_OOS_gap,Trades_yr,WFA_CI95_lo,WFA_WFE
500,0.500000,0.360097,0.286001,0.830281,-0.674126,0.193879,0.132429,0.005162,0.074096,27.115499,,
600,0.500000,0.345187,0.277244,0.802685,-0.648926,0.201346,0.126121,0.015027,0.067942,27.115499,,
750,0.500000,0.313338,0.311578,0.857711,-0.594515,0.180972,0.093564,-0.028273,0.001760,27.115499,,
1000,0.500000,0.302701,0.286420,0.790589,-0.662788,0.124843,0.083434,-0.022396,0.016280,27.115499,,
1250,0.500000,0.306696,0.269478,0.771427,-0.633666,0.141818,0.083090,-0.032057,0.037218,27.115499,,
1500,0.500000,0.307884,0.308422,0.884806,-0.633666,0.165970,0.098543,-0.024452,-0.000538,27.115499,,
