gate_min,CAGR_IS,CAGR_OOS,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,Worst5Y,IS_OOS_gap
0.200000,0.332725,0.277441,0.774795,-0.633645,0.176266,0.071488,-0.052440,0.055284
0.350000,0.333307,0.277392,0.774683,-0.633650,0.176314,0.071666,-0.052243,0.055915
0.500000,0.335486,0.275052,0.770446,-0.633666,0.177388,0.073156,-0.050716,0.060434
0.700000,0.340051,0.273929,0.768165,-0.633044,0.180465,0.073976,-0.048430,0.066122
1.000000,0.352185,0.270621,0.758681,-0.615347,0.190872,0.085448,-0.052195,0.081564
