year,NEW_065_pre,F10_070_pre,NEW_065_aft,F10_070_aft,diff_aft_pct
1974,0.19087710241428946,0.19087710241428946,0.1524524468273417,0.1524524468273417,0.0
1975,-0.11027823642310508,-0.11027823642310508,-0.09669336499283483,-0.09669336499283483,0.0
1976,0.8457737485577772,0.8457737485577772,0.6942484421818491,0.6942484421818491,0.0
1977,-0.19606457223887486,-0.19606457223887486,-0.16766440061322116,-0.16766440061322116,0.0
1978,1.3558638617377081,1.3558638617377081,1.116245992815606,1.116245992815606,0.0
1979,0.2075594699308143,0.20567327098445287,0.1662537694737627,0.16469331708543788,0.15604523883248067
1980,0.7851861750946243,0.7546852023342219,0.6441243426557827,0.6188908878911017,2.5233454764680974
1981,-0.3563626678150428,-0.39937476450764686,-0.3002790150833849,-0.33586292267717627,3.5583907593791375
1982,0.9137507207103095,0.8979439746088869,0.750485791243639,0.7374088701939321,1.3076921049706924
1983,0.10798191150472625,0.0863208901178214,0.08387325538786003,0.06595309239447365,1.7920162993386377
1984,-0.16401828914873484,-0.22076152203370802,-0.14115251061274833,-0.18809618717848664,4.694367656573831
1985,1.3892683953629703,1.441305325167404,1.1438815634837853,1.1869317155109933,-4.305015202720797
1986,0.3497094580085409,0.3509628347723872,0.28385445461046593,0.28489137320719593,-0.10369185967299965
1987,0.7051897441640769,0.6779348879419045,0.5779432953469408,0.5553953527943376,2.2547942552603173
1988,-0.3306786141093633,-0.3360496728253395,-0.2790305974526762,-0.2834740743284034,0.4443476875727159
1989,0.5183414232260399,0.5201803925870379,0.42336367943490283,0.4248850587872564,-0.152137935235358
1990,-0.4984822407003964,-0.4998674411552889,-0.417854537731438,-0.41900051406777056,0.11459763363325659
1991,0.8212866173348856,0.7939070402010113,0.6739902385211508,0.6513391143582966,2.2651124162854197
1992,0.502425566199173,0.5559210156636369,0.41019649091657584,0.45445327625852683,-4.425678534195098
1993,-0.06551277592343618,-0.07390372426933334,-0.05965889952145875,-0.06660073108801946,0.694183156656071
1994,-0.15941791639988256,-0.15926951231248754,-0.13734662223762284,-0.13722384753612094,-0.012277470150190428
1995,1.507040062190752,1.4757735865692112,1.2413140634504092,1.2154473081687085,2.586675528170068
1996,0.4461947133923687,0.43795275266804246,0.36367670638950667,0.35685813228227153,0.6818574107235131
1997,0.546620360298328,0.5716598201584828,0.4467588440748067,0.4674739892171128,-2.07151451423061
1998,0.6887571660602465,0.7270253017926056,0.5643486234816419,0.5960078521730225,-3.1659228691380603
1999,0.7767019851439054,0.8100425927214785,0.637105372309553,0.6646880569584791,-2.7582684648926103
2000,-0.11981231968122874,-0.12031778876069577,-0.10458091207228054,-0.10499908664172361,0.04181745694430694
2001,-0.06733190784095777,-0.07293764134912784,-0.061163867356824365,-0.06580149068813346,0.4637623331309092
2002,0.11077646744518654,0.13696874985898289,0.08618519151740284,0.10785406675833654,-2.166887524093371
2003,1.0742440896487055,1.0540637444179475,0.8832619553663742,0.8665667557569681,1.669519960940613
2004,0.015919630987312416,0.01644115457845663,0.007710130715803562,0.00814158718275717,-0.04314564669536071
2005,-0.24779924607596726,-0.25098664978335306,-0.21046449627864772,-0.21310143536576798,0.263693908712026
2006,0.516550529214312,0.5190904080324907,0.4218820728190003,0.42398331456527955,-0.21012417462792365
2007,0.22167292046913611,0.2125930716904738,0.1779298271041163,0.17041806820952898,0.7511758894587328
2008,0.2050495380757167,0.2043147157379932,0.16417730285004042,0.16356938433004178,0.06079185199986403
2009,0.566278712575869,0.588127736979313,0.4630221989140164,0.4810978968029856,-1.8075697888969178
2010,0.7119057399753299,0.7161675658155637,0.5834994386815904,0.5870252471992159,-0.3525808517625517
2011,-0.19374764700333036,-0.19195273289598414,-0.1657476083658552,-0.16426267592484767,-0.14849324410075304
2012,0.1955161374967609,0.2440290529841369,0.15629032055107028,0.19642505553377648,-4.01347349827062
2013,0.2696937878902168,0.2769770238894398,0.2176574907215764,0.22368291186373354,-0.602542114215715
2014,-0.04265580493253396,0.0046968926358859076,-0.04074932742068535,-0.0015744407223315887,-3.917488669835376
2015,-0.36631499198317174,-0.36120314001498754,-0.30851257286767797,-0.3042835377343992,-0.4229035133278769
2016,-0.11819757157422361,-0.11876880055549155,-0.1032450309633552,-0.10371760869955816,0.04725777362029615
2017,0.813329496320399,0.8271480290727304,0.667407312305866,0.6788393844518699,-1.1432072146003835
2018,-0.1295533120140252,-0.12977407867035207,-0.11263963502920304,-0.11282227528398227,0.01826402547792233
2019,0.5071021259891908,0.5258790817290147,0.4140654088308575,0.4295995843144138,-1.553417548355629
2020,0.8435245158065134,0.7993007850544,0.6923876519267286,0.6558013594755051,3.6586292451223468
2021,0.32344425411599476,0.2377389719821592,0.26212525143016246,0.1912212715208403,7.090397990932215
2022,-0.2620752903637684,-0.26036998014961255,-0.2222750677179456,-0.22086426457777447,-0.14108031401711407
2023,0.9773439074701462,0.8974903832163883,0.803096434650052,0.7370336140349181,6.606282061513391
2024,0.5803739948617226,0.5840466996081524,0.47468322594910306,0.47772165458582444,-0.303842863672138
2025,0.5052182174104642,0.411206042283625,0.4125068512636771,0.33473057878124296,7.777627248243412
2026,-0.1476783921922744,-0.09843633481785341,-0.12763451386066862,-0.08689655979481013,-4.073795406585849
