label,w,CAGR_IS,CAGR_OOS,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,Worst5Y,IS_OOS_gap
NAV_A_S2+LT2,,0.313338,0.311578,0.857711,-0.594515,0.180972,0.093564,-0.028273,0.001760
NAV_B_DHDynTQQQ,,0.238942,0.147871,0.649831,-0.463982,0.143016,0.095707,0.023623,0.091071
Ens_w0.3,0.300000,0.265052,0.200023,0.747534,-0.506523,0.158043,0.098945,0.013199,0.065029
Ens_w0.5,0.500000,0.280721,0.233508,0.791559,-0.533220,0.166367,0.100369,0.004196,0.047213
Ens_w0.7,0.700000,0.294923,0.265784,0.823967,-0.558647,0.173289,0.099736,-0.006418,0.029139
