signal,cand_cagr_full,cand_sharpe_full,cand_cagr_oos,cand_is_oos_gap,cand_sharpe_oos,cand_maxdd,cand_worst10y,cand_p10_5y,cand_trades_yr,cand_wfe,cand_ci95_lo,cand_trades_yr_real,base_cagr_oos,judgment,n_improved
ALL_CASH,0.04463961742112077,20.25082291917097,0.03529914434923587,0.010315235688047153,29.34293859251569,-3.5714254218444097e-06,0.0030469944049078546,0.0026795871956553307,136.3919134993447,9.459537392865926,136.1010496031965,0.0,0.180655139996462,MARGINAL,5
m252_tv0.1_z0.75_wk,0.0697544361056166,1.196485848644924,0.0321590545822239,0.04142179805794299,0.5457287937879027,-0.20752591443255441,-0.015165130119226045,-0.005611075013562305,132.46655307994757,41.29469351954878,13.736842697569116,7.4635479951397325,0.180655139996462,MARGINAL,4
m252_tv0.1_z1.0_wk,0.07089701149068817,1.1885062754010807,0.03360993128344125,0.04108045774722924,0.5600408599039745,-0.1925772761384087,-0.014155441846571803,-0.0044451386564116286,132.48570117955438,41.54345345074769,13.699440319650172,7.750607533414338,0.180655139996462,MARGINAL,4
m126_tv0.1_z0.75_wk,0.06521573862059094,1.100988155619123,0.03351043434273193,0.03503744613710591,0.5247000781937815,-0.18613668717243292,-0.0011121067041661714,0.009277061248266018,131.71977719528178,33.42141999940702,2.796382587318398,8.45868772782503,0.180655139996462,MARGINAL,4
m126_tv0.1_z1.0_wk,0.0663872883526937,1.094851221542188,0.03496321064014052,0.03472643177463919,0.5388430112531277,-0.1855896429349675,-0.0015187629428503602,0.008652379553751487,131.77722149410224,33.59248714362924,2.7770635568180353,8.784021871202917,0.180655139996462,MARGINAL,4
m252_tv0.1_z0.75_mo,0.06921681140287417,1.0727068100993176,0.0649340958645861,0.004600916669668553,0.9699622235763934,-0.22632005425409274,-0.01939052168608646,-0.01265481749036802,130.8389646133683,57.71734883168556,24.9468571498009,3.310753341433779,0.180655139996462,MARGINAL,4
m252_tv0.13_z0.75_wk,0.07347518410384635,1.058325028759754,0.03156260322835336,0.046169043319924885,0.4452827500609253,-0.219571511977237,-0.016317063927873687,-0.006933232601439188,124.6924246395806,46.523141915073715,13.548384504537417,6.391859052247874,0.180655139996462,MARGINAL,4
m252_tv0.13_z1.0_wk,0.07486385971548049,1.0504255094394415,0.03342168268829715,0.04564794808999917,0.4616444085503114,-0.21320066172216678,-0.015370256361009194,-0.004676600391098284,124.65412844036696,46.836241780865265,13.505727983373276,6.717193195625759,0.180655139996462,MARGINAL,4
m252_tv0.1_z1.0_mo,0.06751829865180792,1.0337066206949772,0.06493409586458698,0.0027267557986419,0.9699622235763908,-0.24420095039762035,-0.021680777435215126,-0.01558795371381747,130.8581127129751,59.86795275952354,24.91545297449013,3.425577156743621,0.180655139996462,MARGINAL,4
m126_tv0.13_z0.75_wk,0.06849852102958098,0.9813805463654427,0.032121166820404,0.04020866399784029,0.4286493209282008,-0.21657210163850182,-0.0024435438379742935,0.00588707045430037,124.07968545216251,37.292002448497115,2.5829505692725263,7.367861482381531,0.180655139996462,MARGINAL,4
m126_tv0.13_z1.0_wk,0.06992276067448389,0.9748572614066429,0.03398125292221077,0.039726355219027454,0.4447567638073699,-0.2158897445671838,-0.003344649558319923,0.00542729337818031,124.09883355176933,37.51912543614524,2.5592623377072456,7.769744835965978,0.180655139996462,MARGINAL,4
m126_tv0.1_z0.75_mo,0.0611819601262964,0.9708971741156774,0.07751224863288031,-0.017987312000296685,1.1406205092630815,-0.22632194613002488,-0.012012319203040245,0.005986208960185491,130.93470511140237,51.81753181489737,13.533441895924739,3.5021263669501823,0.180655139996462,MARGINAL,5
m252_tv0.13_z0.75_mo,0.07333626697019224,0.96222905057771,0.07105898925254817,0.002356536444759749,0.8889366705635022,-0.24402404570833802,-0.02002238044148108,-0.012464256267300421,124.11798165137614,64.1980845090352,24.789287404230073,2.966281895504253,0.180655139996462,MARGINAL,4
m126_tv0.1_z1.0_mo,0.05962685282685798,0.9367990060966395,0.07751224863288098,-0.019700059223304534,1.1406205092630834,-0.22632194613002576,-0.014319807062431855,0.002522454046567725,130.95385321100918,53.67676375563408,13.505737934199907,3.6169501822600245,0.180655139996462,MARGINAL,5
m252_tv0.13_z1.0_mo,0.07109448577304356,0.9201484570093214,0.07105898925254706,-0.000116456636022777,0.8889366705634998,-0.26679333392946736,-0.023014766241885365,-0.015416033755664681,124.1945740498034,67.10468983710436,24.758912367531593,3.0811057108140947,0.180655139996462,MARGINAL,4
m126_tv0.13_z0.75_mo,0.06405116433669567,0.8619206711677281,0.08356963946613027,-0.02149740562591096,1.0400584297862354,-0.23548065342270297,-0.013097264719911461,0.006593518168325833,123.60098296199213,58.229036931273164,13.400669431277848,3.138517618469016,0.180655139996462,MARGINAL,4
m126_tv0.13_z1.0_mo,0.062003635568726345,0.8252192494441195,0.08356963946612961,-0.023751763462290798,1.0400584297862367,-0.23548065342270563,-0.01611079653175307,0.002222314713892559,123.6775753604194,60.78490960906486,13.36990678436468,3.253341433778858,0.180655139996462,MARGINAL,4
BUY_AND_HOLD,0.050893924751903574,0.3509540605640176,0.180655139996462,-0.14244286783972937,1.0417098478401274,-0.797474638829622,-0.10046444792236009,-0.06832793348688708,0.0191480996068152,0.8867046504118627,0.030130472731822122,0.0,0.180655139996462,FAIL,0
