metric,value
actual_gap_pp,6.813700
actual_cagr_oos_pct,9.444733
null_gap_mean_pp,7.570373
null_gap_5pct_pp,6.545147
null_gap_95pct_pp,8.186857
P_gap_lt_zero_under_null_pct,0.000000
P_gap_le_actual_under_null_pct,7.000000
null_cagr_mean_pct,8.633259
null_cagr_5pct,8.008511
null_cagr_95pct,9.739131
P_cagr_ge_actual_under_null_pct,7.000000
