ym,DH Dyn 2x3x [A],DH Dyn 2x3x [B],DH Dyn CAGR25+,A2 Optimized,Ens2(Asym+Slope),DD Only,BH 3x,BH 1x
2021-01,1.329185153064083,1.5136866799382753,1.7271100738481149,2.8704727954917963,3.2474085114415185,3.247408511441452,3.2474085114414963,1.4153180497023854
2021-02,-1.132811959175939,-0.6736008270333382,0.06755154592403834,1.627755740598813,1.536360007308235,1.7038774135657242,1.703877413565702,0.9307785204732966
2021-03,-1.7416381508485679,-0.597616401164125,-0.9659101653672231,-0.3911718342873516,0.3468387429306885,-1.0567940710540347,-1.0567940710540347,0.4132736746364385
2021-04,5.1041686392200525,4.352940162204133,4.2910606616751945,5.882264681228633,3.4683230273515386,16.365995628936126,16.365995628936126,5.403612813274172
2021-05,-1.1278260767250914,-3.363132287158299,-2.0787059932654506,-5.934102256568385,-5.405133641468762,-5.4813027668454755,-5.4813027668454755,-1.5322234585734118
2021-06,5.082948478767646,6.211579422113966,5.0840210829798504,9.847653646198573,6.446751222092728,16.972613024730855,16.972613024730833,5.492939338902492
2021-07,3.4186590157455177,3.3621071498629362,2.7077843171839255,2.9534065083936634,2.7126774814060894,3.0988906003027727,3.0988906003027727,1.1633347461578625
2021-08,8.814949289985496,8.821206683293092,8.486140230876416,11.387264284442011,8.144807500588524,12.063005475726785,12.063005475726762,3.9976375097638517
2021-09,-7.180296068847481,-6.2258780863962855,-5.953015197483047,-7.873542449358739,-7.685433561731592,-15.661676272411185,-15.661676272411196,-5.312585317477336
2021-10,7.445785151701623,7.3138333778987485,6.670936028154539,10.239954076817991,8.128897902050468,22.680361070352006,22.680361070352006,7.265832106934167
2021-11,4.5146927014970695,4.440753729648872,3.475327067679035,4.966229732321414,0.7865958424170261,0.057109697913837465,0.05710969791385967,0.25357977274731436
2021-12,1.516952435164609,1.0693049885468486,0.48898093046547686,0.7854528742709199,0.001026173368345873,0.5695397386688006,0.5695397386688006,0.6904455804449761
2022-01,-7.632797071480136,-7.183082502669825,-8.040486919679646,-10.365694538859515,-15.919419166744419,-26.246911479100387,-26.246911479100376,-8.981096597230199
2022-02,2.030048808650853,-0.46436898773691837,1.4258191809471965,-1.558433025888284,-4.1500839942033245,-17.180353651361568,-12.029432826773345,-3.4303624483314143
2022-03,-1.280863030179824,0.0,-0.053732145794693764,0.0,0.0,0.0,7.496588721849351,3.4114281258570633
2022-04,-4.1838767757843005,0.0,-1.570721874534875,0.0,0.0,0.0,-36.61464200943989,-13.26168062051617
2022-05,-1.5496939574015656,0.0,-0.9804300360304108,0.0,0.0,0.0,-10.246948234248121,-2.0531609128287887
2022-06,-1.7576203464690021,0.0,-0.7514203447170131,0.0,0.0,0.0,-26.6580806180883,-8.712982899269706
2022-07,0.798392326667785,0.0,0.05135324426452925,0.0,0.0,0.0,39.23571931106742,12.349100317618289
2022-08,-4.217738655449265,0.0,-1.595564687619777,0.0,0.0,0.0,-14.800885775512318,-4.63646668952803
2022-09,-5.280118945346812,0.0,-2.090362747411001,0.0,0.0,0.0,-29.907174110391665,-10.498976469754972
2022-10,-2.2440667920657464,0.0,-1.1904908124208524,0.0,0.0,0.0,9.160116342291902,3.9007667528361267
2022-11,6.198913948421514,0.0,2.630402121196851,0.0,0.0,0.0,10.099890809119149,4.366973442449473
2022-12,1.4947009772808384,0.0,1.103470878919155,0.0,0.0,0.0,-25.063871476439324,-8.73316647410185
2023-01,5.638065996304986,0.0,2.2978843193088405,0.0,0.0,0.0,33.9523511638867,10.682381143076181
2023-02,-12.14444500610271,-10.194548419972339,-10.144429878291827,-11.572662075861118,-11.572662075861107,-11.572662075861139,-4.5930070624352055,-1.1136364191968728
2023-03,18.983543568835117,18.98354356883516,16.44186202497524,19.965343911254152,19.965343911254152,19.96534391125413,19.96534391125413,6.689951888555545
2023-04,0.14556761150179565,0.14556761150181785,-0.19351751573958298,-0.4914450927922531,-2.2438186107556213,-0.491445092792242,-0.491445092792242,0.038209427293267595
2023-05,8.07761097009585,8.470250155157078,8.316140959853758,12.399720631065492,10.740234394102854,17.53421150503607,17.534211505036023,5.79646930220068
2023-06,15.244491119747906,15.24449111974786,14.199692947994812,20.298250256615667,16.030899822007516,20.298250256615713,20.29825025661569,6.591501854521198
2023-07,9.90591530790046,9.90591530790046,9.38253564983369,12.062482165422562,11.671204845359417,12.062482165422516,12.062482165422605,4.047743332839904
2023-08,-10.395536937486295,-10.823245243229762,-9.806447500905124,-12.029194634198426,-7.545159307137594,-7.184121339639427,-7.184121339639438,-2.168195881860746
2023-09,-8.482114486131987,-6.334237949636778,-6.384645355920515,-7.897416124054269,-10.472616915711253,-16.92584615215289,-16.925846152152914,-5.811550932801845
2023-10,-5.859854208066273,-6.409199937919475,-5.130103077915749,-9.655190017960313,-11.845202019911994,-9.042592316459185,-9.042592316459253,-2.7844100106791947
2023-11,11.585454737529165,9.618748374046282,8.907652234311826,12.642300819566476,13.479845841974614,34.72574420278936,34.72574420278938,10.69919686435905
2023-12,12.969063785484614,12.752987350685263,11.268532490704363,14.780312081573577,13.922841917937646,17.009579474050106,17.009579474050106,5.518893268227432
2024-01,1.4776304247292593,1.5161657510542437,1.317538518677397,2.140035205320401,2.4114808232980067,2.3230885120684386,2.323088512068461,1.016964898043926
