indicator,horizon,IC,IC_pval,IC_abs,hit_rate_high,hit_rate_low,spread,spread_t,WF_avg_IC,WF_stable,WF_IC_1,WF_IC_2,WF_IC_3,WF_IC_4,WF_IC_5,WF_IC_6,WF_IC_7,asset
TF2_PvMA_50,5,0.005856702579740872,0.5058159044421678,0.005856702579740872,0.5229315153393245,0.5166537567776918,0.0019704530009205285,1.0764729902219703,-0.037338879806940964,1,-0.003590438055456482,-0.08638683837064422,-0.12027955569037646,-0.06493191193883545,-0.025899369067529657,-0.005908724436649892,0.04562467891090545,Gold
TF2_PvMA_50,21,-0.015390321681519863,0.08055684153605727,0.015390321681519863,0.5089978281104561,0.5028695517294866,0.0012569797433298283,0.33207809246426995,-0.08936000311418198,6,-0.08906428989269564,-0.15504421333424573,-0.2210934320877413,-0.19139305036141926,-0.033663672430873336,-0.009556594087035311,0.07429523039473683,Gold
TF2_PvMA_50,63,0.039789373397325925,6.423104698044671e-06,0.039789373397325925,0.5473929961089494,0.49190787426081545,0.02179356713760395,3.2435769521513613,-0.0882897551648312,2,-0.3103832538543418,-0.11764288245513328,-0.18353149280566497,-0.03570482998600552,0.000499516728979353,-0.051210837404358646,0.07994549362270642,Gold
TF2_PvMA_100,5,0.016667198442950188,0.05827304463486251,0.016667198442950188,0.5255655407499226,0.5140201394268009,0.003381988798551687,1.8272585581518075,-0.04049552005148043,1,-0.07387826387192888,-0.05833233348084137,-0.10392538067774412,-0.030589713981491958,-0.034524955664593925,-0.029744169791548616,0.04752617710778578,Gold
TF2_PvMA_100,21,0.018235659178925147,0.03839786482958322,0.018235659178925147,0.5138070121005275,0.49806111369629286,0.013167735562950773,3.3411630810893054,-0.09974360650146254,1,-0.2401195137028642,-0.15949322536006486,-0.1792256781971728,-0.12159227128156716,-0.03694944342038919,-0.0641322303527939,0.10330711680461431,Gold
TF2_PvMA_100,63,0.10597915156933355,2.0161567354467543e-33,0.10597915156933355,0.5710505836575875,0.46825396825396826,0.06187561958205475,8.578357628521617,-0.07470422422533818,2,-0.47842109812136174,-0.14854795568126433,-0.11768201656381631,-0.027170940505519773,0.07831101979291452,-0.022362835822629563,0.19294425732430986,Gold
TF2_PvMA_150,5,0.03544681221849448,5.619023777518855e-05,0.03544681221849448,0.5294391075302138,0.5101471727343145,0.00438085812666968,2.3754970608434727,-0.038480412807624084,1,-0.12991651346170704,-0.0520355797548978,-0.09806776587320476,-0.030419104982424828,-0.004398580162158931,-0.012081033283166863,0.057555687864191664,Gold
TF2_PvMA_150,21,0.05505538656520001,3.961644285393443e-10,0.05505538656520001,0.5318026683214396,0.4800682487978905,0.02180348457863213,5.504930422348176,-0.09105140593142254,2,-0.29261094355881084,-0.14178436455292134,-0.19469207977236275,-0.14219934286747352,0.046721560223545344,-0.0480508820595426,0.13525621106760796,Gold
TF2_PvMA_150,63,0.1517604165001698,4.501631155834535e-67,0.1517604165001698,0.5891050583657588,0.4502023031434796,0.08476233231924132,11.877975161621306,-0.061902285017769766,2,-0.5054479665336972,-0.07302102825592673,-0.16469775398807607,-0.10614107609855869,0.1872777439500905,-0.020207023820480983,0.24892110962226074,Gold
TF2_PvMA_200,5,0.04771042428834345,5.850346484738267e-08,0.04771042428834345,0.5387356678029129,0.500852052672347,0.005731030107280764,3.0558584168572858,-0.034857651697998746,2,-0.1349289569839604,-0.03811579854771863,-0.0972652025969745,-0.03637549523268261,0.014879896499784002,-0.00890449260175024,0.056706487577311206,Gold
