CAGR,MaxDD,Sharpe,Sortino,Calmar,Trades,Worst5Y,WinRate,OOS_CAGR,OOS_Sharpe,MD,VIX_coeff,TV_range
0.2530269366079434,-0.40916866125318874,0.9843517430877745,1.0509223624146082,0.6183927572384956,34,-0.00871195390892665,0.7115384615384616,0.1305128670463045,0.5645886524340142,40/120,0.1,10%-30%
0.248687297184516,-0.45963065909252987,0.9569169475891882,1.015703815425644,0.5410589834792806,34,-0.0032069421656726327,0.7307692307692307,0.1270568212123684,0.5496525986411124,40/120,0.1,15%-35%
0.24948921519560985,-0.47871574874849887,0.9528542358531904,1.0135493805879565,0.5211635837088014,34,-0.015583836053248201,0.7115384615384616,0.1454240925444612,0.6000700611695773,40/120,0.1,20%-40%
0.25162461693123395,-0.4777815892270425,0.9571792787585496,1.0191295540054437,0.5266519736315364,34,-0.010925483865321772,0.7307692307692307,0.1424625002322668,0.5913773256476518,40/120,0.1,15%-50%
0.25163175005702865,-0.40380765296984106,0.9823222445773713,1.0464778498769187,0.6231475510837386,34,-0.015413237756023324,0.7115384615384616,0.14571929001621142,0.6054640315351211,40/120,0.15,10%-30%
0.25210808632264836,-0.4537453324044345,0.9712293985138233,1.0331828986449656,0.5556158230580721,34,-0.009448333521202112,0.7115384615384616,0.14698389766808595,0.6100243828292577,40/120,0.15,15%-35%
0.2538425095336132,-0.47266057036599773,0.9717658950070177,1.0368919149105766,0.5370503178148623,34,-0.008382931316825437,0.7115384615384616,0.14659441615997348,0.6054694332064068,40/120,0.15,20%-40%
0.25625834963797356,-0.47183664515368795,0.9765077745755844,1.0422426791240251,0.5431081970212475,34,-0.001978512902204632,0.7115384615384616,0.14434583104704513,0.5987276387772027,40/120,0.15,15%-50%
0.24813139173730536,-0.4024676680710057,0.9765652994820087,1.0417451916576912,0.6165250315052104,34,-0.02773182673349861,0.6923076923076923,0.13124584924574645,0.5689482470618282,40/120,0.2,10%-30%
0.2520945732457134,-0.4576386051901641,0.9739441833792442,1.038964386827198,0.5508595000217686,34,-0.011800652786266852,0.6923076923076923,0.12620375269792605,0.5515089980710058,40/120,0.2,15%-35%
0.2523011566467819,-0.46783651650560343,0.9704596728368888,1.0361751965895925,0.5392934235473685,34,-0.011729635622254708,0.6923076923076923,0.12583153678372527,0.5489405851231742,40/120,0.2,20%-40%
0.25292707751725807,-0.47351886072779803,0.9684963961696885,1.0335347283716354,0.5341436181201091,34,-0.009415168845336885,0.6923076923076923,0.12426025326276169,0.5441061994767284,40/120,0.2,15%-50%
0.24876034006929926,-0.4267325309446979,0.9820336620536623,1.0495664685769381,0.5829420586206426,34,-0.024933838027962896,0.7115384615384616,0.13459518044322416,0.5799037660968763,40/120,0.25,10%-30%
0.250441473547508,-0.40923059501210035,0.9766282298626434,1.041558462314716,0.6119813049171038,34,-0.0062519182220028835,0.6923076923076923,0.12688218370790327,0.5564011836275845,40/120,0.25,15%-35%
0.25128938710024284,-0.46308178080657975,0.9744399783314028,1.0393859604200284,0.542645807966264,34,-0.00954287918970853,0.6923076923076923,0.14124421970954204,0.5959304260716534,40/120,0.25,20%-40%
0.25120366022283425,-0.46848228103565287,0.9712180888184463,1.0341387148937664,0.5362073879667542,34,-0.002912997964421682,0.6923076923076923,0.13875610613684186,0.5883989577206232,40/120,0.25,15%-50%
0.24765126931279768,-0.4182702671085945,0.9849727188138026,1.0511902270244335,0.5920843263011583,34,-0.006422818398823638,0.6923076923076923,0.13948553937173558,0.5954312808704733,40/120,0.3,10%-30%
0.2432106273281993,-0.4353102735778488,0.9608403373613027,1.021557662871505,0.5587063804610729,34,0.0037336617213761247,0.7115384615384616,0.12746679881413914,0.5579715223493369,40/120,0.3,15%-35%
0.24575240147937083,-0.44325317925633334,0.9649472141157034,1.0275301716375336,0.5544289651609068,34,0.0061660797728364525,0.7115384615384616,0.1313219046644698,0.5670215748718727,40/120,0.3,20%-40%
0.24669990699086553,-0.4485062169489074,0.9654728683924334,1.0274964846741834,0.5500479094116301,34,0.008008294913361524,0.7115384615384616,0.12941524534377824,0.5612332691907976,40/120,0.3,15%-50%
0.2552730151018734,-0.44133914384165523,0.9965986591529017,1.063605080182172,0.5784055610382497,34,0.007913298307908656,0.75,0.13849165235115657,0.5893765141622612,60/180,0.1,10%-30%
0.25107040813263004,-0.44532773050153696,0.9746479330395805,1.0427029592820976,0.5637879497193439,34,0.007711862181049023,0.75,0.15793900194725552,0.6432367469192766,60/180,0.1,15%-35%
0.25894283620823066,-0.42749969781507374,0.9866661322424456,1.0542188853562333,0.6057146649030924,34,0.016559220167619237,0.75,0.1652247633903623,0.657825015999033,60/180,0.1,20%-40%
0.25952265630017046,-0.42608933781202185,0.9835048419078609,1.0500089776964445,0.6090803812008652,34,0.00761469974543072,0.75,0.1620455923659525,0.6486688570060327,60/180,0.1,15%-50%
0.2572586415669389,-0.4383632283219824,1.0077769107088077,1.0798558034043846,0.5868618190255223,34,0.0035050806829226566,0.7115384615384616,0.15663418552384334,0.6390788775869999,60/180,0.15,10%-30%
0.2501194668815043,-0.44568740485601965,0.9736133850817114,1.0443902974617478,0.561199316283811,34,0.007069317507711448,0.7115384615384616,0.14660711323099762,0.6102027544384522,60/180,0.15,15%-35%
0.25569751590470147,-0.4335813907609264,0.9897799723122381,1.0653066510668323,0.589733603317148,34,0.019879705304877815,0.7307692307692307,0.15720493464996932,0.6380108630646368,60/180,0.15,20%-40%
0.25353029242086444,-0.4424186173961098,0.9763240235967532,1.0472545880030724,0.573055207109134,34,0.01039681629971767,0.7307692307692307,0.15206292419422773,0.6233703040865834,60/180,0.15,15%-50%
0.2588599791934565,-0.43755129024781425,1.0219993719616682,1.0900520672902068,0.5916105950615457,34,0.0026854763161825446,0.7115384615384616,0.15841868655819935,0.6471093185142538,60/180,0.2,10%-30%
0.25583147305233567,-0.440921273945506,0.9977333780757675,1.0669546425506786,0.5802202982021553,34,0.008777230888606047,0.7307692307692307,0.1485050405179824,0.6225030750713988,60/180,0.2,15%-35%
0.25413341790907507,-0.4493638075152151,0.9849738136108269,1.0532075199957738,0.5655404677878298,34,0.010764196162028172,0.7115384615384616,0.15783001568723698,0.64352783425703,60/180,0.2,20%-40%
0.25583079624623495,-0.44900657191439247,0.9868697047318266,1.0537487336143527,0.5697707166188463,34,0.010141983810142419,0.7115384615384616,0.15650705731420822,0.63928567099458,60/180,0.2,15%-50%
0.25687062586390175,-0.4425797557139689,1.0189033106413468,1.0858956155121797,0.5803939799494862,34,0.0017164994787690624,0.7115384615384616,0.1574709678870605,0.6444521780451099,60/180,0.25,10%-30%
0.24819017602946403,-0.43135808564821354,0.9824258114861224,1.0466856429998885,0.5753692449198022,34,-0.0030872044615725125,0.6730769230769231,0.14174231690570505,0.6023317091317197,60/180,0.25,15%-35%
0.2522892272427424,-0.43593628255126154,0.9913633086480028,1.0617122420355942,0.5787295926970148,34,0.005056439726481621,0.6923076923076923,0.14884929150192283,0.6214806734114361,60/180,0.25,20%-40%
0.2544683464298547,-0.43559100035813053,0.9941883296056594,1.064889824263554,0.5841910099626441,34,0.006782931784046209,0.7115384615384616,0.14773973129783657,0.6179614555242802,60/180,0.25,15%-50%
0.24074534996762287,-0.4722007084422059,0.9732776670027865,1.033949259287367,0.5098369097366325,34,-0.015549118580232557,0.6346153846153846,0.15718577537265999,0.644590678357045,60/180,0.3,10%-30%
0.23993918615852117,-0.46015012938681915,0.9635326821055973,1.0247604871822062,0.5214367460425496,34,-0.009673930390739827,0.6538461538461539,0.1378907045377875,0.5910602766808689,60/180,0.3,15%-35%
0.24152390081137298,-0.4642375981132175,0.9616393569092757,1.0250007528684342,0.5202592418041732,34,-0.008261978959313243,0.6346153846153846,0.13904681189536583,0.593064739169586,60/180,0.3,20%-40%
0.24402728554854458,-0.463929164428759,0.9646384770483457,1.0279996473935384,0.526001174875518,34,-0.007417032145281222,0.6538461538461539,0.13799124194475865,0.5897011109429902,60/180,0.3,15%-50%
0.23934056194253728,-0.3948494593007896,0.9517476247818584,1.012258776753607,0.6061564890233564,34,-0.014546085802710107,0.6923076923076923,0.14397037549862568,0.6035954796749512,80/240,0.1,10%-30%
0.23704079918843646,-0.43402517102772287,0.9343277596551449,0.9956476770864652,0.5461452814525721,34,-0.03325914534583185,0.6730769230769231,0.14647145042103538,0.6109551163260784,80/240,0.1,15%-35%
0.24361930728032943,-0.443233968931147,0.9447536804305308,1.011581222014291,0.5496404255021659,34,-0.03759830784633922,0.6923076923076923,0.1736530754202099,0.6775961780507543,80/240,0.1,20%-40%
0.24389435831351092,-0.4019418537532753,0.9454159660845426,1.0114600674562688,0.6067901514511624,34,-0.023424332831668115,0.6923076923076923,0.17648543356578483,0.6857278049106615,80/240,0.1,15%-50%
0.2390941247865297,-0.42270616399558103,0.9525258724408279,1.0104295258331906,0.5656272492610948,34,-0.020896161592934392,0.6730769230769231,0.16799446780858363,0.6705774999526146,80/240,0.15,10%-30%
0.24100653176700404,-0.42706931770613604,0.9484536445233598,1.0109126371159498,0.564326496367129,34,-0.026763900129965323,0.6538461538461539,0.15771670021060236,0.6443284556618593,80/240,0.15,15%-35%
0.24106967712290417,-0.43627773149318655,0.9449175217582167,1.0032172731774172,0.5525601233366388,34,-0.032452522455017396,0.6538461538461539,0.16928148181849711,0.6719413623305422,80/240,0.15,20%-40%
0.23984266192444892,-0.45570964554326393,0.933516972514091,0.9901832267902313,0.5263058710081194,34,-0.038940977460423465,0.6538461538461539,0.1621375561066487,0.6520610119785574,80/240,0.15,15%-50%
0.23808265527164862,-0.39713343746689905,0.951326545827317,1.0068310049580684,0.5995029196993585,34,-0.01218609695333761,0.6923076923076923,0.15296805104132738,0.6279679927165189,80/240,0.2,10%-30%
0.23442636465919597,-0.4509407589376984,0.9308434462723335,0.9878276358687417,0.5198606690853246,34,-0.02912017983789361,0.6730769230769231,0.17408629926525876,0.6906335927667109,80/240,0.2,15%-35%
0.23503792764302034,-0.44233801348110263,0.9279758259528679,0.9830746351578168,0.5313536718070502,34,-0.02891149561392581,0.6730769230769231,0.1796569076923311,0.7003669863882963,80/240,0.2,20%-40%
0.2350103566936279,-0.45371504835693655,0.9233476751514598,0.9757005118372705,0.5179690590926704,34,-0.032652537854704566,0.6730769230769231,0.1810580158520927,0.7052453314799011,80/240,0.2,15%-50%
0.23617317623037448,-0.4159874964018706,0.9455046690189232,0.9956498804230284,0.5677410457602217,34,-0.020061526304568478,0.6538461538461539,0.14693345384053158,0.6118667525597751,80/240,0.25,10%-30%
0.2357305938697689,-0.40616225758914526,0.9402424495615019,0.9954368647669176,0.580385275749139,34,-0.008830492245492927,0.6730769230769231,0.17133260126016725,0.6842392128963419,80/240,0.25,15%-35%
0.23642388835634653,-0.4542075809437341,0.9341333829277253,0.9892460386217025,0.5205194679162214,34,-0.026901224922432965,0.6538461538461539,0.17676508952565562,0.6943563791906958,80/240,0.25,20%-40%
0.23471123634187174,-0.4675236632083968,0.9260448788270428,0.9800918280001921,0.5020307094857146,34,-0.03169652918087196,0.6538461538461539,0.1753510505477689,0.6905541163667198,80/240,0.25,15%-50%
0.23540444253944548,-0.412246521773082,0.9475592086970674,0.9994355131913115,0.5710283291826586,34,-0.022068654640505447,0.6730769230769231,0.1587675688486223,0.6486987826323637,80/240,0.3,10%-30%
0.23052854474884965,-0.4344593659705399,0.9276692459235634,0.9775864815183412,0.5306101394174605,34,-0.01834746348746774,0.6538461538461539,0.16934442615493683,0.682964864036432,80/240,0.3,15%-35%
0.23005630621032092,-0.42387813731301055,0.9221282838462611,0.9699139107072622,0.5427416183072378,34,-0.022094503629525364,0.6346153846153846,0.17140925426945564,0.6858881215801267,80/240,0.3,20%-40%
0.23206481618282448,-0.43132148435690987,0.9272583776153646,0.9782030649611185,0.5380321282368479,34,-0.018132366472584427,0.6346153846153846,0.173629126862618,0.6926759707624288,80/240,0.3,15%-50%
