period,threshold,CAGR,Sharpe,MaxDD,Worst5Y,Worst10Y,WinRate,Trades
IS,0.02,0.2563525065685528,1.1614305765585171,-0.3675924394423682,0.006162907098915316,0.11008341553676781,0.723404255319149,4363
OOS,0.02,0.2293101072374193,0.9475176299661701,-0.2719802563488364,,,0.6,470
WF1,0.02,0.11089023789099439,0.56465684229977,-0.27412160664262597,0.04687084333575808,,0.6,743
WF2,0.02,0.17185219966534993,0.7685260293346928,-0.3675924394423682,0.06785634316468592,,0.6,682
WF3,0.02,0.28105713291560175,1.037605060455962,-0.2719802563488365,0.18525537910644574,,0.6666666666666666,601
IS,0.05,0.2585284862732231,1.1701379419459301,-0.36646775277110366,0.00809226661900464,0.11211097661120917,0.7446808510638298,3081
OOS,0.05,0.22846067906517176,0.945480272740183,-0.2702258700629233,,,0.6,335
WF1,0.05,0.11110828644023418,0.5674442074866154,-0.2715963240007824,0.04696862476268726,,0.6,571
WF2,0.05,0.178084157289087,0.7895979900854587,-0.36646775277110366,0.07181413566784456,,0.8,519
WF3,0.05,0.2832667195350256,1.0396289448144105,-0.2702258700629233,0.1838906426293878,,0.6666666666666666,430
IS,0.08,0.2569953482652778,1.1697556163005205,-0.3693961290340684,0.007458873782897779,0.1110209834952407,0.7446808510638298,2283
OOS,0.08,0.2308013747986457,0.9581977703170461,-0.2695858392493894,,,0.6,251
WF1,0.08,0.10946237056702968,0.5630468506961186,-0.25615655479276145,0.04660403491869025,,0.6,438
WF2,0.08,0.17565315397525705,0.7835232314312771,-0.3693961290340684,0.07057731835218983,,0.8,417
WF3,0.08,0.2875759033562366,1.0566987846480322,-0.2695858392493895,0.18936200426109662,,0.6666666666666666,326
IS,0.1,0.2514900316105495,1.15209839046644,-0.3710952880288808,-0.003536771384892612,0.10629368175359888,0.7021276595744681,1929
OOS,0.1,0.2259553403932293,0.9505349687096902,-0.27657317522704006,,,0.6,219
WF1,0.1,0.0989226964623362,0.5224675971837182,-0.273209608476464,0.03619955637384886,,0.6,380
WF2,0.1,0.17727620665574717,0.7919809841302665,-0.3689630199144972,0.07429123712751773,,0.6,366
WF3,0.1,0.27940744827175346,1.039234935850088,-0.27657317522704006,0.18181581993490736,,0.6666666666666666,285
IS,0.13,0.24750150588289932,1.1472018177981624,-0.3642326339877787,0.003509436555215073,0.11047862458870639,0.7021276595744681,1497
OOS,0.13,0.2149082983838113,0.9047742405594249,-0.2765731752270403,,,0.6,186
WF1,0.13,0.11057494993293893,0.570663234740772,-0.2782292045069549,0.04808151786629744,,0.6,307
WF2,0.13,0.16311375226928648,0.7560931909569394,-0.36423263398777883,0.06723437594883186,,0.6,291
WF3,0.13,0.26188725416187664,0.9961734150199822,-0.2765731752270403,0.1726222812941247,,0.6666666666666666,241
IS,0.15,0.250600319252382,1.1700010908916407,-0.33970458806459725,0.020418678853386885,0.12099244234439999,0.723404255319149,1259
OOS,0.15,0.22853389139155666,0.9542937910271883,-0.25826239099169623,,,0.6,158
WF1,0.15,0.12219499724177751,0.6168492284027673,-0.26399914181850603,0.06064877721339901,,0.6,264
WF2,0.15,0.17229189225971697,0.7923516458471946,-0.33970458806459713,0.08007094751823085,,0.6,247
WF3,0.15,0.2722795684064392,1.0301272877481351,-0.2582623909916961,0.18120505192339342,,0.6666666666666666,199
IS,0.2,0.24704517826851236,1.1667958877786657,-0.3386800066503751,0.032832601327580146,0.109815797714236,0.7446808510638298,881
OOS,0.2,0.22572844649126678,0.9507460757102134,-0.2417026701666235,,,0.6,101
WF1,0.2,0.11030992925174021,0.5758510274366878,-0.23707894058390533,0.08045180184122613,,0.6,183
WF2,0.2,0.1837143726352206,0.8342778699674056,-0.3386800066503751,0.09964574014188998,,0.8,171
WF3,0.2,0.26654748111733695,1.0332522582846366,-0.2417026701666235,0.19407900244153575,,0.6666666666666666,124
IS,0.25,0.24646050741985515,1.1765325511365938,-0.3405715563019881,0.029750362747459125,0.11459489885738838,0.7446808510638298,653
OOS,0.25,0.17621075881335013,0.8003333915484832,-0.2616774805970221,,,0.6,76
WF1,0.25,0.13952384694404385,0.6953721925013142,-0.2327405825496841,0.08368265105477679,,0.6,144
WF2,0.25,0.15643879019519402,0.7424705624998938,-0.3405715563019881,0.054768616097797596,,0.8,130
WF3,0.25,0.23106511021840714,0.924385329686567,-0.2616774805970222,0.1371066699196397,,0.6666666666666666,95
IS,0.3,0.2320413654187241,1.1218088197290497,-0.3502563885235004,0.007825935149025076,0.10752826556454287,0.723404255319149,500
OOS,0.3,0.19584299912192904,0.8593293105361066,-0.288501531294278,,,0.6,61
WF1,0.3,0.11278666301627016,0.5977062622984741,-0.2471541074657223,0.07180142753863383,,0.6,118
WF2,0.3,0.16185960487132345,0.7932281286363876,-0.33847044109498314,0.06599680418053389,,0.8,93
WF3,0.3,0.2571664256595758,0.9985831347273679,-0.2885015312942779,0.16422348799250663,,0.6666666666666666,75
