signal,cand_cagr_full,cand_sharpe_full,cand_cagr_oos,cand_is_oos_gap,cand_sharpe_oos,cand_maxdd,cand_worst10y,cand_p10_5y,cand_trades_yr,cand_wfe,cand_ci95_lo,base_cagr_oos,judgment,n_improved,hypothesis
gold_realyield_lo,0.09049122459749404,0.6828755310764476,0.06478806280064009,0.028230208213670727,0.5549491546380241,-0.29297617918627084,0.005312141790258629,0.0008202769462697846,70.54159895150721,14.046026033922322,-3.022635920120493,0.180655139996462,MARGINAL,4,hold when real 10y yield z <= 0 (low real yield favors gold)
gold_mom126,0.08866012238913923,0.6224947035541617,0.1559329839334489,-0.07395976117281333,0.9774175480699758,-0.46741583285765886,-0.0069398481148443825,0.005270889895086728,66.3864613368283,34.369541444681374,-9.89121371178836,0.180655139996462,MARGINAL,4,momentum: hold when 6m return > 0
gold_ma200,0.07784890082433527,0.5588264462845097,0.14291032370196666,-0.071534862917781,0.905731524338948,-0.48374175818233267,-0.017536786419280692,-0.007354781973453672,66.90346002621231,41.66948082821211,-8.729710921986193,0.180655139996462,MARGINAL,4,trend: hold when price > 200d MA
gold_mom252,0.07263983951005848,0.5342644590789339,0.12247300168004882,-0.0549935149574905,0.8038017248322068,-0.467415832857659,-0.012559947021796192,-0.014492970476824317,65.77372214941022,48.3727906069332,-6.406812186698129,0.180655139996462,MARGINAL,4,momentum: hold when 12m return > 0
gold_dxy_lo,0.06646346285016347,0.915633099466232,0.08896997328977907,-0.024953530823143888,0.6954067771259989,-0.2388729915209099,-0.0019006545361173188,0.022193570827176056,116.61192660550458,164.59803811232612,96.6439326273676,0.180655139996462,MARGINAL,4,hold when DXY z <= 0 (weak dollar favors gold; DXY 2006+)
gold_ma100,0.06523330692393459,0.4947542446107829,0.15826723644394236,-0.10233591478132276,0.995486719012507,-0.47210976882993383,-0.016708648470722953,-0.012660157312670206,73.77762778505897,0.8164702377730461,0.16694138962233088,0.180655139996462,MARGINAL,4,trend: hold when price > 100d MA
gold_infl_hi,0.0649661366230625,0.5485335601520916,0.023266997326701677,0.045933169375065974,0.2669085003315683,-0.46741583285765864,-0.006622431578292898,-0.00720658010212064,86.68344692005242,38.58560816090778,4.4104505570420045,0.180655139996462,MARGINAL,4,hold when CPI YoY z >= 0.5 (accelerating inflation)
BUY_AND_HOLD,0.050893924751903574,0.3509540605640176,0.180655139996462,-0.14244286783972937,1.0417098478401274,-0.797474638829622,-0.10046444792236009,-0.06832793348688708,0.0191480996068152,0.8867046504118627,0.030130472731822122,0.180655139996462,FAIL,0,baseline: always invested
ALL_CASH,0.04463961742112077,20.25082291917097,0.03529914434923587,0.010315235688047153,29.34293859251569,-3.5714254218444097e-06,0.0030469944049078546,0.0026795871956553307,136.3919134993447,9.459537392865926,136.1010496031965,0.180655139996462,MARGINAL,5,baseline: always in T-bill cash
