N,k_lt,CAGR_IS,CAGR_OOS,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,Worst5Y,IS_OOS_gap,Trades_yr,WFA_CI95_lo,WFA_WFE
500,0.300000,0.348381,0.281696,0.801086,-0.635220,0.183602,0.099189,-0.026995,0.066685,27.115499,,
500,0.500000,0.352739,0.276965,0.806195,-0.636910,0.185537,0.113828,-0.013460,0.075775,27.115499,,
500,0.700000,0.354396,0.273631,0.813680,-0.638983,0.187814,0.129688,-0.006264,0.080765,27.115499,,
750,0.300000,0.331486,0.286944,0.801795,-0.628512,0.181348,0.084250,-0.030321,0.044542,27.115499,,
750,0.500000,0.324725,0.287150,0.810262,-0.625727,0.182191,0.089998,-0.031180,0.037576,27.115499,,
750,0.700000,0.316467,0.286508,0.816537,-0.624759,0.182572,0.094885,-0.030663,0.029959,27.115499,,
1000,0.300000,0.328458,0.280003,0.786040,-0.646713,0.169351,0.074408,-0.031625,0.048455,27.115499,,
1000,0.500000,0.320375,0.282111,0.793874,-0.655233,0.162884,0.075382,-0.028742,0.038264,27.115499,,
1000,0.700000,0.312147,0.284145,0.801304,-0.663611,0.157052,0.078928,-0.027292,0.028002,27.115499,,
