CAGR,Sharpe,MaxDD,Vol,PosDay_pct,n_days,strategy,window_id,start_date,end_date,short_flag
0.014639,0.184121,-0.143930,0.250180,0.545817,252,B9-Winner,2014,2014-01-02,2014-12-31,False
-0.298084,-0.922595,-0.390612,0.326666,0.450199,252,B9-Winner,2015,2015-01-02,2015-12-31,False
-0.085722,0.116310,-0.407726,0.545815,0.549801,252,B9-Winner,2016,2016-01-04,2016-12-30,False
0.944251,1.994595,-0.218650,0.369796,0.592000,251,B9-Winner,2017,2017-01-03,2017-12-29,False
-0.031296,0.120201,-0.373080,0.391427,0.516000,251,B9-Winner,2018,2018-01-02,2018-12-31,False
0.614735,1.297682,-0.341983,0.451349,0.565737,252,B9-Winner,2019,2019-01-02,2019-12-31,False
0.834970,1.862171,-0.237765,0.363574,0.595238,253,B9-Winner,2020,2020-01-02,2020-12-31,False
0.335291,1.345596,-0.160672,0.236535,0.517928,252,B9-Winner,2021,2021-01-04,2021-12-31,False
-0.206856,-1.287203,-0.289262,0.169598,0.452000,251,B9-Winner,2022,2022-01-03,2022-12-30,False
1.109191,1.631377,-0.424638,0.553360,0.566265,250,B9-Winner,2023,2023-01-03,2023-12-29,False
0.594934,1.121297,-0.271634,0.563416,0.569721,252,B9-Winner,2024,2024-01-02,2024-12-31,False
0.590997,1.395729,-0.207325,0.388571,0.574297,250,B9-Winner,2025,2025-01-02,2025-12-31,False
-0.378183,-1.288229,-0.192843,0.332560,0.438596,58,B9-Winner,2026,2026-01-02,2026-03-26,True
-0.106839,-0.309792,-0.280741,0.258172,0.509960,252,B9-Stable,1977,1977-01-03,1977-12-30,False
1.565515,3.023939,-0.329601,0.331613,0.637450,252,B9-Stable,1978,1978-01-03,1978-12-29,False
0.277511,0.843978,-0.439431,0.385273,0.619048,253,B9-Stable,1979,1979-01-02,1979-12-31,False
0.813790,1.674419,-0.476787,0.406943,0.559524,253,B9-Stable,1980,1980-01-02,1980-12-31,False
-0.381749,-1.920032,-0.406291,0.236508,0.527778,253,B9-Stable,1981,1981-01-02,1981-12-31,False
0.950593,1.908070,-0.242281,0.391315,0.551587,253,B9-Stable,1982,1982-01-04,1982-12-31,False
0.129611,0.581390,-0.367198,0.278585,0.547619,253,B9-Stable,1983,1983-01-03,1983-12-30,False
-0.302849,-1.252846,-0.376793,0.262291,0.424603,253,B9-Stable,1984,1984-01-03,1984-12-31,False
1.717914,3.251215,-0.287751,0.325484,0.589641,252,B9-Stable,1985,1985-01-02,1985-12-31,False
0.557715,1.286328,-0.397065,0.414680,0.575397,253,B9-Stable,1986,1986-01-02,1986-12-31,False
0.652716,1.783046,-0.226238,0.310101,0.539683,253,B9-Stable,1987,1987-01-02,1987-12-31,False
-0.259475,-1.012782,-0.343102,0.263039,0.484127,253,B9-Stable,1988,1988-01-04,1988-12-30,False
