Category,Strategy,CAGR,Worst5Y,Sharpe,Sortino,Calmar,MaxDD,Trades,WinRate
F-RiskAdj,"DD(-15/90)+SharpeLev(60d,1.5x)",53.43%,-19.98%,0.984,0.875,0.676,-79.05%,52,59.57%
F-RiskAdj,"DD(-18/92)+SharpeLev(60d,2.0x)",56.21%,-25.19%,0.984,0.884,0.623,-90.23%,30,61.70%
F-RiskAdj,"DD(-18/92)+SharpeLev(60d,1.5x)",53.19%,-20.87%,0.983,0.867,0.639,-83.26%,30,61.70%
B-VoV,DD(-18/92)+VT(25%)+VolSpike(1.5x),31.72%,-7.81%,0.902,1.021,0.543,-58.44%,30,72.34%
G-Season,DD(-18/92)+VT(25%)+Q3Q4weak(0.8x),30.30%,-6.99%,0.901,1.015,0.554,-54.65%,30,70.21%
G-Season,DD(-18/92)+VT(25%)+SepOct(0.7x),30.52%,-9.00%,0.894,1.007,0.516,-59.15%,30,70.21%
B-VoV,DD(-15/90)+VT(25%)+VolSpike(1.5x),30.83%,-10.66%,0.891,0.992,0.432,-71.37%,52,68.09%
G-Season,DD(-18/92)+VT(25%)+Q3weak(0.8x),29.85%,-6.70%,0.880,0.981,0.488,-61.18%,30,68.09%
H-Ensemble,DynEns(60d)+VT(25%),29.89%,-8.23%,0.873,0.970,0.474,-63.05%,48,63.83%
I-Asymm,"DD(-18/92)+AsymLev(up30,dn20)",30.50%,-7.32%,0.868,0.973,0.519,-58.73%,30,70.21%
C-ATR/BB,"DD(-18/92)+BB(200,-2σ)+VT(25%)",30.14%,-7.40%,0.867,0.963,0.487,-61.90%,64,68.09%
D-AdaptRe,DD(-18/Staged)+VT(25%) 85-93,30.39%,-10.35%,0.864,0.995,0.492,-61.75%,15,70.21%
H-Ensemble,"WtdEns(DD18:0.5,DD15:0.3,Dual:0.2)+VT",29.42%,-9.53%,0.862,0.958,0.476,-61.84%,48,63.83%
Baseline,"DD(-18/92)+VT_E(25%,S10) [R3]",30.01%,-7.97%,0.861,0.962,0.485,-61.90%,30,70.21%
B-VoV,"DD(-18/92)+VT(25%)+VoV(2.0x,cap1.5)",30.01%,-7.97%,0.861,0.962,0.485,-61.90%,30,70.21%
B-VoV,"DD(-18/92)+VT(25%)+VoV(1.5x,cap2)",30.01%,-7.97%,0.861,0.962,0.485,-61.90%,30,70.21%
I-Asymm,"DD(-18/92)+AsymLev(up35,dn20)",30.34%,-7.45%,0.860,0.961,0.517,-58.73%,30,70.21%
H-Ensemble,"WtdEns(DD18:0.4,DD15:0.4,Dual:0.2)+VT",29.32%,-9.84%,0.860,0.955,0.465,-63.02%,48,63.83%
C-ATR/BB,"DD(-18/92)+BB(200,-3σ)+VT(25%)",29.95%,-7.63%,0.860,0.960,0.473,-63.26%,36,70.21%
D-AdaptRe,DD(-18/92)+VT(25%)+TrendConfirm(3d),29.85%,-8.17%,0.859,0.956,0.482,-61.90%,30,70.21%
I-Asymm,"DD(-15/90)+AsymLev(up30,dn20)",29.64%,-11.24%,0.856,0.945,0.413,-71.67%,52,63.83%
C-ATR/BB,"ATR-AdaptDD(base-18,sens0.3)+VT(25%)",29.06%,-12.91%,0.855,0.935,0.437,-66.46%,52,65.96%
B-VoV,"DD(-18/92)+VT(30%)+VoV(1.5x,cap2)",30.09%,-8.19%,0.851,0.947,0.486,-61.90%,30,70.21%
H-Ensemble,DynEns(120d)+VT(25%),28.73%,-10.16%,0.850,0.940,0.446,-64.45%,48,63.83%
C-ATR/BB,"ATR-AdaptDD(base-18,sens0.3)+VT(30%)",29.21%,-12.91%,0.848,0.924,0.430,-67.95%,52,65.96%
Baseline,"DD(-15/90)+VT_E(25%,S10) [R3]",29.01%,-11.03%,0.847,0.931,0.402,-72.20%,52,63.83%
Hybrid,VoteEns+VT(25%)+AdapRe,28.81%,-12.02%,0.847,0.923,0.433,-66.60%,48,63.83%
H-Ensemble,"VoteEns(DD18,DD15,Dual,2/3)+VT(25%)",28.81%,-12.02%,0.847,0.923,0.433,-66.60%,48,63.83%
D-AdaptRe,DD(-18/Staged)+VT(25%) 88-92,29.28%,-11.44%,0.844,0.963,0.461,-63.54%,15,70.21%
I-Asymm,"AsymDD(up-20,dn-15)+VT(25%)",28.49%,-14.25%,0.843,0.910,0.444,-64.18%,44,65.96%
D-AdaptRe,DD(-18/Adap)+VT(30%) Re:90-96,29.08%,-10.09%,0.834,0.928,0.463,-62.75%,32,70.21%
Baseline,DualDD(100/200)+VT_E(25%) [R3],27.34%,-11.91%,0.831,0.879,0.430,-63.54%,60,63.83%
H-Ensemble,"VoteEns(DD18,DD15,Dual,3/3)+VT(25%)",27.34%,-11.91%,0.831,0.879,0.430,-63.54%,60,63.83%
Baseline,DD(-18/92) only,29.49%,-8.34%,0.829,0.910,0.468,-63.02%,30,70.21%
D-AdaptRe,DD(-18/92)+VT(25%)+TrendConfirm(5d),27.43%,-9.10%,0.814,0.900,0.456,-60.09%,30,68.09%
E-TripleDD,"TripleDD(50/100/200,88/85/82)+VT(25%)",26.33%,-13.27%,0.814,0.859,0.410,-64.18%,70,63.83%
D-AdaptRe,DD(-15/Adap)+VT(25%) Re:88-95,27.05%,-18.34%,0.809,0.892,0.389,-69.58%,60,68.09%
Hybrid,DD(-18/AdapRe)+VT(25%)+VoV,26.74%,-10.75%,0.793,0.900,0.359,-74.48%,38,68.09%
D-AdaptRe,DD(-18/Adap)+VT(25%) Re:88-95,26.74%,-10.75%,0.793,0.900,0.359,-74.48%,38,68.09%
I-Asymm,"AsymDD(up-22,dn-12)+VT(25%)",25.32%,-11.50%,0.792,0.830,0.408,-62.08%,74,61.70%
Baseline,BH 3x,19.94%,-60.07%,0.607,0.750,0.200,-99.89%,0,74.47%
